"Step","Group: protoss_10_vs_11_QMIX - win_rate","Group: protoss_10_vs_11_QMIX - win_rate__MIN","Group: protoss_10_vs_11_QMIX - win_rate__MAX"
"920011","0","0","0"
"920037","0","0","0"
"920045","0","0","0"
"920056","0.03125","0.03125","0.03125"
"930005","0","0","0"
"930016","0","0","0"
"930018","0","0","0"
"930019","0","0","0"
"930023","0.03125","0.03125","0.03125"
"930037","0","0","0"
"940013","0","0","0"
"940017","0","0","0"
"940019","0","0","0"
"940038","0","0","0"
"940057","0","0","0"
"940076","0","0","0"
"950010","0","0","0"
"950016","0","0","0"
"950029","0","0","0"
"950035","0","0","0"
"950043","0","0","0"
"950054","0","0","0"
"960017","0.03125","0.03125","0.03125"
"960020","0","0","0"
"960021","0","0","0"
"960037","0","0","0"
"960049","0","0","0"
"960064","0","0","0"
"970004","0","0","0"
"970009","0","0","0"
"970018","0","0","0"
"970029","0","0","0"
"970033","0","0","0"
"970043","0","0","0"
"980008","0","0","0"
"980014","0","0","0"
"980018","0","0","0"
"980029","0","0","0"
"980047","0.03125","0.03125","0.03125"
"980061","0","0","0"
"990008","0","0","0"
"990016","0","0","0"
"990032","0","0","0"
"990052","0.03125","0.03125","0.03125"
"990065","0","0","0"
"990067","0","0","0"
"1000000","0","0","0"
"1000020","0.015625","0","0.03125"
"1000027","0","0","0"
"1000031","0","0","0"
"1000038","0","0","0"
"1010005","0.03125","0.03125","0.03125"
"1010007","0","0","0"
"1010019","0","0","0"
"1010036","0","0","0"
"1010047","0","0","0"
"1010058","0","0","0"
"1020005","0","0","0"
"1020009","0","0","0"
"1020036","0","0","0"
"1020038","0","0","0"
"1020046","0","0","0"
"1020054","0","0","0"
"1030005","0","0","0"
"1030008","0","0","0"
"1030038","0","0","0"
"1030042","0","0","0"
"1030052","0","0","0"
"1040009","0.03125","0.03125","0.03125"
"1040013","0","0","0"
"1040042","0","0","0"
"1040056","0","0","0"
"1040058","0","0","0"
"1040060","0","0","0"
"1050002","0","0","0"
"1050004","0.03125","0.03125","0.03125"
"1050011","0","0","0"
"1050018","0","0","0"
"1050038","0","0","0"
"1050044","0","0","0"
"1060004","0.03125","0.03125","0.03125"
"1060011","0","0","0"
"1060014","0","0","0"
"1060033","0","0","0"
"1060035","0","0","0"
"1060043","0","0","0"
"1070001","0","0","0"
"1070012","0.03125","0.03125","0.03125"
"1070013","0.0625","0.0625","0.0625"
"1070017","0","0","0"
"1070022","0","0","0"
"1070027","0","0","0"
"1080000","0","0","0"
"1080013","0","0","0"
"1080045","0","0","0"
"1080054","0","0","0"
"1080056","0","0","0"
"1080076","0","0","0"
"1090001","0.03125","0.03125","0.03125"
"1090012","0","0","0"
"1090028","0","0","0"
"1090029","0","0","0"
"1090038","0","0","0"
