"Step","Group: protoss_10_vs_11_ACORM - win_rate","Group: protoss_10_vs_11_ACORM - win_rate__MIN","Group: protoss_10_vs_11_ACORM - win_rate__MAX"
"920231","0","0","0"
"920239","0.03125","0.03125","0.03125"
"920252","0.03125","0.03125","0.03125"
"920262","0","0","0"
"930228","0.03125","0","0.0625"
"930240","0.03125","0.03125","0.03125"
"930244","0.09375","0","0.1875"
"930284","0","0","0"
"940230","0.03125","0.03125","0.03125"
"940232","0","0","0"
"940237","0","0","0"
"940246","0.15625","0.15625","0.15625"
"940251","0.09375","0.09375","0.09375"
"940258","0","0","0"
"950221","0.03125","0.03125","0.03125"
"950229","0.03125","0.03125","0.03125"
"950240","0.09375","0.09375","0.09375"
"950248","0","0","0"
"950263","0","0","0"
"950265","0.03125","0.03125","0.03125"
"960227","0","0","0"
"960241","0","0","0"
"960258","0.03125","0.03125","0.03125"
"960259","0.03125","0.03125","0.03125"
"960294","0.125","0.125","0.125"
"970220","0","0","0"
"970245","0","0","0"
"970246","0.03125","0.03125","0.03125"
"970247","0.03125","0.03125","0.03125"
"970277","0.03125","0","0.0625"
"980225","0.03125","0.03125","0.03125"
"980233","0","0","0"
"980238","0.0625","0.0625","0.0625"
"980257","0","0","0"
"980277","0","0","0"
"980284","0.0625","0.0625","0.0625"
"990229","0.03125","0.03125","0.03125"
"990236","0.03125","0.03125","0.03125"
"990248","0.03125","0.03125","0.03125"
"990252","0.09375","0.09375","0.09375"
"990272","0","0","0"
"990274","0.09375","0.09375","0.09375"
"1000231","0.03125","0.03125","0.03125"
"1000232","0.125","0.125","0.125"
"1000242","0.0625","0.0625","0.0625"
"1000262","0.0625","0.0625","0.0625"
"1000273","0.03125","0.03125","0.03125"
"1000276","0","0","0"
"1010220","0.03125","0.03125","0.03125"
"1010222","0","0","0"
"1010231","0.0625","0.0625","0.0625"
"1010238","0","0","0"
"1010262","0.03125","0.03125","0.03125"
"1010319","0.0625","0.0625","0.0625"
"1020225","0","0","0"
"1020242","0.0625","0.0625","0.0625"
"1020244","0.03125","0.03125","0.03125"
"1020245","0.03125","0.03125","0.03125"
"1020249","0","0","0"
"1020250","0.1875","0.1875","0.1875"
"1030220","0.0625","0.0625","0.0625"
"1030221","0.09375","0.09375","0.09375"
"1030233","0.0625","0.0625","0.0625"
"1030236","0","0","0"
"1030243","0.09375","0.09375","0.09375"
"1030250","0","0","0"
"1040225","0.03125","0.03125","0.03125"
"1040237","0","0","0"
"1040241","0.0625","0.0625","0.0625"
"1040255","0","0","0"
"1040262","0.03125","0.03125","0.03125"
"1040290","0","0","0"
"1050232","0.09375","0.09375","0.09375"
"1050237","0.0625","0.0625","0.0625"
"1050264","0.03125","0.03125","0.03125"
"1050267","0","0","0"
"1050282","0","0","0"
"1050285","0.03125","0.03125","0.03125"
"1060224","0.03125","0.03125","0.03125"
"1060232","0.03125","0.03125","0.03125"
"1060233","0.09375","0.09375","0.09375"
"1060248","0","0","0"
"1060253","0.09375","0.09375","0.09375"
"1060259","0","0","0"
"1070222","0.03125","0.03125","0.03125"
"1070233","0.0625","0.0625","0.0625"
"1070247","0.0625","0.0625","0.0625"
"1070271","0.125","0.125","0.125"
"1070273","0","0","0"
"1070283","0.0625","0.0625","0.0625"
"1080220","0.03125","0.03125","0.03125"
"1080222","0.09375","0.09375","0.09375"
"1080225","0.25","0.25","0.25"
"1080228","0.125","0.125","0.125"
"1080241","0","0","0"
"1080279","0.03125","0.03125","0.03125"
"1090227","0.0625","0.0625","0.0625"
"1090242","0","0","0"
"1090253","0.09375","0.09375","0.09375"
"1090270","0.03125","0.03125","0.03125"
"1090276","0","0","0"
"1090277","0.09375","0.09375","0.09375"
"1100227","0","0","0"
"1100247","0.03125","0.03125","0.03125"
"1100264","0.21875","0.21875","0.21875"
"1100266","0.03125","0.03125","0.03125"
"1100268","0.03125","0.03125","0.03125"
"1100295","0.09375","0.09375","0.09375"
"1110223","0.0625","0.0625","0.0625"
"1110235","0.03125","0.03125","0.03125"
"1110238","0.03125","0.03125","0.03125"
