"Step","Group: protoss_10_vs_11_ACORM_WM - win_rate","Group: protoss_10_vs_11_ACORM_WM - win_rate__MIN","Group: protoss_10_vs_11_ACORM_WM - win_rate__MAX"
"810221","0.09375","0.09375","0.09375"
"810257","0.0625","0.0625","0.0625"
"810265","0.21875","0.21875","0.21875"
"810270","0.15625","0.15625","0.15625"
"810273","0.0625","0.0625","0.0625"
"820228","0.21875","0.21875","0.21875"
"820237","0.03125","0.03125","0.03125"
"820256","0.15625","0.15625","0.15625"
"820305","0.03125","0.03125","0.03125"
"820310","0.25","0.25","0.25"
"830229","0.09375","0.09375","0.09375"
"830248","0.125","0.125","0.125"
"830251","0.15625","0.15625","0.15625"
"830275","0.28125","0.28125","0.28125"
"830277","0.1875","0.1875","0.1875"
"840232","0.0625","0.0625","0.0625"
"840245","0.1875","0.1875","0.1875"
"840247","0.125","0.125","0.125"
"840257","0.125","0.125","0.125"
"840266","0.09375","0.09375","0.09375"
"850246","0.15625","0.15625","0.15625"
"850256","0.15625","0.15625","0.15625"
"850258","0.25","0.25","0.25"
"850275","0.21875","0.21875","0.21875"
"850289","0.09375","0.09375","0.09375"
"860244","0.0625","0.0625","0.0625"
"860249","0.15625","0.15625","0.15625"
"860271","0.21875","0.21875","0.21875"
"860282","0.03125","0.03125","0.03125"
"860283","0.09375","0.09375","0.09375"
"870235","0.0625","0.0625","0.0625"
"870241","0.125","0.125","0.125"
"870256","0.125","0.125","0.125"
"870300","0.3125","0.3125","0.3125"
"870314","0.09375","0.09375","0.09375"
"880234","0.125","0.125","0.125"
"880251","0.1875","0.1875","0.1875"
"880254","0.03125","0.03125","0.03125"
"880257","0.1875","0.1875","0.1875"
"880258","0.1875","0.1875","0.1875"
"890245","0.09375","0.09375","0.09375"
"890248","0.125","0.125","0.125"
"890254","0.15625","0.15625","0.15625"
"890259","0.09375","0.09375","0.09375"
"890291","0.03125","0.03125","0.03125"
"900220","0.28125","0.28125","0.28125"
"900224","0.1875","0.1875","0.1875"
"900229","0.28125","0.28125","0.28125"
"900237","0.21875","0.21875","0.21875"
"900276","0.1875","0.1875","0.1875"
"910230","0.140625","0.125","0.15625"
"910242","0.125","0.125","0.125"
"910259","0.0625","0.0625","0.0625"
"910267","0.125","0.125","0.125"
"920221","0.125","0.125","0.125"
"920237","0.28125","0.28125","0.28125"
"920274","0.34375","0.34375","0.34375"
"920279","0.1875","0.1875","0.1875"
"920299","0.1875","0.1875","0.1875"
"930226","0.1875","0.1875","0.1875"
"930233","0.0625","0.0625","0.0625"
"930236","0.15625","0.15625","0.15625"
"930243","0.125","0.125","0.125"
"930255","0.21875","0.21875","0.21875"
"940259","0.09375","0.09375","0.09375"
"940264","0","0","0"
"940269","0.125","0.125","0.125"
"940272","0.09375","0.09375","0.09375"
"940278","0.1875","0.1875","0.1875"
"950234","0.03125","0.03125","0.03125"
"950257","0.15625","0.15625","0.15625"
"950261","0.09375","0.09375","0.09375"
"950283","0.125","0.125","0.125"
"950311","0.03125","0.03125","0.03125"
"960241","0.21875","0.21875","0.21875"
"960276","0.09375","0.09375","0.09375"
"960283","0.1875","0.1875","0.1875"
"960311","0.09375","0.09375","0.09375"
"960324","0.09375","0.09375","0.09375"
"970241","0.09375","0.09375","0.09375"
"970250","0.28125","0.28125","0.28125"
"970258","0.09375","0.09375","0.09375"
"970269","0.125","0.125","0.125"
"970299","0.0625","0.0625","0.0625"
"980227","0.15625","0.15625","0.15625"
"980235","0.21875","0.21875","0.21875"
"980249","0.15625","0.15625","0.15625"
"980253","0.28125","0.28125","0.28125"
"980276","0.1875","0.1875","0.1875"
"990222","0.125","0.125","0.125"
"990233","0.15625","0.15625","0.15625"
"990276","0.15625","0.15625","0.15625"
"990279","0.125","0.125","0.125"
"1000225","0.25","0.25","0.25"
"1000255","0.125","0.125","0.125"
"1000259","0.21875","0.21875","0.21875"
"1000269","0.21875","0.21875","0.21875"
"1000271","0.3125","0.3125","0.3125"
"1010233","0.15625","0.15625","0.15625"
"1010243","0.1875","0.1875","0.1875"
"1010250","0.25","0.25","0.25"
"1010256","0.09375","0.09375","0.09375"
"1010296","0.1875","0.1875","0.1875"
"1020226","0.0625","0.0625","0.0625"
"1020240","0.15625","0.15625","0.15625"
"1020248","0.15625","0.15625","0.15625"
"1020271","0.21875","0.21875","0.21875"
"1020288","0.125","0.125","0.125"
"1030242","0.125","0.125","0.125"
"1030257","0.21875","0.21875","0.21875"
"1030270","0.125","0.125","0.125"
"1030301","0.171875","0.0625","0.28125"
"1040238","0.1875","0.1875","0.1875"
"1040239","0.15625","0.15625","0.15625"
"1040243","0.03125","0.03125","0.03125"
"1040244","0.21875","0.21875","0.21875"
"1040275","0.21875","0.21875","0.21875"
"1050225","0.25","0.25","0.25"
"1050226","0.25","0.25","0.25"
"1050231","0.1875","0.1875","0.1875"
"1050254","0.15625","0.15625","0.15625"
"1050258","0.0625","0.0625","0.0625"
"1060221","0.21875","0.21875","0.21875"
"1060236","0.0625","0.0625","0.0625"
"1060265","0.125","0.125","0.125"
"1060272","0.28125","0.28125","0.28125"
"1060283","0.125","0.125","0.125"
"1070238","0.21875","0.21875","0.21875"
"1070241","0.15625","0.15625","0.15625"
"1070253","0.09375","0.09375","0.09375"
"1070265","0","0","0"
"1070279","0.21875","0.21875","0.21875"
"1080222","0.15625","0.15625","0.15625"
"1080224","0.09375","0.09375","0.09375"
"1080226","0.09375","0.09375","0.09375"
"1080227","0.125","0.125","0.125"
"1080278","0.125","0.125","0.125"
"1090220","0.15625","0.15625","0.15625"
"1090243","0.125","0.125","0.125"
"1090271","0.1875","0.1875","0.1875"
"1090286","0.125","0.125","0.125"
"1090294","0.1875","0.1875","0.1875"
"1100228","0.125","0.125","0.125"
"1100241","0.1875","0.1875","0.1875"
"1100243","0.21875","0.21875","0.21875"
"1100263","0.15625","0.15625","0.15625"
"1100282","0.1875","0.1875","0.1875"
"1110255","0.15625","0.15625","0.15625"
"1110260","0.21875","0.21875","0.21875"
"1110262","0.15625","0.15625","0.15625"
"1110271","0.0625","0.0625","0.0625"
"1110289","0.21875","0.21875","0.21875"
"1120221","0.25","0.25","0.25"
"1120226","0.125","0.125","0.125"
"1120234","0.15625","0.15625","0.15625"
"1120282","0.09375","0.09375","0.09375"
"1120283","0.25","0.25","0.25"
"1130225","0.09375","0.09375","0.09375"
"1130230","0.15625","0.15625","0.15625"
"1130242","0.1875","0.1875","0.1875"
"1130245","0.1875","0.1875","0.1875"
"1130275","0.09375","0.09375","0.09375"
"1140226","0.28125","0.28125","0.28125"
"1140258","0.125","0.125","0.125"
"1140268","0.1875","0.1875","0.1875"
"1140279","0.15625","0.15625","0.15625"
"1140288","0.25","0.25","0.25"
"1150246","0.21875","0.21875","0.21875"
"1150264","0.09375","0.09375","0.09375"
"1150279","0.0625","0.0625","0.0625"
"1150301","0.15625","0.15625","0.15625"
"1160266","0.1875","0.15625","0.21875"
"1160272","0.09375","0.09375","0.09375"
"1160276","0.171875","0.09375","0.25"
"1170225","0.21875","0.21875","0.21875"
"1170257","0.125","0.125","0.125"
"1170260","0.0625","0.0625","0.0625"
"1170263","0.25","0.25","0.25"
"1170312","0.25","0.25","0.25"
"1180226","0.15625","0.15625","0.15625"
"1180231","0.125","0.125","0.125"
"1180261","0.1875","0.1875","0.1875"
"1180264","0.09375","0.09375","0.09375"
"1190230","0.1875","0.1875","0.1875"
"1190234","0.125","0.125","0.125"
"1190244","0.125","0.125","0.125"
"1190245","0.09375","0.09375","0.09375"
"1190320","0.09375","0.09375","0.09375"
"1200231","0.15625","0.15625","0.15625"
"1200236","0.40625","0.40625","0.40625"
"1200261","0.125","0.125","0.125"
"1200263","0.25","0.25","0.25"
"1200269","0.125","0.125","0.125"
"1210220","0.25","0.25","0.25"
"1210224","0.125","0.125","0.125"
"1210240","0.09375","0.09375","0.09375"
"1210242","0.15625","0.15625","0.15625"
"1210308","0.25","0.25","0.25"
"1220224","0.125","0.125","0.125"
"1220234","0.0625","0.0625","0.0625"
"1220254","0.1875","0.1875","0.1875"
"1220280","0.25","0.25","0.25"
"1220294","0.25","0.25","0.25"
"1230236","0.125","0.125","0.125"
"1230263","0.125","0.125","0.125"
"1230277","0.15625","0.15625","0.15625"
"1230287","0.09375","0.09375","0.09375"
"1230333","0.09375","0.09375","0.09375"
"1240223","0.1875","0.1875","0.1875"
"1240233","0.1875","0.1875","0.1875"
"1240238","0.125","0.125","0.125"
"1240263","0.1875","0.1875","0.1875"
"1240287","0.21875","0.21875","0.21875"
"1250223","0.25","0.25","0.25"
"1250231","0.25","0.25","0.25"
"1250243","0.125","0.125","0.125"
"1250249","0.21875","0.21875","0.21875"
"1250269","0.28125","0.28125","0.28125"
"1260236","0.3125","0.3125","0.3125"
"1260239","0.09375","0.09375","0.09375"
"1260241","0.140625","0.09375","0.1875"
"1260278","0.15625","0.15625","0.15625"
"1270247","0.140625","0.0625","0.21875"
"1270265","0.21875","0.21875","0.21875"
"1270271","0.25","0.25","0.25"
"1270275","0.125","0.125","0.125"
"1280224","0.125","0.0625","0.1875"
"1280234","0.21875","0.21875","0.21875"
"1280270","0.25","0.25","0.25"
"1280279","0.1875","0.1875","0.1875"
"1290225","0.15625","0.15625","0.15625"
"1290227","0.125","0.125","0.125"
"1290233","0.21875","0.21875","0.21875"
"1290240","0.1875","0.1875","0.1875"
"1290294","0.125","0.125","0.125"
"1300220","0.15625","0.15625","0.15625"
"1300239","0.1875","0.1875","0.1875"
"1300247","0.3125","0.3125","0.3125"
"1300268","0.125","0.125","0.125"
"1300277","0.34375","0.34375","0.34375"
"1310248","0.25","0.25","0.25"
"1310255","0.1875","0.1875","0.1875"
"1310259","0.28125","0.28125","0.28125"
"1310272","0.15625","0.15625","0.15625"
"1310278","0.28125","0.28125","0.28125"
"1320227","0.125","0.125","0.125"
"1320255","0.28125","0.28125","0.28125"
"1320263","0.09375","0.09375","0.09375"
"1320273","0.125","0.125","0.125"
"1320285","0.21875","0.21875","0.21875"
"1330225","0.34375","0.34375","0.34375"
"1330241","0.28125","0.28125","0.28125"
"1330260","0.0625","0.0625","0.0625"
"1330312","0.09375","0.09375","0.09375"
"1330322","0.1875","0.1875","0.1875"
"1340220","0.0625","0.0625","0.0625"
"1340247","0.25","0.25","0.25"
"1340268","0.1875","0.1875","0.1875"
"1340271","0.28125","0.28125","0.28125"
"1340333","0.21875","0.21875","0.21875"
"1350226","0.125","0.125","0.125"
"1350228","0.15625","0.15625","0.15625"
"1350247","0.1875","0.1875","0.1875"
"1350258","0.09375","0.09375","0.09375"
"1350282","0.1875","0.1875","0.1875"
"1360230","0.3125","0.3125","0.3125"
"1360233","0.21875","0.21875","0.21875"
"1360240","0.1875","0.1875","0.1875"
"1360241","0.21875","0.21875","0.21875"
"1360256","0.1875","0.1875","0.1875"
"1370225","0.0625","0.0625","0.0625"
"1370256","0.21875","0.21875","0.21875"
"1370264","0.1875","0.1875","0.1875"
"1370286","0.1875","0.1875","0.1875"
"1370289","0.1875","0.1875","0.1875"
"1380224","0.15625","0.15625","0.15625"
"1380228","0.3125","0.3125","0.3125"
"1380250","0.125","0.125","0.125"
"1380261","0.15625","0.15625","0.15625"
"1380264","0.09375","0.09375","0.09375"
"1390224","0.21875","0.21875","0.21875"
"1390232","0.09375","0.09375","0.09375"
"1390253","0","0","0"
"1390268","0.1875","0.1875","0.1875"
"1390270","0.1875","0.1875","0.1875"
"1400224","0.25","0.25","0.25"
"1400239","0.1875","0.1875","0.1875"
"1400240","0.1875","0.1875","0.1875"
"1400271","0.3125","0.3125","0.3125"
"1400294","0.15625","0.15625","0.15625"
"1410221","0.125","0.125","0.125"
"1410245","0.09375","0.09375","0.09375"
"1410249","0.3125","0.3125","0.3125"
"1410269","0.125","0.125","0.125"
"1410322","0.15625","0.15625","0.15625"
"1420235","0.09375","0.09375","0.09375"
"1420240","0.15625","0.15625","0.15625"
"1420254","0.21875","0.21875","0.21875"
"1420265","0.21875","0.21875","0.21875"
"1420282","0.25","0.25","0.25"
"1430227","0.0625","0.0625","0.0625"
"1430238","0.28125","0.28125","0.28125"
"1430241","0.34375","0.34375","0.34375"
"1430248","0.125","0.125","0.125"
"1430351","0.28125","0.28125","0.28125"
"1440231","0.21875","0.21875","0.21875"
"1440253","0.21875","0.21875","0.21875"
"1440256","0.15625","0.15625","0.15625"
"1440292","0.21875","0.21875","0.21875"
"1440298","0.15625","0.15625","0.15625"
"1450243","0.40625","0.40625","0.40625"
"1450253","0.125","0.125","0.125"
"1450260","0.21875","0.21875","0.21875"
"1450266","0.1875","0.1875","0.1875"
"1450308","0.25","0.25","0.25"
"1460258","0.1875","0.1875","0.1875"
"1460261","0.1875","0.1875","0.1875"
"1460267","0.125","0.125","0.125"
"1460271","0.25","0.25","0.25"
"1460282","0.21875","0.21875","0.21875"
"1470220","0.125","0.125","0.125"
"1470240","0.25","0.25","0.25"
"1470244","0.25","0.25","0.25"
"1470285","0.25","0.25","0.25"
"1470288","0.15625","0.15625","0.15625"
"1480228","0.125","0.125","0.125"
"1480236","0.1875","0.1875","0.1875"
"1480237","0.125","0.125","0.125"
"1480257","0.09375","0.09375","0.09375"
"1480266","0.375","0.375","0.375"
"1490246","0.28125","0.28125","0.28125"
"1490253","0.25","0.25","0.25"
"1490280","0.03125","0.03125","0.03125"
"1490301","0.4375","0.4375","0.4375"
"1490315","0.25","0.25","0.25"
"1500242","0.1875","0.1875","0.1875"
"1500245","0.15625","0.15625","0.15625"
"1500248","0.15625","0.15625","0.15625"
"1500258","0.34375","0.34375","0.34375"
"1500262","0.46875","0.46875","0.46875"
"1510221","0.28125","0.28125","0.28125"
"1510250","0.25","0.25","0.25"
"1510258","0.15625","0.15625","0.15625"
"1510282","0.1875","0.1875","0.1875"
"1510292","0.21875","0.21875","0.21875"
"1520228","0.21875","0.21875","0.21875"
"1520235","0.34375","0.34375","0.34375"
"1520239","0.1875","0.1875","0.1875"
"1520248","0.09375","0.09375","0.09375"
"1520270","0.09375","0.09375","0.09375"
"1530232","0.125","0.125","0.125"
"1530248","0.15625","0.15625","0.15625"
"1530272","0.1875","0.1875","0.1875"
"1530283","0.46875","0.46875","0.46875"
"1530338","0.3125","0.3125","0.3125"
"1540221","0.28125","0.28125","0.28125"
"1540246","0.1875","0.1875","0.1875"
"1540265","0.3125","0.3125","0.3125"
"1540274","0.1875","0.1875","0.1875"
"1540294","0.15625","0.15625","0.15625"
"1550255","0.21875","0.21875","0.21875"
"1550263","0.21875","0.21875","0.21875"
"1550266","0.28125","0.28125","0.28125"
"1550275","0.28125","0.28125","0.28125"
"1550280","0.34375","0.34375","0.34375"
"1560227","0.1875","0.1875","0.1875"
"1560232","0.15625","0.15625","0.15625"
"1560235","0.21875","0.21875","0.21875"
"1560269","0.375","0.375","0.375"
"1560287","0.25","0.25","0.25"
"1570227","0.125","0.125","0.125"
"1570254","0.21875","0.21875","0.21875"
"1570265","0.25","0.25","0.25"
"1570276","0.21875","0.21875","0.21875"
"1570282","0.15625","0.15625","0.15625"
"1580226","0.28125","0.28125","0.28125"
