"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"940318","0.03125","0.03125","0.03125"
"940363","0","0","0"
"940377","0.03125","0.03125","0.03125"
"950221","0.125","0.125","0.125"
"950232","0","0","0"
"950238","0.21875","0.21875","0.21875"
"950284","0.625","0.625","0.625"
"950376","0.0625","0.0625","0.0625"
"960229","0.03125","0.03125","0.03125"
"960291","0.625","0.625","0.625"
"960295","0.0625","0.0625","0.0625"
"960302","0.40625","0.40625","0.40625"
"960306","0.03125","0.03125","0.03125"
"970222","0.03125","0.03125","0.03125"
"970248","0.6875","0.6875","0.6875"
"970253","0.34375","0.34375","0.34375"
"970285","0.0625","0.0625","0.0625"
"970323","0.21875","0.21875","0.21875"
"980225","0.03125","0.03125","0.03125"
"980234","0.625","0.625","0.625"
"980259","0","0","0"
"980271","0.5625","0.5625","0.5625"
"980349","0","0","0"
"990238","0.0625","0.0625","0.0625"
"990289","0","0","0"
"990304","0.75","0.75","0.75"
"990305","0.0625","0.0625","0.0625"
"990353","0.46875","0.46875","0.46875"
"1000239","0.09375","0.09375","0.09375"
"1000294","0.6875","0.6875","0.6875"
"1000353","0","0","0"
"1000374","0.15625","0.15625","0.15625"
"1000378","0.34375","0.34375","0.34375"
"1010229","0","0","0"
"1010230","0.6875","0.6875","0.6875"
"1010254","0.6875","0.6875","0.6875"
"1010290","0.1875","0.1875","0.1875"
"1010299","0","0","0"
"1020245","0.53125","0.53125","0.53125"
"1020250","0","0","0"
"1020300","0.125","0.125","0.125"
"1020310","0.625","0.625","0.625"
"1020364","0","0","0"
"1030272","0.0625","0.0625","0.0625"
"1030274","0.71875","0.71875","0.71875"
"1030285","0.3125","0.3125","0.3125"
"1030311","0.15625","0.15625","0.15625"
"1030388","0","0","0"
"1040230","0.0625","0.0625","0.0625"
"1040260","0","0","0"
"1040271","0.625","0.625","0.625"
"1040278","0.1875","0.1875","0.1875"
"1040282","0.75","0.75","0.75"
"1050231","0.8125","0.8125","0.8125"
