"Step","Group: terran_10_vs_11_ACORM - win_rate","Group: terran_10_vs_11_ACORM - win_rate__MIN","Group: terran_10_vs_11_ACORM - win_rate__MAX"
"740659","0.09375","0.09375","0.09375"
"750605","0.0625","0.0625","0.0625"
"750621","0.09375","0.09375","0.09375"
"750622","0.0625","0.0625","0.0625"
"750630","0.0625","0.0625","0.0625"
"750651","0.15625","0.15625","0.15625"
"750657","0.0625","0.0625","0.0625"
"760600","0.03125","0.03125","0.03125"
"760605","0.03125","0.03125","0.03125"
"760619","0.15625","0.15625","0.15625"
"760624","0.0625","0.0625","0.0625"
"760629","0.03125","0.03125","0.03125"
"760697","0.1875","0.1875","0.1875"
"770600","0.21875","0.21875","0.21875"
"770607","0.0625","0.0625","0.0625"
"770631","0.03125","0.03125","0.03125"
"770632","0","0","0"
"770640","0.125","0.125","0.125"
"770694","0","0","0"
"780600","0.0625","0.0625","0.0625"
"780607","0.03125","0.03125","0.03125"
"780616","0.03125","0.03125","0.03125"
"780624","0.03125","0.03125","0.03125"
"780625","0.03125","0.03125","0.03125"
"780635","0.3125","0.3125","0.3125"
"790606","0","0","0"
"790625","0.03125","0.03125","0.03125"
"790630","0.0625","0.0625","0.0625"
"790653","0.09375","0.09375","0.09375"
"790657","0.125","0.125","0.125"
"790687","0.125","0.125","0.125"
"800612","0.0625","0.0625","0.0625"
"800618","0","0","0"
"800622","0","0","0"
"800627","0.03125","0.03125","0.03125"
"800635","0.1875","0.1875","0.1875"
"800654","0.03125","0.03125","0.03125"
"810602","0","0","0"
"810609","0.0625","0.0625","0.0625"
"810621","0","0","0"
"810626","0.0625","0.0625","0.0625"
"810643","0.09375","0.09375","0.09375"
"810649","0.03125","0.03125","0.03125"
"820612","0.28125","0.28125","0.28125"
"820615","0","0","0"
"820624","0.03125","0.03125","0.03125"
"820637","0.03125","0.03125","0.03125"
"820645","0.09375","0.09375","0.09375"
"820656","0.03125","0.03125","0.03125"
"830611","0.0625","0.0625","0.0625"
"830612","0.1875","0.1875","0.1875"
"830619","0.0625","0.0625","0.0625"
"830629","0.03125","0.03125","0.03125"
"830638","0.0625","0.0625","0.0625"
"840601","0","0","0"
"840604","0.28125","0.28125","0.28125"
"840611","0.0625","0.0625","0.0625"
"840614","0.03125","0.03125","0.03125"
"840624","0.0625","0.0625","0.0625"
"840649","0.09375","0.09375","0.09375"
"850603","0.03125","0.03125","0.03125"
"850609","0.09375","0.09375","0.09375"
"850620","0.25","0.25","0.25"
"850637","0.15625","0.15625","0.15625"
"850643","0.0625","0.0625","0.0625"
"850698","0.09375","0.09375","0.09375"
"860604","0.09375","0.09375","0.09375"
"860608","0.03125","0.03125","0.03125"
"860612","0.21875","0.21875","0.21875"
"860628","0.1875","0.1875","0.1875"
"860633","0","0","0"
"860648","0.0625","0.0625","0.0625"
"870601","0.0625","0.03125","0.09375"
"870620","0.03125","0.03125","0.03125"
"870628","0.1875","0.1875","0.1875"
"870630","0.125","0.125","0.125"
"870644","0.25","0.25","0.25"
"880629","0.09375","0.09375","0.09375"
"880630","0.125","0.125","0.125"
"880631","0.09375","0.09375","0.09375"
"880634","0.09375","0.09375","0.09375"
"880682","0.25","0.25","0.25"
"880722","0.0625","0.0625","0.0625"
"890618","0.03125","0.03125","0.03125"
"890623","0","0","0"
"890630","0.0625","0.0625","0.0625"
"890634","0.09375","0.09375","0.09375"
"890640","0.140625","0.09375","0.1875"
"900600","0.171875","0.125","0.21875"
"900602","0.03125","0.03125","0.03125"
"900606","0.0625","0.0625","0.0625"
"900629","0.03125","0.03125","0.03125"
"900635","0.09375","0.09375","0.09375"
"910607","0.03125","0.03125","0.03125"
"910620","0.0625","0.0625","0.0625"
"910630","0.09375","0.09375","0.09375"
"910646","0.09375","0.09375","0.09375"
"910655","0.09375","0.09375","0.09375"
"910666","0.09375","0.09375","0.09375"
"920607","0","0","0"
"920613","0.1875","0.1875","0.1875"
"920614","0.09375","0.09375","0.09375"
"920622","0.15625","0.15625","0.15625"
"920631","0.0625","0.0625","0.0625"
"920633","0.125","0.125","0.125"
"930603","0.0625","0.0625","0.0625"
"930629","0.15625","0.15625","0.15625"
"930656","0.03125","0.03125","0.03125"
"930659","0.15625","0.15625","0.15625"
"930668","0.1875","0.1875","0.1875"
"930684","0.0625","0.0625","0.0625"
"940601","0.0625","0.0625","0.0625"
"940606","0.0625","0.0625","0.0625"
"940608","0.15625","0.15625","0.15625"
"940633","0.1875","0.1875","0.1875"
"940634","0.0625","0.0625","0.0625"
"940732","0","0","0"
"950602","0","0","0"
"950604","0.0625","0.0625","0.0625"
"950605","0.15625","0.15625","0.15625"
"950620","0.15625","0.15625","0.15625"
"950627","0.09375","0.09375","0.09375"
"950638","0.03125","0.03125","0.03125"
"960613","0.09375","0.09375","0.09375"
"960616","0.078125","0.0625","0.09375"
"960636","0.1875","0.1875","0.1875"
"960640","0.0625","0.0625","0.0625"
