"Step","Group: terran_10_vs_11_QMIX - win_rate","Group: terran_10_vs_11_QMIX - win_rate__MIN","Group: terran_10_vs_11_QMIX - win_rate__MAX"
"600059","0.03125","0.03125","0.03125"
"610003","0","0","0"
"610004","0","0","0"
"610006","0","0","0"
"610016","0","0","0"
"610029","0","0","0"
"610055","0.03125","0.03125","0.03125"
"620008","0","0","0"
"620015","0","0","0"
"620016","0","0","0"
"620020","0","0","0"
"620031","0","0","0"
"620047","0","0","0"
"630001","0.09375","0.09375","0.09375"
"630005","0","0","0"
"630011","0.03125","0.03125","0.03125"
"630016","0","0","0"
"630028","0","0","0"
"630090","0.03125","0.03125","0.03125"
"640000","0","0","0"
"640004","0","0","0"
"640013","0.03125","0.03125","0.03125"
"640022","0","0","0"
"640038","0","0","0"
"640047","0","0","0"
"650005","0","0","0"
"650014","0.015625","0","0.03125"
"650025","0","0","0"
"650031","0","0","0"
"650060","0","0","0"
"660001","0","0","0"
"660003","0.0625","0.0625","0.0625"
"660006","0","0","0"
"660017","0.03125","0.03125","0.03125"
"660021","0","0","0"
"660044","0","0","0"
"670001","0.03125","0.03125","0.03125"
"670003","0.03125","0.03125","0.03125"
"670020","0","0","0"
"670025","0.03125","0.03125","0.03125"
"670041","0.0625","0.0625","0.0625"
"670044","0","0","0"
"680005","0","0","0"
"680011","0","0","0"
"680021","0","0","0"
"680028","0","0","0"
"680044","0.03125","0.03125","0.03125"
"680179","0.03125","0.03125","0.03125"
"690011","0","0","0"
"690013","0.03125","0.03125","0.03125"
"690022","0","0","0"
"690033","0","0","0"
"690059","0","0","0"
"690094","0","0","0"
"700007","0.03125","0.03125","0.03125"
"700018","0.015625","0","0.03125"
"700029","0.03125","0.03125","0.03125"
"700037","0.03125","0.03125","0.03125"
"700060","0","0","0"
"710006","0.046875","0.03125","0.0625"
"710011","0.03125","0.03125","0.03125"
"710028","0.03125","0.03125","0.03125"
"710040","0","0","0"
"710044","0","0","0"
"720013","0.0625","0.0625","0.0625"
"720022","0","0","0"
"720039","0","0","0"
"720041","0.03125","0.03125","0.03125"
"720046","0","0","0"
"720076","0.03125","0.03125","0.03125"
"730013","0","0","0"
"730021","0","0","0"
"730024","0.0625","0.0625","0.0625"
"730032","0","0","0"
"730035","0.03125","0.03125","0.03125"
"730048","0.03125","0.03125","0.03125"
"740011","0.03125","0.03125","0.03125"
"740014","0","0","0"
"740016","0","0","0"
"740026","0","0","0"
"740039","0","0","0"
"740056","0.03125","0.03125","0.03125"
"750005","0.03125","0.03125","0.03125"
"750013","0","0","0"
"750020","0.03125","0.03125","0.03125"
"750026","0.03125","0.03125","0.03125"
"750031","0.125","0.125","0.125"
"750056","0","0","0"
"760012","0.0625","0.0625","0.0625"
"760017","0","0","0"
"760021","0","0","0"
"760029","0.09375","0.09375","0.09375"
"760064","0","0","0"
"760070","0.0625","0.0625","0.0625"
"770000","0","0","0"
"770010","0.09375","0.09375","0.09375"
"770011","0","0","0"
"770021","0","0","0"
"770025","0.046875","0","0.09375"
"780003","0","0","0"
"780013","0","0","0"
"780027","0.046875","0","0.09375"
"780044","0","0","0"
"780061","0.03125","0.03125","0.03125"
"790008","0.03125","0.03125","0.03125"
"790017","0","0","0"
"790021","0.0625","0.0625","0.0625"
"790028","0.046875","0.03125","0.0625"
"790120","0","0","0"
"800001","0","0","0"
"800009","0.09375","0.09375","0.09375"
"800022","0.015625","0","0.03125"
"800031","0","0","0"
"800035","0","0","0"
"810007","0","0","0"
"810011","0.03125","0.03125","0.03125"
"810024","0","0","0"
"810026","0.03125","0.03125","0.03125"
"810028","0","0","0"
"810041","0","0","0"
"820007","0.03125","0.03125","0.03125"
"820018","0","0","0"
"820029","0.03125","0.03125","0.03125"
"820032","0.03125","0.03125","0.03125"
"820063","0.09375","0.09375","0.09375"
"830001","0.03125","0.03125","0.03125"
"830014","0.03125","0.03125","0.03125"
"830022","0","0","0"
"830040","0.03125","0.03125","0.03125"
"830058","0.03125","0.03125","0.03125"
"830178","0","0","0"
"840019","0.03125","0.03125","0.03125"
"840036","0","0","0"
"840037","0.03125","0.03125","0.03125"
"840044","0","0","0"
"840049","0.0625","0.03125","0.09375"
"850005","0.03125","0.03125","0.03125"
"850012","0","0","0"
"850022","0.03125","0.03125","0.03125"
"850027","0.0625","0.0625","0.0625"
"850029","0.03125","0.03125","0.03125"
"850031","0","0","0"
"860007","0.09375","0.09375","0.09375"
"860013","0","0","0"
"860018","0","0","0"
"860021","0.0625","0.0625","0.0625"
"860030","0.03125","0.03125","0.03125"
"860069","0","0","0"
"870003","0.0625","0.0625","0.0625"
"870006","0","0","0"
"870007","0","0","0"
"870012","0","0","0"
"870030","0","0","0"
"870059","0.0625","0.0625","0.0625"
"880007","0","0","0"
"880026","0","0","0"
"880034","0.03125","0.03125","0.03125"
"880035","0","0","0"
"880038","0.03125","0.03125","0.03125"
"880061","0","0","0"
"890000","0.03125","0.03125","0.03125"
"890012","0.03125","0.03125","0.03125"
"890013","0.03125","0.03125","0.03125"
"890016","0.03125","0.03125","0.03125"
"890029","0","0","0"
"890033","0","0","0"
"900004","0.03125","0.03125","0.03125"
"900012","0.03125","0.03125","0.03125"
"900014","0.03125","0.03125","0.03125"
"900024","0","0","0"
"900034","0.0625","0.0625","0.0625"
"900037","0","0","0"
"910006","0.03125","0.03125","0.03125"
"910011","0","0","0"
"910012","0.03125","0.03125","0.03125"
"910017","0.03125","0.03125","0.03125"
"910024","0","0","0"
"910032","0.03125","0.03125","0.03125"
"920007","0.03125","0.03125","0.03125"
"920009","0","0","0"
"920010","0.03125","0.03125","0.03125"
"920021","0","0","0"
"920050","0.03125","0.03125","0.03125"
"920051","0.03125","0.03125","0.03125"
"930010","0","0","0"
"930014","0","0","0"
"930017","0.03125","0.03125","0.03125"
"930051","0","0","0"
"930079","0","0","0"
"940003","0.03125","0.03125","0.03125"
"940004","0","0","0"
"940007","0.03125","0.03125","0.03125"
"940014","0","0","0"
"940017","0","0","0"
"950003","0","0","0"
"950004","0.0625","0.0625","0.0625"
"950008","0","0","0"
"950011","0","0","0"
"950025","0.03125","0.03125","0.03125"
"950168","0.0625","0.0625","0.0625"
"960002","0","0","0"
"960009","0","0","0"
"960014","0.03125","0.03125","0.03125"
"960023","0","0","0"
"960035","0.03125","0.03125","0.03125"
"960038","0","0","0"
"970011","0","0","0"
"970018","0","0","0"
"970020","0","0","0"
"970026","0.0625","0.0625","0.0625"
"970027","0.03125","0.03125","0.03125"
"970045","0.03125","0.03125","0.03125"
"980001","0.015625","0","0.03125"
"980016","0","0","0"
"980022","0.03125","0.03125","0.03125"
"980028","0.03125","0.03125","0.03125"
"980051","0.03125","0.03125","0.03125"
"990005","0.03125","0.03125","0.03125"
"990007","0","0","0"
"990015","0","0","0"
"990023","0","0","0"
"990025","0.15625","0.15625","0.15625"
"990046","0.03125","0.03125","0.03125"
"1000005","0.03125","0.03125","0.03125"
"1000014","0.03125","0.03125","0.03125"
"1000019","0","0","0"
"1000022","0.0625","0.0625","0.0625"
"1000028","0","0","0"
"1000033","0","0","0"
"1010003","0","0","0"
"1010024","0.03125","0.03125","0.03125"
"1010029","0","0","0"
"1010037","0","0","0"
"1010043","0.0625","0.0625","0.0625"
"1010160","0.03125","0.03125","0.03125"
"1020006","0","0","0"
"1020007","0.03125","0.03125","0.03125"
