"Step","Group: corridor_QMIX - win_rate","Group: corridor_QMIX - win_rate__MIN","Group: corridor_QMIX - win_rate__MAX"
"840018","0","0","0"
"840022","0","0","0"
"840025","0","0","0"
"840027","0","0","0"
"850012","0","0","0"
"850017","0","0","0"
"850021","0","0","0"
"850023","0","0","0"
"850025","0","0","0"
"850027","0","0","0"
"860001","0","0","0"
"860006","0","0","0"
"860014","0","0","0"
"860018","0","0","0"
"860019","0","0","0"
"860028","0","0","0"
"870013","0","0","0"
"870015","0","0","0"
"870019","0","0","0"
"870028","0","0","0"
"870031","0","0","0"
"880000","0","0","0"
"880005","0","0","0"
"880008","0","0","0"
"880013","0","0","0"
"880032","0","0","0"
"890001","0","0","0"
"890006","0","0","0"
"890024","0","0","0"
"890028","0","0","0"
"890033","0","0","0"
"900009","0","0","0"
"900010","0","0","0"
"900018","0","0","0"
"900020","0","0","0"
"900023","0","0","0"
"900030","0","0","0"
"910005","0","0","0"
"910011","0","0","0"
"910013","0","0","0"
"910023","0","0","0"
"910028","0","0","0"
"910031","0","0","0"
"920003","0","0","0"
"920004","0","0","0"
"920006","0","0","0"
"920008","0","0","0"
"920025","0","0","0"
"920031","0","0","0"
"930004","0","0","0"
"930009","0","0","0"
"930020","0","0","0"
"930022","0","0","0"
"930024","0","0","0"
"930027","0","0","0"
"940004","0","0","0"
"940008","0","0","0"
"940009","0","0","0"
"940017","0","0","0"
"940028","0","0","0"
"940031","0","0","0"
"950003","0","0","0"
"950007","0","0","0"
"950008","0","0","0"
"950014","0","0","0"
"950026","0","0","0"
"950027","0","0","0"
"960017","0","0","0"
"960018","0","0","0"
"960023","0","0","0"
"960026","0","0","0"
"960034","0","0","0"
"970004","0","0","0"
"970008","0","0","0"
"970017","0","0","0"
"970020","0","0","0"
"970023","0","0","0"
"970031","0","0","0"
"980000","0","0","0"
"980008","0","0","0"
"980014","0","0","0"
"980021","0","0","0"
"980030","0","0","0"
"980031","0","0","0"
"990000","0","0","0"
"990011","0","0","0"
"990013","0","0","0"
"990014","0","0","0"
"990022","0","0","0"
"990027","0","0","0"
"1000002","0","0","0"
"1000004","0","0","0"
"1000010","0","0","0"
"1000021","0","0","0"
"1000028","0","0","0"
"1000205","0","0","0"
"1010003","0","0","0"
"1010015","0","0","0"
"1010020","0","0","0"
"1010022","0","0","0"
"1020006","0","0","0"
"1020007","0","0","0"
"1020017","0","0","0"
"1020023","0","0","0"
"1020027","0","0","0"
"1020029","0","0","0"
"1030003","0","0","0"
"1030013","0","0","0"
"1030015","0","0","0"
"1030025","0","0","0"
"1030030","0","0","0"
"1030032","0","0","0"
"1040001","0","0","0"
"1040006","0","0","0"
"1040012","0","0","0"
"1040013","0","0","0"
"1040015","0","0","0"
"1040030","0","0","0"
"1050006","0","0","0"
"1050007","0","0","0"
"1050013","0","0","0"
"1050020","0","0","0"
"1050028","0","0","0"
"1050032","0","0","0"
"1060000","0","0","0"
"1060003","0","0","0"
"1060010","0","0","0"
"1060018","0","0","0"
"1060027","0","0","0"
"1060028","0","0","0"
"1070004","0","0","0"
"1070011","0","0","0"
"1070016","0","0","0"
"1070032","0","0","0"
"1070034","0","0","0"
"1070159","0","0","0"
"1080000","0","0","0"
"1080015","0","0","0"
"1080018","0","0","0"
"1080028","0","0","0"
"1080031","0","0","0"
"1080284","0","0","0"
"1090010","0","0","0"
"1090012","0","0","0"
"1090013","0","0","0"
"1090014","0","0","0"
"1090015","0","0","0"
"1090035","0","0","0"
"1100008","0","0","0"
"1100011","0","0","0"
"1100012","0","0","0"
"1100013","0","0","0"
"1100020","0","0","0"
"1100023","0","0","0"
"1110000","0","0","0"
"1110002","0","0","0"
"1110016","0","0","0"
"1110027","0","0","0"
"1110030","0","0","0"
"1110037","0","0","0"
"1120001","0","0","0"
"1120002","0","0","0"
"1120005","0","0","0"
"1120014","0","0","0"
"1120020","0","0","0"
"1120026","0","0","0"
"1130017","0","0","0"
"1130018","0","0","0"
"1130023","0","0","0"
"1130029","0","0","0"
"1130031","0","0","0"
"1140001","0","0","0"
"1140005","0","0","0"
"1140011","0","0","0"
"1140019","0","0","0"
"1140020","0","0","0"
"1140024","0","0","0"
"1150005","0","0","0"
"1150008","0","0","0"
"1150016","0","0","0"
"1150017","0","0","0"
"1150020","0","0","0"
"1160003","0","0","0"
"1160010","0","0","0"
"1160014","0","0","0"
"1160018","0","0","0"
"1160020","0","0","0"
"1160027","0","0","0"
"1170001","0","0","0"
"1170010","0","0","0"
"1170013","0","0","0"
"1170014","0","0","0"
"1170016","0","0","0"
"1170033","0","0","0"
"1180001","0","0","0"
"1180006","0","0","0"
"1180020","0","0","0"
"1180030","0","0","0"
"1180032","0","0","0"
"1180200","0","0","0"
"1190001","0","0","0"
"1190002","0","0","0"
"1190019","0","0","0"
"1190021","0","0","0"
"1190028","0","0","0"
"1190221","0","0","0"
"1200014","0","0","0"
"1200015","0","0","0"
"1200017","0","0","0"
"1200018","0","0","0"
"1200020","0","0","0"
"1200023","0","0","0"
"1210013","0","0","0"
"1210017","0","0","0"
"1210019","0","0","0"
"1210025","0","0","0"
"1210030","0","0","0"
"1220003","0","0","0"
"1220007","0","0","0"
"1220026","0","0","0"
"1220030","0","0","0"
"1220031","0","0","0"
"1220032","0","0","0"
"1230005","0","0","0"
"1230015","0","0","0"
"1230020","0","0","0"
"1230023","0","0","0"
"1230025","0","0","0"
"1230032","0","0","0"
"1240002","0","0","0"
"1240018","0","0","0"
"1240028","0","0","0"
"1240030","0","0","0"
"1240031","0","0","0"
"1240033","0","0","0"
"1250004","0","0","0"
"1250007","0","0","0"
"1250011","0","0","0"
"1250019","0","0","0"
"1250022","0","0","0"
"1250028","0","0","0"
"1260000","0","0","0"
"1260003","0","0","0"
"1260008","0","0","0"
"1260017","0","0","0"
"1260025","0","0","0"
"1270003","0","0","0"
"1270016","0","0","0"
"1270018","0","0","0"
"1270024","0","0","0"
"1270026","0","0","0"
"1270032","0","0","0"
"1280004","0","0","0"
"1280005","0","0","0"
"1280009","0","0","0"
"1280017","0","0","0"
"1280032","0","0","0"
"1290008","0","0","0"
"1290017","0","0","0"
"1290019","0","0","0"
"1290021","0","0","0"
"1290024","0","0","0"
"1300008","0","0","0"
"1300009","0","0","0"
"1300022","0","0","0"
"1300024","0","0","0"
"1300027","0","0","0"
"1300028","0","0","0"
"1310006","0","0","0"
"1310007","0","0","0"
"1310009","0","0","0"
"1310011","0","0","0"
"1310025","0","0","0"
"1310032","0","0","0"
"1320013","0","0","0"
"1320016","0","0","0"
"1320026","0","0","0"
"1320029","0","0","0"
"1320031","0","0","0"
"1330023","0","0","0"
"1330024","0","0","0"
"1330026","0","0","0"
"1330030","0","0","0"
"1330031","0","0","0"
"1330265","0","0","0"
"1340001","0","0","0"
"1340007","0","0","0"
"1340013","0","0","0"
"1340019","0","0","0"
"1340021","0","0","0"
"1340030","0","0","0"
"1350004","0","0","0"
"1350009","0","0","0"
"1350013","0","0","0"
"1350018","0","0","0"
"1350022","0","0","0"
"1350032","0","0","0"
"1360005","0","0","0"
"1360008","0","0","0"
"1360009","0","0","0"
"1360021","0","0","0"
"1360024","0","0","0"
"1360028","0","0","0"
"1370001","0","0","0"
"1370004","0","0","0"
"1370018","0","0","0"
"1370027","0","0","0"
"1370035","0","0","0"
"1380009","0","0","0"
"1380021","0","0","0"
"1380027","0","0","0"
"1380029","0","0","0"
"1380032","0","0","0"
"1390000","0","0","0"
"1390019","0","0","0"
"1390020","0","0","0"
"1390021","0","0","0"
"1390026","0","0","0"
"1390027","0","0","0"
"1400003","0","0","0"
"1400009","0","0","0"
"1400014","0","0","0"
"1400017","0","0","0"
"1400032","0","0","0"
"1400034","0","0","0"
"1410001","0","0","0"
"1410015","0","0","0"
"1410016","0","0","0"
"1410023","0","0","0"
"1410026","0","0","0"
"1410033","0","0","0"
"1420000","0","0","0"
"1420007","0","0","0"
"1420018","0","0","0"
"1420019","0","0","0"
"1420025","0","0","0"
"1420026","0","0","0"
"1430001","0","0","0"
"1430013","0","0","0"
"1430015","0","0","0"
"1430022","0","0","0"
"1440005","0","0","0"
"1440008","0","0","0"
"1440011","0","0","0"
"1440013","0","0","0"
"1440014","0","0","0"
"1440020","0","0","0"
"1450003","0","0","0"
"1450004","0","0","0"
"1450008","0","0","0"
"1450018","0","0","0"
"1450020","0","0","0"
