"Step","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate__MAX"
"820269","0.03125","0.03125","0.03125"
"820297","0","0","0"
"820339","0","0","0"
"830226","0.03125","0.03125","0.03125"
"830244","0.09375","0.09375","0.09375"
"830252","0","0","0"
"830260","0.03125","0.03125","0.03125"
"830299","0.03125","0.03125","0.03125"
"830385","0","0","0"
"840223","0","0","0"
"840243","0","0","0"
"840252","0","0","0"
"840262","0.0625","0.0625","0.0625"
"840294","0.25","0.25","0.25"
"840309","0.03125","0.03125","0.03125"
"850228","0","0","0"
"850262","0","0","0"
"850291","0.03125","0.03125","0.03125"
"850292","0.15625","0.15625","0.15625"
"850308","0","0","0"
"850316","0","0","0"
"860225","0","0","0"
"860242","0","0","0"
"860249","0","0","0"
"860269","0.375","0.375","0.375"
"860325","0","0","0"
"860386","0","0","0"
"870226","0","0","0"
"870233","0","0","0"
"870264","0.03125","0.03125","0.03125"
"870268","0.1875","0.1875","0.1875"
"870331","0","0","0"
"870350","0","0","0"
"880227","0.09375","0.09375","0.09375"
"880231","0","0","0"
"880233","0","0","0"
"880260","0.5","0.5","0.5"
"880304","0.0625","0.0625","0.0625"
"880376","0","0","0"
"890271","0","0","0"
"890273","0.03125","0.03125","0.03125"
"890284","0.03125","0.03125","0.03125"
"890287","0","0","0"
"890294","0.46875","0.46875","0.46875"
"890340","0.0625","0.0625","0.0625"
"900240","0","0","0"
"900242","0.03125","0.03125","0.03125"
"900264","0","0","0"
"900270","0.875","0.875","0.875"
"900353","0.125","0.125","0.125"
"900372","0","0","0"
"910225","0","0","0"
"910240","0","0","0"
"910256","0.09375","0.09375","0.09375"
"910288","0.03125","0.03125","0.03125"
"910308","0.5625","0.5625","0.5625"
"910347","0","0","0"
"920232","0.5","0.5","0.5"
"920245","0.015625","0","0.03125"
"920249","0","0","0"
"920262","0","0","0"
"920298","0","0","0"
"930224","0.03125","0.03125","0.03125"
"930227","0","0","0"
"930230","0.03125","0.03125","0.03125"
"930263","0.625","0.625","0.625"
"930277","0","0","0"
"930306","0","0","0"
"940235","0.0625","0.0625","0.0625"
"940260","0.0625","0.0625","0.0625"
"940282","0","0","0"
"940289","0.03125","0.03125","0.03125"
"940319","0","0","0"
"940334","0.4375","0.4375","0.4375"
"950243","0","0","0"
"950267","0","0","0"
"950276","0.0625","0.0625","0.0625"
"950289","0.78125","0.78125","0.78125"
"950332","0","0","0"
"950367","0.0625","0.0625","0.0625"
"960229","0","0","0"
"960231","0","0","0"
"960237","0.03125","0.03125","0.03125"
"960260","0.09375","0.09375","0.09375"
"960279","0.40625","0.40625","0.40625"
"960331","0","0","0"
"970229","0.0625","0.0625","0.0625"
"970230","0.75","0.75","0.75"
"970233","0","0","0"
"970249","0.1875","0.1875","0.1875"
"970270","0","0","0"
"970294","0","0","0"
"980270","0.625","0.625","0.625"
"980300","0.09375","0.09375","0.09375"
"980306","0.03125","0.03125","0.03125"
"980318","0.03125","0.03125","0.03125"
"980327","0","0","0"
"980372","0","0","0"
"990227","0.125","0.125","0.125"
"990237","0","0","0"
"990241","0","0","0"
"990256","0","0","0"
"990258","0.5625","0.5625","0.5625"
"990286","0.09375","0.09375","0.09375"
"1000232","0.03125","0.03125","0.03125"
"1000242","0","0","0"
"1000269","0.03125","0.03125","0.03125"
"1000307","0","0","0"
"1000357","0.59375","0.59375","0.59375"
"1000359","0","0","0"
"1010230","0.375","0.375","0.375"
"1010247","0.07291666666666667","0","0.15625"
"1010287","0.03125","0.03125","0.03125"
"1010320","0.0625","0.0625","0.0625"
"1020232","0.03125","0.03125","0.03125"
"1020257","0.03125","0.03125","0.03125"
"1020264","0.65625","0.65625","0.65625"
"1020269","0.09375","0.09375","0.09375"
"1020296","0.03125","0.03125","0.03125"
"1020325","0","0","0"
"1030239","0.125","0.125","0.125"
"1030247","0.75","0.75","0.75"
"1030266","0.03125","0.03125","0.03125"
"1030278","0.03125","0.03125","0.03125"
"1030305","0.09375","0.09375","0.09375"
"1030364","0","0","0"
"1040224","0","0","0"
"1040227","0.71875","0.71875","0.71875"
"1040267","0.03125","0.03125","0.03125"
"1040273","0","0","0"
"1040316","0.03125","0.03125","0.03125"
"1040331","0.03125","0.03125","0.03125"
"1050234","0.03125","0.03125","0.03125"
"1050271","0.53125","0.53125","0.53125"
"1050281","0.0625","0.0625","0.0625"
"1050296","0.03125","0.03125","0.03125"
"1050345","0.0625","0.0625","0.0625"
"1060227","0.71875","0.71875","0.71875"
"1060231","0","0","0"
"1060330","0.03125","0.03125","0.03125"
"1060337","0.125","0.125","0.125"
"1060366","0","0","0"
"1060383","0","0","0"
"1070228","0.03125","0.03125","0.03125"
"1070237","0.375","0.125","0.625"
"1070251","0.09375","0.09375","0.09375"
"1070268","0","0","0"
"1070371","0.0625","0.0625","0.0625"
"1080239","0","0","0"
"1080250","0.03125","0.03125","0.03125"
"1080265","0.03125","0.03125","0.03125"
"1080280","0.78125","0.78125","0.78125"
"1080283","0","0","0"
"1080328","0.03125","0.03125","0.03125"
"1090238","0.0625","0.0625","0.0625"
"1090260","0.78125","0.78125","0.78125"
"1090268","0.15625","0.15625","0.15625"
"1090345","0.125","0.125","0.125"
"1090368","0","0","0"
"1090383","0.03125","0.03125","0.03125"
"1100236","0.15625","0.15625","0.15625"
"1100255","0","0","0"
"1100280","0.03125","0.03125","0.03125"
"1100282","0.78125","0.78125","0.78125"
"1100330","0.0625","0.0625","0.0625"
"1100388","0.03125","0.03125","0.03125"
"1110222","0.15625","0.15625","0.15625"
"1110227","0.78125","0.78125","0.78125"
"1110232","0","0","0"
"1110276","0","0","0"
"1110280","0.03125","0.03125","0.03125"
"1110367","0.0625","0.0625","0.0625"
"1120245","0.0625","0.0625","0.0625"
"1120250","0.09375","0.09375","0.09375"
"1120260","0.03125","0.03125","0.03125"
"1120266","0.8125","0.8125","0.8125"
"1120292","0","0","0"
"1120358","0.09375","0.09375","0.09375"
"1130247","0.03125","0.03125","0.03125"
"1130266","0.125","0.125","0.125"
"1130295","0.78125","0.78125","0.78125"
"1130329","0.125","0.125","0.125"
"1130354","0.125","0.125","0.125"
"1130364","0.03125","0.03125","0.03125"
"1140234","0.71875","0.71875","0.71875"
"1140244","0","0","0"
"1140255","0.125","0.125","0.125"
"1140273","0.0625","0.0625","0.0625"
"1140282","0.0625","0.0625","0.0625"
"1140334","0.15625","0.15625","0.15625"
