"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"1020385","0.21875","0.21875","0.21875"
"1030250","0.5","0.5","0.5"
"1030260","0.09375","0.09375","0.09375"
"1030294","0.5625","0.5625","0.5625"
"1030301","0.84375","0.84375","0.84375"
"1030329","0.25","0.25","0.25"
"1030366","0.0625","0.0625","0.0625"
"1040227","0.0625","0.0625","0.0625"
"1040250","0.21875","0.21875","0.21875"
"1040278","0.40625","0.25","0.5625"
"1040289","0.6875","0.6875","0.6875"
"1040340","0.375","0.375","0.375"
"1050220","0.1875","0.1875","0.1875"
"1050228","0.4375","0.4375","0.4375"
"1050272","0.5625","0.5625","0.5625"
"1050290","0.15625","0.15625","0.15625"
"1050291","0.0625","0.0625","0.0625"
"1050379","0.71875","0.71875","0.71875"
"1060225","0.5625","0.5625","0.5625"
"1060263","0.6875","0.6875","0.6875"
"1060277","0.8125","0.8125","0.8125"
"1060284","0.21875","0.21875","0.21875"
"1060308","0.03125","0.03125","0.03125"
"1060336","0.03125","0.03125","0.03125"
"1070260","0.3125","0.3125","0.3125"
"1070270","0.75","0.75","0.75"
"1070287","0.8125","0.8125","0.8125"
"1070288","0.6875","0.6875","0.6875"
"1070309","0.03125","0.03125","0.03125"
"1070312","0.0625","0.0625","0.0625"
"1080222","0.75","0.75","0.75"
"1080231","0.4375","0.4375","0.4375"
"1080242","0.4375","0.4375","0.4375"
"1080247","0.09375","0.09375","0.09375"
"1080288","0.03125","0.03125","0.03125"
"1080374","0.875","0.875","0.875"
"1090242","0.15625","0.15625","0.15625"
"1090264","0.03125","0.03125","0.03125"
"1090283","0.5625","0.5625","0.5625"
"1090289","0.71875","0.71875","0.71875"
"1090293","0.5625","0.5625","0.5625"
"1090309","0.5","0.5","0.5"
"1100228","0.609375","0.46875","0.75"
"1100248","0.15625","0.15625","0.15625"
"1100256","0.78125","0.78125","0.78125"
"1100287","0.21875","0.21875","0.21875"
"1100302","0","0","0"
"1110228","0.6875","0.6875","0.6875"
"1110255","0.4375","0.4375","0.4375"
"1110271","0.46875","0.46875","0.46875"
"1110303","0.59375","0.59375","0.59375"
"1110343","0","0","0"
"1110345","0.09375","0.09375","0.09375"
"1120223","0.4375","0.4375","0.4375"
"1120233","0.5625","0.5625","0.5625"
"1120235","0.4375","0.4375","0.4375"
"1120240","0.65625","0.65625","0.65625"
"1120269","0.53125","0.53125","0.53125"
"1120326","0","0","0"
"1130221","0.03125","0.03125","0.03125"
"1130243","0.5625","0.5625","0.5625"
"1130276","0.1875","0.1875","0.1875"
"1130289","0.71875","0.71875","0.71875"
"1130292","0.5","0.5","0.5"
"1130320","0.5","0.5","0.5"
"1140226","0.4375","0.4375","0.4375"
"1140232","0.4375","0.4375","0.4375"
"1140240","0.65625","0.65625","0.65625"
"1140289","0.78125","0.78125","0.78125"
"1140376","0.3125","0.3125","0.3125"
"1140384","0.09375","0.09375","0.09375"
"1150251","0.6875","0.6875","0.6875"
"1150255","0.28125","0.28125","0.28125"
"1150282","0.625","0.625","0.625"
"1150297","0.375","0.375","0.375"
"1150313","0.03125","0.03125","0.03125"
"1150378","0.3125","0.3125","0.3125"
"1160222","0.59375","0.59375","0.59375"
"1160264","0.6875","0.6875","0.6875"
"1160275","0.15625","0.15625","0.15625"
"1160291","0.59375","0.59375","0.59375"
"1160316","0.625","0.625","0.625"
"1160319","0.40625","0.40625","0.40625"
"1170229","0.5","0.5","0.5"
"1170270","0.84375","0.84375","0.84375"
"1170276","0.59375","0.59375","0.59375"
"1170293","0.40625","0.40625","0.40625"
"1170374","0.15625","0.15625","0.15625"
"1170380","0.15625","0.15625","0.15625"
"1180245","0.875","0.875","0.875"
"1180253","0.59375","0.59375","0.59375"
"1180261","0.71875","0.71875","0.71875"
"1180277","0.03125","0.03125","0.03125"
"1180318","0.375","0.375","0.375"
"1180331","0.28125","0.28125","0.28125"
"1190221","0.28125","0.28125","0.28125"
"1190232","0.71875","0.71875","0.71875"
"1190240","0.65625","0.65625","0.65625"
"1190262","0.6875","0.6875","0.6875"
"1190377","0.09375","0.09375","0.09375"
"1200242","0.46875","0.46875","0.46875"
"1200249","0.0625","0.0625","0.0625"
"1200266","0.59375","0.59375","0.59375"
"1200281","0.625","0.625","0.625"
"1200295","0.4375","0.4375","0.4375"
"1200306","0.5625","0.5625","0.5625"
"1210223","0.1875","0.1875","0.1875"
"1210256","0.78125","0.78125","0.78125"
"1210275","0.6875","0.6875","0.6875"
"1210285","0.5625","0.5625","0.5625"
"1210309","0.53125","0.53125","0.53125"
"1210338","0.6875","0.6875","0.6875"
"1220243","0.53125","0.53125","0.53125"
"1220245","0.78125","0.78125","0.78125"
"1220262","0.65625","0.65625","0.65625"
"1220264","0.5625","0.5625","0.5625"
"1220279","0.1875","0.1875","0.1875"
"1230224","0.53125","0.53125","0.53125"
"1230243","0.59375","0.59375","0.59375"
"1230246","0.875","0.875","0.875"
"1230249","0.59375","0.59375","0.59375"
"1230253","0.21875","0.21875","0.21875"
