"Step","Group: zerg_10_vs_11_ACORM - win_rate","Group: zerg_10_vs_11_ACORM - win_rate__MIN","Group: zerg_10_vs_11_ACORM - win_rate__MAX"
"1460226","0","0","0"
"1460241","0.1875","0.1875","0.1875"
"1460255","0.1875","0.1875","0.1875"
"1460263","0.125","0.125","0.125"
"1470228","0.21875","0.21875","0.21875"
"1470235","0.03125","0.03125","0.03125"
"1470238","0.125","0.125","0.125"
"1470256","0.25","0.25","0.25"
"1480224","0.3125","0.3125","0.3125"
"1480236","0.0625","0.0625","0.0625"
"1480241","0.15625","0.15625","0.15625"
"1480249","0.15625","0.15625","0.15625"
"1490230","0.25","0.25","0.25"
"1490232","0.28125","0.28125","0.28125"
"1490252","0.0625","0.0625","0.0625"
"1490257","0.03125","0.03125","0.03125"
"1500225","0.0625","0.0625","0.0625"
"1500231","0.03125","0.03125","0.03125"
"1500232","0.25","0.25","0.25"
"1500256","0.3125","0.3125","0.3125"
"1510222","0.0625","0.0625","0.0625"
"1510223","0.0625","0.0625","0.0625"
"1510230","0.1875","0.0625","0.3125"
"1520224","0.03125","0.03125","0.03125"
"1520225","0.15625","0.15625","0.15625"
"1520227","0.1875","0.1875","0.1875"
"1520233","0.1875","0.1875","0.1875"
"1530227","0.09375","0.09375","0.09375"
"1530236","0.15625","0.15625","0.15625"
"1530239","0.125","0.125","0.125"
"1540228","0.21875","0.21875","0.21875"
"1540235","0.21875","0.21875","0.21875"
"1540236","0.03125","0.03125","0.03125"
"1540243","0.28125","0.28125","0.28125"
"1550231","0.21875","0.21875","0.21875"
"1550233","0.21875","0.21875","0.21875"
"1550234","0.0625","0.0625","0.0625"
"1550242","0.25","0.25","0.25"
"1560225","0.25","0.25","0.25"
"1560244","0.0625","0.0625","0.0625"
"1560268","0.03125","0.03125","0.03125"
"1560295","0.1875","0.1875","0.1875"
"1570225","0.09375","0.09375","0.09375"
"1570232","0.21875","0.21875","0.21875"
"1570236","0.25","0.25","0.25"
"1570243","0.15625","0.15625","0.15625"
"1580221","0.125","0.125","0.125"
"1580225","0.03125","0.03125","0.03125"
"1580226","0.125","0.125","0.125"
"1580241","0.09375","0.09375","0.09375"
"1590222","0.21875","0.21875","0.21875"
"1590239","0.1875","0.1875","0.1875"
"1590244","0.09375","0.09375","0.09375"
"1590252","0.15625","0.15625","0.15625"
"1600225","0.03125","0.03125","0.03125"
"1600226","0.21875","0.21875","0.21875"
"1600233","0.125","0.125","0.125"
"1600250","0.1875","0.1875","0.1875"
"1610225","0","0","0"
"1610227","0.28125","0.28125","0.28125"
"1610248","0.1875","0.1875","0.1875"
"1610250","0.125","0.125","0.125"
"1620227","0.15625","0.15625","0.15625"
"1620230","0.3125","0.3125","0.3125"
