"Step","Group: zerg_10_vs_11_ACORM_WM - win_rate","Group: zerg_10_vs_11_ACORM_WM - win_rate__MIN","Group: zerg_10_vs_11_ACORM_WM - win_rate__MAX"
"650252","0.15625","0.15625","0.15625"
"660230","0.1875","0.1875","0.1875"
"660231","0.1875","0.1875","0.1875"
"660237","0.15625","0.15625","0.15625"
"660238","0.09375","0.09375","0.09375"
"660264","0.1875","0.1875","0.1875"
"670222","0.25","0.25","0.25"
"670236","0.21875","0.21875","0.21875"
"670238","0.28125","0.28125","0.28125"
"670245","0.125","0.125","0.125"
"670247","0.09375","0.09375","0.09375"
"680224","0.1875","0.1875","0.1875"
"680243","0.25","0.25","0.25"
"680251","0.15625","0.15625","0.15625"
"680256","0.34375","0.34375","0.34375"
"680261","0.21875","0.21875","0.21875"
"690233","0.15625","0.09375","0.21875"
"690239","0.0625","0.0625","0.0625"
"690240","0.15625","0.15625","0.15625"
"690243","0.125","0.125","0.125"
"700225","0.15625","0.15625","0.15625"
"700245","0.234375","0.09375","0.375"
"700256","0.125","0.125","0.125"
"700271","0.09375","0.09375","0.09375"
"710223","0.25","0.25","0.25"
"710230","0.1875","0.1875","0.1875"
"710232","0.1875","0.1875","0.1875"
"710235","0.0625","0.0625","0.0625"
"710252","0.15625","0.15625","0.15625"
"720235","0.1875","0.1875","0.1875"
"720241","0.21875","0.21875","0.21875"
"720244","0.125","0.125","0.125"
"720250","0.1875","0.1875","0.1875"
"720252","0","0","0"
"730235","0.1875","0.1875","0.1875"
"730239","0.3125","0.3125","0.3125"
"730241","0.34375","0.34375","0.34375"
"730244","0.09375","0.09375","0.09375"
"730271","0.15625","0.15625","0.15625"
"740229","0.09375","0.09375","0.09375"
"740230","0.15625","0.15625","0.15625"
"740231","0.21875","0.21875","0.21875"
"740241","0.1875","0.1875","0.1875"
"740244","0.21875","0.21875","0.21875"
"750230","0.1875","0.1875","0.1875"
"750245","0.28125","0.28125","0.28125"
"750248","0.25","0.25","0.25"
"750256","0.0625","0.0625","0.0625"
"750267","0.15625","0.15625","0.15625"
"760221","0.21875","0.21875","0.21875"
"760222","0.125","0.125","0.125"
"760228","0.25","0.25","0.25"
"760240","0.25","0.25","0.25"
"760248","0.1875","0.1875","0.1875"
"770221","0.15625","0.15625","0.15625"
"770229","0.15625","0.15625","0.15625"
"770231","0.15625","0.15625","0.15625"
"770239","0.25","0.25","0.25"
"770242","0.28125","0.28125","0.28125"
"780221","0.171875","0.0625","0.28125"
"780224","0.21875","0.21875","0.21875"
"780226","0.125","0.125","0.125"
"780256","0.25","0.25","0.25"
"790223","0.0625","0.0625","0.0625"
"790228","0.1875","0.1875","0.1875"
"790235","0.3125","0.3125","0.3125"
"790237","0.25","0.25","0.25"
"790255","0.3125","0.3125","0.3125"
"800221","0.3125","0.3125","0.3125"
"800230","0.203125","0.125","0.28125"
"800231","0.21875","0.21875","0.21875"
"800256","0.09375","0.09375","0.09375"
"810222","0.0625","0.0625","0.0625"
"810228","0.125","0.125","0.125"
"810229","0.3125","0.3125","0.3125"
"810233","0.1875","0.1875","0.1875"
"810241","0.28125","0.28125","0.28125"
"820232","0.25","0.25","0.25"
"820238","0.15625","0.15625","0.15625"
"820245","0.28125","0.28125","0.28125"
"820263","0.0625","0.0625","0.0625"
"820266","0.1875","0.1875","0.1875"
"830222","0.21875","0.21875","0.21875"
"830227","0.21875","0.21875","0.21875"
"830263","0.1875","0.1875","0.1875"
"830272","0.3125","0.3125","0.3125"
"830289","0.375","0.375","0.375"
"840220","0.28125","0.28125","0.28125"
"840222","0.375","0.375","0.375"
"840232","0.28125","0.28125","0.28125"
"840248","0.09375","0.09375","0.09375"
"840269","0.125","0.125","0.125"
"850221","0.1875","0.1875","0.1875"
"850231","0.1875","0.1875","0.1875"
"850233","0.125","0.125","0.125"
"850237","0","0","0"
"850251","0.34375","0.34375","0.34375"
"860224","0.234375","0.21875","0.25"
"860235","0.09375","0.09375","0.09375"
"860237","0.03125","0.03125","0.03125"
"860238","0.25","0.25","0.25"
