"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"600314","0","0","0"
"600738","0","0","0"
"610226","0.03125","0.03125","0.03125"
"610227","0","0","0"
"610241","0.03125","0.03125","0.03125"
"610262","0.03125","0.03125","0.03125"
"610280","0","0","0"
"610336","0","0","0"
"610725","0","0","0"
"620225","0","0","0"
"620226","0","0","0"
"620238","0","0","0"
"620260","0","0","0"
"620334","0","0","0"
"620389","0.15625","0.15625","0.15625"
"620640","0","0","0"
"630261","0","0","0"
"630281","0","0","0"
"630341","0","0","0"
"630355","0.03125","0.03125","0.03125"
"630359","0.21875","0.21875","0.21875"
"630372","0.03125","0.03125","0.03125"
"630740","0","0","0"
"640230","0","0","0"
"640249","0.09375","0.09375","0.09375"
"640269","0","0","0"
"640272","0","0","0"
"640360","0","0","0"
"640377","0.03125","0.03125","0.03125"
"640633","0","0","0"
"650225","0.09375","0.09375","0.09375"
"650245","0","0","0"
"650260","0.03125","0.03125","0.03125"
"650281","0.03125","0.03125","0.03125"
"650300","0.1875","0.1875","0.1875"
"650329","0","0","0"
"650631","0","0","0"
"660227","0.03125","0.03125","0.03125"
"660240","0","0","0"
"660245","0.125","0.125","0.125"
"660261","0","0","0"
"660279","0","0","0"
"660378","0.125","0.125","0.125"
"660600","0","0","0"
"670222","0","0","0"
"670270","0","0","0"
"670271","0","0","0"
"670303","0.03125","0.03125","0.03125"
"670314","0.28125","0.28125","0.28125"
"670351","0.125","0.125","0.125"
"670633","0","0","0"
"680227","0.3125","0.3125","0.3125"
"680237","0","0","0"
"680243","0","0","0"
"680288","0.0625","0.0625","0.0625"
"680303","0","0","0"
"680310","0","0","0"
"680694","0","0","0"
"690230","0.03125","0.03125","0.03125"
"690257","0.3125","0.3125","0.3125"
"690283","0","0","0"
"690288","0","0","0"
"690300","0","0","0"
"690347","0","0","0"
"690737","0","0","0"
"700226","0.03125","0.03125","0.03125"
"700247","0.015625","0","0.03125"
"700249","0.1875","0.1875","0.1875"
"700296","0.0625","0.0625","0.0625"
"700372","0","0","0"
"700739","0","0","0"
"710223","0.0625","0.0625","0.0625"
"710247","0.40625","0.40625","0.40625"
"710253","0.15625","0.15625","0.15625"
"710267","0","0","0"
"710295","0","0","0"
"710334","0.03125","0.03125","0.03125"
"710764","0","0","0"
"720237","0.03125","0.03125","0.03125"
"720274","0.125","0.125","0.125"
"720289","0","0","0"
"720297","0.0625","0.0625","0.0625"
"720298","0.09375","0.09375","0.09375"
"720328","0","0","0"
"720701","0","0","0"
"730251","0.0625","0.0625","0.0625"
"730259","0","0","0"
"730265","0.15625","0.15625","0.15625"
"730266","0","0","0"
"730269","0","0","0"
"730322","0.40625","0.40625","0.40625"
"730663","0","0","0"
"740243","0.03125","0.03125","0.03125"
"740245","0.15625","0.15625","0.15625"
"740255","0.03125","0.03125","0.03125"
"740258","0","0","0"
"740292","0.1875","0.1875","0.1875"
"740313","0","0","0"
"740662","0","0","0"
"750225","0.015625","0","0.03125"
"750260","0.28125","0.28125","0.28125"
"750314","0.15625","0.15625","0.15625"
"750340","0.03125","0.03125","0.03125"
"750369","0","0","0"
"750699","0","0","0"
"760248","0.03125","0.03125","0.03125"
"760264","0.15625","0.15625","0.15625"
"760276","0.09375","0.09375","0.09375"
"760283","0.21875","0.21875","0.21875"
"760307","0.03125","0.03125","0.03125"
"760323","0","0","0"
"760686","0","0","0"
"770221","0.03125","0.03125","0.03125"
"770242","0","0","0"
"770260","0","0","0"
"770281","0.65625","0.65625","0.65625"
"770349","0.09375","0.09375","0.09375"
"770387","0.1875","0.1875","0.1875"
"770611","0","0","0"
"780222","0.65625","0.65625","0.65625"
"780241","0","0","0"
"780250","0","0","0"
"780265","0.25","0.25","0.25"
"780308","0","0","0"
"780336","0.03125","0.03125","0.03125"
"780618","0","0","0"
"790224","0","0","0"
"790257","0.09375","0.09375","0.09375"
"790278","0","0","0"
