"Step","Group: 3s5z_vs_3s6z_QMIX - win_rate","Group: 3s5z_vs_3s6z_QMIX - win_rate__MIN","Group: 3s5z_vs_3s6z_QMIX - win_rate__MAX"
"790027","0","0","0"
"790029","0","0","0"
"790036","0","0","0"
"790071","0","0","0"
"800004","0","0","0"
"800006","0","0","0"
"800011","0","0","0"
"800012","0","0","0"
"800037","0","0","0"
"800061","0","0","0"
"810009","0","0","0"
"810021","0","0","0"
"810032","0","0","0"
"810044","0","0","0"
"810070","0","0","0"
"810099","0","0","0"
"820015","0","0","0"
"820027","0","0","0"
"820032","0","0","0"
"820042","0","0","0"
"820053","0","0","0"
"820111","0","0","0"
"830008","0","0","0"
"830018","0","0","0"
"830024","0","0","0"
"830028","0","0","0"
"830089","0","0","0"
"830108","0","0","0"
"840010","0","0","0"
"840014","0","0","0"
"840015","0","0","0"
"840034","0","0","0"
"840038","0","0","0"
"840066","0","0","0"
"850004","0","0","0"
"850043","0","0","0"
"850059","0","0","0"
"850168","0","0","0"
"860001","0","0","0"
"860002","0","0","0"
"860004","0","0","0"
"860042","0","0","0"
"860043","0","0","0"
"860115","0","0","0"
"870035","0","0","0"
"870071","0","0","0"
"870104","0","0","0"
"870106","0","0","0"
"870131","0","0","0"
"870142","0","0","0"
"880018","0","0","0"
"880037","0","0","0"
"880038","0","0","0"
"880049","0","0","0"
"880099","0","0","0"
"880112","0","0","0"
"890007","0","0","0"
"890008","0","0","0"
"890039","0","0","0"
"890051","0","0","0"
"890052","0","0","0"
"890070","0","0","0"
"900010","0","0","0"
"900015","0","0","0"
"900031","0","0","0"
"900032","0","0","0"
"900035","0","0","0"
"900072","0","0","0"
"910010","0","0","0"
"910014","0","0","0"
"910023","0","0","0"
"910026","0","0","0"
"910040","0","0","0"
"920005","0","0","0"
"920021","0","0","0"
"920035","0","0","0"
"920045","0","0","0"
"920109","0","0","0"
"920156","0","0","0"
"930030","0","0","0"
"930031","0","0","0"
"930042","0","0","0"
"930047","0","0","0"
"930076","0","0","0"
"930110","0","0","0"
"940004","0","0","0"
"940005","0","0","0"
"940009","0","0","0"
"940014","0","0","0"
"940026","0","0","0"
"940035","0","0","0"
"950010","0","0","0"
"950022","0","0","0"
"950025","0","0","0"
"950026","0","0","0"
"950125","0","0","0"
"950133","0","0","0"
"960008","0","0","0"
"960014","0","0","0"
"960018","0","0","0"
"960044","0","0","0"
"960045","0","0","0"
"960120","0","0","0"
"970003","0","0","0"
"970021","0","0","0"
"970025","0","0","0"
"970044","0","0","0"
"970073","0","0","0"
"970138","0","0","0"
"980008","0","0","0"
"980018","0","0","0"
"980019","0","0","0"
"980030","0","0","0"
"980037","0","0","0"
"980079","0","0","0"
"990013","0","0","0"
"990030","0","0","0"
"990051","0","0","0"
"990066","0","0","0"
"990090","0","0","0"
"990144","0","0","0"
"1000008","0","0","0"
"1000025","0","0","0"
"1000032","0","0","0"
"1000047","0","0","0"
"1000112","0","0","0"
"1000120","0","0","0"
"1010005","0","0","0"
"1010008","0","0","0"
"1010010","0","0","0"
"1010013","0","0","0"
"1010026","0","0","0"
"1010040","0","0","0"
"1020006","0","0","0"
"1020036","0","0","0"
"1020040","0","0","0"
"1020048","0","0","0"
"1020097","0","0","0"
"1020104","0","0","0"
"1030018","0","0","0"
"1030029","0","0","0"
"1030030","0","0","0"
"1030035","0","0","0"
"1030073","0","0","0"
"1030158","0","0","0"
"1040009","0","0","0"
"1040028","0","0","0"
"1040037","0","0","0"
"1040044","0","0","0"
"1040113","0","0","0"
"1040132","0","0","0"
"1050006","0","0","0"
"1050007","0","0","0"
"1050022","0","0","0"
"1050031","0","0","0"
"1050042","0","0","0"
"1050134","0","0","0"
"1060004","0","0","0"
"1060023","0","0","0"
"1060025","0","0","0"
"1060032","0","0","0"
"1060037","0","0","0"
"1060110","0","0","0"
"1070008","0","0","0"
"1070012","0","0","0"
"1070013","0","0","0"
"1070028","0","0","0"
"1070043","0","0","0"
"1070074","0","0","0"
"1080002","0","0","0"
"1080042","0","0","0"
"1080052","0","0","0"
"1080083","0","0","0"
"1080158","0","0","0"
"1090000","0","0","0"
"1090029","0","0","0"
"1090037","0","0","0"
"1090096","0","0","0"
"1090154","0","0","0"
"1100031","0","0","0"
"1100032","0","0","0"
"1100038","0","0","0"
"1100053","0","0","0"
"1100123","0","0","0"
"1110001","0","0","0"
"1110002","0","0","0"
"1110014","0","0","0"
"1110025","0","0","0"
"1110104","0","0","0"
"1120004","0","0","0"
"1120018","0","0","0"
"1120020","0","0","0"
"1120026","0","0","0"
"1120038","0","0","0"
"1120082","0","0","0"
"1130007","0","0","0"
"1130017","0","0","0"
"1130023","0","0","0"
"1130025","0","0","0"
"1130028","0","0","0"
"1130042","0","0","0"
"1140004","0","0","0"
"1140013","0","0","0"
"1140034","0","0","0"
"1140053","0","0","0"
"1140054","0","0","0"
"1140056","0","0","0"
"1150007","0","0","0"
"1150023","0","0","0"
"1150058","0","0","0"
"1150093","0","0","0"
"1150106","0","0","0"
"1160003","0","0","0"
"1160025","0","0","0"
"1160071","0","0","0"
"1160097","0","0","0"
"1160128","0","0","0"
"1160163","0","0","0"
"1170006","0","0","0"
"1170011","0","0","0"
"1170027","0","0","0"
"1170047","0","0","0"
"1170052","0","0","0"
"1170058","0","0","0"
"1180002","0","0","0"
"1180035","0","0","0"
"1180080","0","0","0"
"1180087","0","0","0"
"1180115","0","0","0"
"1180137","0","0","0"
"1190001","0","0","0"
"1190070","0","0","0"
"1190136","0","0","0"
"1190156","0","0","0"
"1190168","0","0","0"
"1200002","0","0","0"
"1200013","0","0","0"
"1200023","0","0","0"
"1200035","0","0","0"
"1200072","0.03125","0.03125","0.03125"
"1200145","0","0","0"
