"Step","Group: 5m_vs_6m_ACORM - win_rate","Group: 5m_vs_6m_ACORM - win_rate__MIN","Group: 5m_vs_6m_ACORM - win_rate__MAX"
"460604","0.5625","0.5625","0.5625"
"460607","0.53125","0.53125","0.53125"
"460620","0.625","0.625","0.625"
"460621","0.625","0.625","0.625"
"460636","0.375","0.375","0.375"
"470601","0.46875","0.46875","0.46875"
"470602","0.71875","0.71875","0.71875"
"470607","0.53125","0.53125","0.53125"
"470611","0.71875","0.71875","0.71875"
"470621","0.59375","0.59375","0.59375"
"470645","0.4375","0.4375","0.4375"
"480600","0.71875","0.71875","0.71875"
"480603","0.71875","0.71875","0.71875"
"480605","0.6875","0.6875","0.6875"
"480617","0.53125","0.53125","0.53125"
"480622","0.46875","0.46875","0.46875"
"480631","0.6875","0.6875","0.6875"
"490601","0.6875","0.6875","0.6875"
"490612","0.40625","0.40625","0.40625"
"490613","0.28125","0.28125","0.28125"
"490616","0.65625","0.65625","0.65625"
"490620","0.5","0.5","0.5"
"490623","0.71875","0.71875","0.71875"
"500604","0.25","0.25","0.25"
"500613","0.5","0.5","0.5"
"500617","0.75","0.75","0.75"
"500621","0.6875","0.6875","0.6875"
"500623","0.53125","0.53125","0.53125"
"500625","0.5625","0.5625","0.5625"
"510606","0.6875","0.6875","0.6875"
"510608","0.65625","0.65625","0.65625"
"510613","0.65625","0.65625","0.65625"
"510618","0.71875","0.71875","0.71875"
"510625","0.6875","0.6875","0.6875"
"510644","0.34375","0.34375","0.34375"
"520603","0.75","0.75","0.75"
"520607","0.5625","0.5625","0.5625"
"520619","0.6875","0.6875","0.6875"
"520622","0.71875","0.71875","0.71875"
"520624","0.6875","0.6875","0.6875"
"520641","0.34375","0.34375","0.34375"
"530600","0.625","0.625","0.625"
"530602","0.6875","0.6875","0.6875"
"530609","0.5625","0.5625","0.5625"
"530613","0.625","0.625","0.625"
"530622","0.6875","0.6875","0.6875"
"530625","0.40625","0.40625","0.40625"
"540605","0.71875","0.71875","0.71875"
"540610","0.5625","0.5625","0.5625"
"540611","0.78125","0.78125","0.78125"
"540623","0.5","0.5","0.5"
"540624","0.65625","0.65625","0.65625"
"540627","0.5625","0.5625","0.5625"
"550603","0.3125","0.3125","0.3125"
"550604","0.5625","0.5625","0.5625"
"550605","0.46875","0.46875","0.46875"
"550608","0.59375","0.59375","0.59375"
"550623","0.6875","0.6875","0.6875"
"550656","0.65625","0.65625","0.65625"
"560602","0.6875","0.6875","0.6875"
"560603","0.71875","0.71875","0.71875"
"560613","0.65625","0.65625","0.65625"
"560618","0.625","0.625","0.625"
"560624","0.5625","0.5625","0.5625"
"560660","0.3125","0.3125","0.3125"
"570606","0.6875","0.6875","0.6875"
"570611","0.75","0.75","0.75"
"570612","0.625","0.625","0.625"
"570616","0.625","0.625","0.625"
"570624","0.4375","0.4375","0.4375"
"570629","0.5","0.5","0.5"
"580601","0.4375","0.4375","0.4375"
"580602","0.609375","0.5625","0.65625"
"580609","0.59375","0.59375","0.59375"
"580610","0.1875","0.1875","0.1875"
"580622","0.78125","0.78125","0.78125"
"590600","0.625","0.625","0.625"
"590613","0.53125","0.4375","0.625"
"590614","0.875","0.875","0.875"
"590619","0.1875","0.1875","0.1875"
"590622","0.78125","0.78125","0.78125"
"600601","0.40625","0.40625","0.40625"
"600604","0.71875","0.71875","0.71875"
"600608","0.46875","0.46875","0.46875"
"600610","0.6875","0.6875","0.6875"
"600613","0.75","0.75","0.75"
"600634","0.3125","0.3125","0.3125"
"610605","0.4375","0.4375","0.4375"
"610607","0.46875","0.46875","0.46875"
"610610","0.78125","0.78125","0.78125"
"610616","0.4375","0.4375","0.4375"
"610624","0.75","0.75","0.75"
"610627","0.71875","0.71875","0.71875"
"620603","0.625","0.625","0.625"
"620607","0.6875","0.6875","0.6875"
"620614","0.25","0.25","0.25"
"620620","0.6875","0.6875","0.6875"
