"Step","Group: 5m_vs_6m_ACORM_WM - win_rate","Group: 5m_vs_6m_ACORM_WM - win_rate__MIN","Group: 5m_vs_6m_ACORM_WM - win_rate__MAX"
"830616","0.625","0.625","0.625"
"830617","0.875","0.875","0.875"
"830623","0.6875","0.6875","0.6875"
"840607","0.53125","0.53125","0.53125"
"840619","0.84375","0.84375","0.84375"
"840620","0.734375","0.71875","0.75"
"840621","0.6875","0.6875","0.6875"
"850600","0.59375","0.59375","0.59375"
"850601","0.5625","0.5625","0.5625"
"850618","0.75","0.75","0.75"
"850624","0.625","0.625","0.625"
"850626","0.625","0.625","0.625"
"860601","0.59375","0.59375","0.59375"
"860606","0.8125","0.8125","0.8125"
"860610","0.65625","0.65625","0.65625"
"860616","0.65625","0.65625","0.65625"
"860620","0.6875","0.6875","0.6875"
"870600","0.65625","0.65625","0.65625"
"870604","0.59375","0.59375","0.59375"
"870618","0.59375","0.59375","0.59375"
"870621","0.75","0.75","0.75"
"870622","0.75","0.75","0.75"
"880604","0.46875","0.46875","0.46875"
"880607","0.65625","0.65625","0.65625"
"880616","0.6875","0.6875","0.6875"
"880617","0.71875","0.71875","0.71875"
"880624","0.65625","0.65625","0.65625"
"890601","0.625","0.625","0.625"
"890606","0.671875","0.625","0.71875"
"890607","0.75","0.75","0.75"
"890622","0.625","0.625","0.625"
"900606","0.65625","0.65625","0.65625"
"900608","0.578125","0.5625","0.59375"
"900613","0.75","0.75","0.75"
"900616","0.65625","0.65625","0.65625"
"910603","0.59375","0.59375","0.59375"
"910605","0.59375","0.59375","0.59375"
"910613","0.65625","0.625","0.6875"
"910616","0.75","0.75","0.75"
"920604","0.71875","0.71875","0.71875"
"920610","0.71875","0.71875","0.71875"
"920613","0.609375","0.59375","0.625"
"920617","0.625","0.625","0.625"
"930605","0.6875","0.65625","0.71875"
"930607","0.8125","0.8125","0.8125"
"930614","0.875","0.875","0.875"
"930619","0.75","0.75","0.75"
"940600","0.6875","0.6875","0.6875"
"940601","0.71875","0.71875","0.71875"
"940602","0.75","0.75","0.75"
"940604","0.625","0.625","0.625"
"940626","0.53125","0.53125","0.53125"
"950604","0.5","0.5","0.5"
"950612","0.78125","0.78125","0.78125"
"950613","0.75","0.75","0.75"
"950617","0.671875","0.59375","0.75"
"960600","0.65625","0.65625","0.65625"
"960604","0.78125","0.78125","0.78125"
"960616","0.75","0.75","0.75"
"960619","0.71875","0.71875","0.71875"
"960621","0.59375","0.59375","0.59375"
"970608","0.625","0.625","0.625"
"970609","0.71875","0.71875","0.71875"
"970621","0.6875","0.6875","0.6875"
"970622","0.625","0.625","0.625"
"970633","0.625","0.625","0.625"
"980603","0.65625","0.65625","0.65625"
"980610","0.78125","0.78125","0.78125"
"980615","0.75","0.75","0.75"
"980625","0.59375","0.59375","0.59375"
"980627","0.59375","0.59375","0.59375"
"990601","0.71875","0.71875","0.71875"
"990607","0.625","0.625","0.625"
"990610","0.625","0.625","0.625"
"990614","0.75","0.75","0.75"
"990616","0.65625","0.65625","0.65625"
"1000603","0.71875","0.6875","0.75"
"1000609","0.59375","0.59375","0.59375"
"1000613","0.8125","0.8125","0.8125"
"1000614","0.625","0.625","0.625"
"1010602","0.78125","0.78125","0.78125"
"1010606","0.71875","0.71875","0.71875"
"1010614","0.6875","0.6875","0.6875"
"1010620","0.78125","0.78125","0.78125"
"1010625","0.75","0.75","0.75"
"1020602","0.78125","0.78125","0.78125"
"1020604","0.5625","0.5625","0.5625"
"1020607","0.59375","0.59375","0.59375"
"1020612","0.625","0.625","0.625"
"1020616","0.84375","0.84375","0.84375"
"1030602","0.8125","0.8125","0.8125"
"1030615","0.8125","0.8125","0.8125"
"1030619","0.65625","0.65625","0.65625"
"1030620","0.6875","0.6875","0.6875"
"1030625","0.59375","0.59375","0.59375"
"1040604","0.6875","0.6875","0.6875"
"1040608","0.71875","0.71875","0.71875"
"1040615","0.78125","0.78125","0.78125"
"1040620","0.6875","0.6875","0.6875"
"1040628","0.78125","0.78125","0.78125"
"1050601","0.6875","0.6875","0.6875"
"1050610","0.8125","0.8125","0.8125"
"1050618","0.6875","0.6875","0.6875"
"1050622","0.78125","0.78125","0.78125"
"1050624","0.75","0.75","0.75"
"1060600","0.71875","0.71875","0.71875"
"1060609","0.71875","0.71875","0.71875"
"1060614","0.640625","0.59375","0.6875"
"1060619","0.75","0.75","0.75"
"1070601","0.90625","0.90625","0.90625"
"1070610","0.78125","0.78125","0.78125"
"1070612","0.59375","0.59375","0.59375"
"1070615","0.75","0.75","0.75"
"1070626","0.8125","0.8125","0.8125"
"1080606","0.75","0.75","0.75"
"1080616","0.71875","0.71875","0.71875"
"1080618","0.5","0.5","0.5"
"1080624","0.671875","0.625","0.71875"
"1090606","0.6875","0.6875","0.6875"
"1090607","0.65625","0.65625","0.65625"
"1090616","0.75","0.75","0.75"
"1090622","0.71875","0.71875","0.71875"
"1090623","0.59375","0.59375","0.59375"
"1100603","0.84375","0.84375","0.84375"
"1100616","0.6875","0.65625","0.71875"
"1100619","0.53125","0.53125","0.53125"
"1100620","0.875","0.875","0.875"
"1110614","0.65625","0.65625","0.65625"
"1110617","0.78125","0.78125","0.78125"
"1110619","0.59375","0.59375","0.59375"
"1110621","0.75","0.75","0.75"
"1120605","0.625","0.625","0.625"
"1120606","0.71875","0.71875","0.71875"
"1120616","0.625","0.625","0.625"
"1120620","0.625","0.625","0.625"
"1120622","0.6875","0.6875","0.6875"
"1130609","0.6875","0.6875","0.6875"
"1130613","0.71875","0.71875","0.71875"
"1130618","0.71875","0.5","0.9375"
"1130625","0.59375","0.59375","0.59375"
"1140603","0.5625","0.5625","0.5625"
"1140610","0.65625","0.65625","0.65625"
"1140614","0.59375","0.59375","0.59375"
"1140620","0.8125","0.8125","0.8125"
"1140621","0.71875","0.71875","0.71875"
"1150612","0.6875","0.6875","0.6875"
"1150613","0.6875","0.6875","0.6875"
"1150615","0.75","0.75","0.75"
"1150617","0.75","0.75","0.75"
"1150622","0.71875","0.71875","0.71875"
"1160604","0.71875","0.71875","0.71875"
"1160605","0.6875","0.6875","0.6875"
"1160614","0.875","0.875","0.875"
"1160616","0.65625","0.65625","0.65625"
"1160621","0.8125","0.8125","0.8125"
"1170603","0.78125","0.78125","0.78125"
"1170608","0.5","0.5","0.5"
"1170618","0.78125","0.78125","0.78125"
"1170620","0.90625","0.90625","0.90625"
"1170621","0.625","0.625","0.625"
"1180606","0.5625","0.5625","0.5625"
"1180608","0.71875","0.71875","0.71875"
"1180610","0.8125","0.8125","0.8125"
"1180612","0.65625","0.65625","0.65625"
"1180621","0.6875","0.6875","0.6875"
"1190603","0.59375","0.59375","0.59375"
"1190605","0.65625","0.65625","0.65625"
"1190608","0.75","0.75","0.75"
"1190619","0.8125","0.8125","0.8125"
"1190621","0.65625","0.65625","0.65625"
"1200605","0.6875","0.6875","0.6875"
"1200606","0.75","0.75","0.75"
"1200618","0.71875","0.71875","0.71875"
"1200623","0.703125","0.59375","0.8125"
"1210600","0.65625","0.65625","0.65625"
"1210604","0.75","0.75","0.75"
"1210610","0.75","0.75","0.75"
"1210613","0.6875","0.6875","0.6875"
"1210616","0.875","0.875","0.875"
"1220606","0.6875","0.6875","0.6875"
"1220610","0.65625","0.65625","0.65625"
"1220612","0.84375","0.84375","0.84375"
"1220616","0.71875","0.71875","0.71875"
"1220620","0.875","0.875","0.875"
"1230603","0.625","0.625","0.625"
"1230605","0.78125","0.78125","0.78125"
"1230615","0.640625","0.5625","0.71875"
"1230623","0.6875","0.6875","0.6875"
"1240603","0.71875","0.71875","0.71875"
"1240605","0.65625","0.65625","0.65625"
