"Step","Group: 5m_vs_6m_QMIX - win_rate","Group: 5m_vs_6m_QMIX - win_rate__MIN","Group: 5m_vs_6m_QMIX - win_rate__MAX"
"640059","0.0625","0.0625","0.0625"
"650000","0.03125","0.03125","0.03125"
"650004","0","0","0"
"650006","0","0","0"
"650010","0.09375","0.09375","0.09375"
"650013","0.5","0.5","0.5"
"650020","0.1875","0.1875","0.1875"
"660002","0.0625","0.0625","0.0625"
"660003","0","0","0"
"660004","0.015625","0","0.03125"
"660006","0.03125","0.03125","0.03125"
"660020","0.34375","0.34375","0.34375"
"670007","0","0","0"
"670009","0.46875","0.46875","0.46875"
"670011","0","0","0"
"670022","0","0","0"
"670029","0","0","0"
"670043","0.03125","0.03125","0.03125"
"680000","0.03125","0.03125","0.03125"
"680006","0","0","0"
"680007","0.03125","0.03125","0.03125"
"680010","0.03125","0.03125","0.03125"
"680013","0.28125","0.28125","0.28125"
"680025","0","0","0"
"690001","0.125","0.125","0.125"
"690005","0.015625","0","0.03125"
"690007","0.09375","0.09375","0.09375"
"690014","0.03125","0.03125","0.03125"
"690024","0.375","0.375","0.375"
"700000","0.375","0.375","0.375"
"700005","0","0","0"
"700021","0","0","0"
"700023","0.125","0.125","0.125"
"700025","0.03125","0.03125","0.03125"
"700063","0.09375","0.09375","0.09375"
"710001","0","0","0"
"710008","0.0625","0.0625","0.0625"
"710012","0.46875","0.46875","0.46875"
"710015","0","0","0"
"710035","0","0","0"
"710047","0.0625","0.0625","0.0625"
"720006","0","0","0"
"720008","0","0","0"
"720014","0","0","0"
"720020","0","0","0"
"720021","0.0625","0.0625","0.0625"
"720026","0.3125","0.3125","0.3125"
"730003","0","0","0"
"730007","0.0625","0.0625","0.0625"
"730011","0.03125","0.03125","0.03125"
"730013","0","0","0"
"730018","0.28125","0.28125","0.28125"
"730019","0","0","0"
"740004","0.15625","0.15625","0.15625"
"740011","0.09375","0.09375","0.09375"
"740012","0","0","0"
"740014","0","0","0"
"740016","0","0","0"
"740022","0.3125","0.3125","0.3125"
"750007","0","0","0"
"750013","0.03125","0.03125","0.03125"
"750017","0.015625","0","0.03125"
"750019","0","0","0"
"750026","0.40625","0.40625","0.40625"
"760008","0","0","0"
"760015","0","0","0"
"760016","0","0","0"
"760019","0.03125","0.03125","0.03125"
"760029","0.21875","0.21875","0.21875"
"770000","0.0625","0.0625","0.0625"
"770003","0.1875","0.1875","0.1875"
"770007","0.03125","0.03125","0.03125"
"770015","0","0","0"
"770021","0","0","0"
"770043","0.03125","0.03125","0.03125"
"780002","0.0625","0","0.125"
"780005","0.0625","0.0625","0.0625"
"780016","0","0","0"
"780021","0.03125","0.03125","0.03125"
"780027","0.28125","0.28125","0.28125"
"790003","0","0","0"
"790006","0.15625","0.15625","0.15625"
"790009","0.09375","0.09375","0.09375"
"790016","0.03125","0.03125","0.03125"
"790020","0.1875","0.1875","0.1875"
"790050","0.0625","0.0625","0.0625"
"800001","0.09375","0.09375","0.09375"
