"Step","Group: protoss_5_vs_5_ACORM - win_rate","Group: protoss_5_vs_5_ACORM - win_rate__MIN","Group: protoss_5_vs_5_ACORM - win_rate__MAX"
"430605","0.5","0.5","0.5"
"430616","0.375","0.375","0.375"
"430630","0.40625","0.40625","0.40625"
"430649","0.53125","0.53125","0.53125"
"430650","0.375","0.375","0.375"
"440603","0.46875","0.46875","0.46875"
"440606","0.28125","0.28125","0.28125"
"440631","0.15625","0.15625","0.15625"
"440632","0.21875","0.21875","0.21875"
"440634","0.15625","0.15625","0.15625"
"440662","0.09375","0.09375","0.09375"
"450608","0.34375","0.34375","0.34375"
"450613","0.34375","0.34375","0.34375"
"450621","0.40625","0.40625","0.40625"
"450630","0.375","0.375","0.375"
"450654","0.4375","0.4375","0.4375"
"450688","0.3125","0.3125","0.3125"
"460601","0.375","0.375","0.375"
"460611","0.4375","0.4375","0.4375"
"460625","0.375","0.375","0.375"
"460634","0.1875","0.1875","0.1875"
"460653","0.21875","0.21875","0.21875"
"460664","0.53125","0.53125","0.53125"
"470603","0.375","0.375","0.375"
"470631","0.40625","0.40625","0.40625"
"470634","0.3125","0.3125","0.3125"
"470649","0.25","0.25","0.25"
"470663","0.4375","0.4375","0.4375"
"470666","0.375","0.375","0.375"
"480607","0.5","0.5","0.5"
"480616","0.21875","0.21875","0.21875"
"480627","0.375","0.375","0.375"
"480628","0.5","0.5","0.5"
"480632","0.4375","0.4375","0.4375"
"480646","0.46875","0.46875","0.46875"
"490612","0.28125","0.28125","0.28125"
"490618","0.28125","0.28125","0.28125"
"490631","0.28125","0.28125","0.28125"
"490643","0.5","0.5","0.5"
"490652","0.5625","0.5625","0.5625"
"490654","0.5625","0.5625","0.5625"
"500609","0.46875","0.46875","0.46875"
"500613","0.28125","0.28125","0.28125"
"500619","0.375","0.375","0.375"
"500624","0.34375","0.34375","0.34375"
"500634","0.4375","0.4375","0.4375"
"500635","0.375","0.375","0.375"
"510604","0.25","0.25","0.25"
"510627","0.4375","0.4375","0.4375"
"510648","0.59375","0.59375","0.59375"
"510658","0.40625","0.40625","0.40625"
"510675","0.46875","0.46875","0.46875"
"510704","0.28125","0.28125","0.28125"
"520610","0.40625","0.40625","0.40625"
"520611","0.375","0.375","0.375"
"520621","0.53125","0.53125","0.53125"
"520631","0.40625","0.40625","0.40625"
"520647","0.40625","0.40625","0.40625"
"520653","0.5","0.5","0.5"
"530618","0.46875","0.46875","0.46875"
"530625","0.375","0.375","0.375"
"530643","0.28125","0.28125","0.28125"
"530646","0.5","0.5","0.5"
"530657","0.46875","0.46875","0.46875"
"530658","0.375","0.375","0.375"
"540609","0.46875","0.46875","0.46875"
"540613","0.59375","0.59375","0.59375"
"540626","0.40625","0.40625","0.40625"
"540631","0.46875","0.46875","0.46875"
"540637","0.3125","0.3125","0.3125"
"540679","0.375","0.375","0.375"
"550601","0.5","0.5","0.5"
"550607","0.1875","0.1875","0.1875"
"550611","0.34375","0.34375","0.34375"
"550630","0.4375","0.4375","0.4375"
"550649","0.40625","0.40625","0.40625"
"550675","0.375","0.375","0.375"
"560607","0.34375","0.34375","0.34375"
"560610","0.34375","0.34375","0.34375"
"560615","0.40625","0.40625","0.40625"
"560619","0.625","0.625","0.625"
"560660","0.5625","0.5625","0.5625"
"560678","0.46875","0.46875","0.46875"
"570619","0.1875","0.1875","0.1875"
"570628","0.3125","0.3125","0.3125"
"570631","0.453125","0.40625","0.5"
"570636","0.46875","0.46875","0.46875"
"570652","0.34375","0.34375","0.34375"
"580603","0.40625","0.40625","0.40625"
"580610","0.28125","0.28125","0.28125"
"580616","0.375","0.375","0.375"
"580650","0.3125","0.3125","0.3125"
"580651","0.46875","0.46875","0.46875"
"580655","0.71875","0.71875","0.71875"
"590605","0.375","0.375","0.375"
"590625","0.453125","0.4375","0.46875"
"590641","0.34375","0.34375","0.34375"
"590645","0.5625","0.5625","0.5625"
"590677","0.5625","0.5625","0.5625"
"600605","0.59375","0.53125","0.65625"
"600606","0.4375","0.4375","0.4375"
"600610","0.46875","0.46875","0.46875"
"600624","0.25","0.25","0.25"
"600632","0.375","0.375","0.375"
"610617","0.3125","0.3125","0.3125"
"610646","0.53125","0.53125","0.53125"
"610647","0.25","0.25","0.25"
"610651","0.34375","0.34375","0.34375"
"610664","0.28125","0.28125","0.28125"
"610694","0.28125","0.28125","0.28125"
"620605","0.46875","0.46875","0.46875"
"620611","0.359375","0.28125","0.4375"
"620629","0.4375","0.4375","0.4375"
"620639","0.5","0.5","0.5"
"620645","0.40625","0.40625","0.40625"
"630627","0.53125","0.53125","0.53125"
"630632","0.28125","0.28125","0.28125"
"630643","0.53125","0.53125","0.53125"
"630646","0.46875","0.46875","0.46875"
"630652","0.53125","0.53125","0.53125"
"630662","0.5","0.5","0.5"
"640600","0.40625","0.40625","0.40625"
"640622","0.375","0.375","0.375"
"640623","0.625","0.625","0.625"
"640645","0.53125","0.53125","0.53125"
"640651","0.53125","0.5","0.5625"
"650606","0.4375","0.4375","0.4375"
"650607","0.25","0.25","0.25"
"650609","0.46875","0.46875","0.46875"
"650612","0.53125","0.53125","0.53125"
"650619","0.5","0.5","0.5"
"650620","0.65625","0.65625","0.65625"
"660614","0.21875","0.21875","0.21875"
"660624","0.375","0.375","0.375"
"660633","0.34375","0.34375","0.34375"
"660654","0.40625","0.40625","0.40625"
"660660","0.4375","0.4375","0.4375"
"660671","0.4375","0.4375","0.4375"
"670613","0.375","0.375","0.375"
"670625","0.5625","0.5625","0.5625"
"670635","0.46875","0.46875","0.46875"
"670646","0.28125","0.28125","0.28125"
"670647","0.5","0.5","0.5"
"670656","0.625","0.625","0.625"
"680605","0.28125","0.28125","0.28125"
"680609","0.4375","0.4375","0.4375"
"680613","0.4375","0.4375","0.4375"
"680616","0.5","0.5","0.5"
"680629","0.5625","0.5625","0.5625"
"680652","0.40625","0.40625","0.40625"
"690622","0.5625","0.5625","0.5625"
"690632","0.375","0.375","0.375"
"690639","0.375","0.375","0.375"
"690649","0.4375","0.4375","0.4375"
"690650","0.5","0.5","0.5"
"690666","0.40625","0.40625","0.40625"
"700611","0.5","0.5","0.5"
"700621","0.46875","0.46875","0.46875"
"700623","0.3125","0.3125","0.3125"
"700629","0.59375","0.59375","0.59375"
"700649","0.40625","0.40625","0.40625"
"700673","0.59375","0.59375","0.59375"
"710601","0.40625","0.40625","0.40625"
"710609","0.3125","0.3125","0.3125"
"710617","0.53125","0.53125","0.53125"
"710630","0.59375","0.59375","0.59375"
"710638","0.3125","0.3125","0.3125"
"710649","0.5625","0.5625","0.5625"
"720604","0.46875","0.46875","0.46875"
"720607","0.6875","0.6875","0.6875"
"720626","0.65625","0.65625","0.65625"
"720630","0.4375","0.4375","0.4375"
"720642","0.5","0.5","0.5"
"720647","0.3125","0.3125","0.3125"
"730600","0.5625","0.5625","0.5625"
"730606","0.46875","0.46875","0.46875"
"730623","0.5625","0.5625","0.5625"
"730626","0.25","0.25","0.25"
"730645","0.4375","0.4375","0.4375"
"730649","0.34375","0.34375","0.34375"
"740604","0.46875","0.46875","0.46875"
"740611","0.40625","0.40625","0.40625"
"740622","0.625","0.625","0.625"
"740632","0.3125","0.3125","0.3125"
"740649","0.375","0.375","0.375"
"740668","0.4375","0.4375","0.4375"
"750615","0.40625","0.40625","0.40625"
"750635","0.53125","0.53125","0.53125"
"750640","0.53125","0.53125","0.53125"
"750649","0.40625","0.40625","0.40625"
"750654","0.5","0.5","0.5"
"750663","0.375","0.375","0.375"
"760603","0.59375","0.59375","0.59375"
"760610","0.5","0.5","0.5"
"760624","0.5625","0.5625","0.5625"
"760627","0.625","0.625","0.625"
"760632","0.5625","0.5625","0.5625"
"760635","0.59375","0.59375","0.59375"
"770610","0.515625","0.4375","0.59375"
"770614","0.3125","0.3125","0.3125"
"770624","0.375","0.375","0.375"
"770638","0.4375","0.4375","0.4375"
"770657","0.4375","0.4375","0.4375"
"780611","0.484375","0.46875","0.5"
"780616","0.5","0.5","0.5"
"780638","0.65625","0.65625","0.65625"
"780642","0.40625","0.40625","0.40625"
"780663","0.40625","0.40625","0.40625"
"790603","0.53125","0.53125","0.53125"
"790604","0.40625","0.40625","0.40625"
"790626","0.40625","0.40625","0.40625"
"790631","0.5","0.5","0.5"
"790634","0.46875","0.46875","0.46875"
"790669","0.625","0.625","0.625"
"800623","0.53125","0.53125","0.53125"
"800627","0.5","0.5","0.5"
"800635","0.4375","0.4375","0.4375"
"800636","0.375","0.375","0.375"
"800639","0.3125","0.3125","0.3125"
"800673","0.5","0.5","0.5"
"810616","0.53125","0.53125","0.53125"
"810620","0.65625","0.65625","0.65625"
"810621","0.34375","0.34375","0.34375"
"810626","0.46875","0.46875","0.46875"
"810646","0.375","0.375","0.375"
"810662","0.375","0.375","0.375"
"820605","0.625","0.625","0.625"
"820620","0.4375","0.4375","0.4375"
"820631","0.34375","0.34375","0.34375"
"820652","0.40625","0.40625","0.40625"
"820659","0.53125","0.53125","0.53125"
"820668","0.46875","0.46875","0.46875"
"830600","0.375","0.375","0.375"
"830604","0.625","0.625","0.625"
"830608","0.5","0.5","0.5"
"830623","0.53125","0.53125","0.53125"
"830625","0.625","0.625","0.625"
"830656","0.5","0.5","0.5"
"840606","0.40625","0.40625","0.40625"
"840624","0.5","0.5","0.5"
"840648","0.40625","0.40625","0.40625"
"840652","0.46875","0.46875","0.46875"
"840654","0.625","0.625","0.625"
"840663","0.53125","0.53125","0.53125"
"850610","0.3125","0.3125","0.3125"
"850614","0.59375","0.59375","0.59375"
"850625","0.40625","0.40625","0.40625"
"850631","0.4375","0.4375","0.4375"
"850638","0.5","0.5","0.5"
"850652","0.59375","0.59375","0.59375"
"860616","0.78125","0.78125","0.78125"
"860636","0.40625","0.40625","0.40625"
"860642","0.59375","0.59375","0.59375"
"860644","0.625","0.625","0.625"
"860646","0.59375","0.59375","0.59375"
"860647","0.59375","0.59375","0.59375"
"870603","0.375","0.375","0.375"
"870639","0.40625","0.40625","0.40625"
"870640","0.4375","0.4375","0.4375"
"870642","0.46875","0.46875","0.46875"
"870643","0.65625","0.65625","0.65625"
"870659","0.46875","0.46875","0.46875"
"880602","0.4375","0.4375","0.4375"
"880604","0.46875","0.46875","0.46875"
"880607","0.59375","0.59375","0.59375"
"880616","0.4375","0.4375","0.4375"
"880620","0.53125","0.53125","0.53125"
"880642","0.46875","0.46875","0.46875"
"890601","0.46875","0.46875","0.46875"
"890611","0.28125","0.28125","0.28125"
"890616","0.53125","0.53125","0.53125"
"890623","0.625","0.625","0.625"
"890636","0.5","0.5","0.5"
"890676","0.3125","0.3125","0.3125"
"900609","0.4375","0.4375","0.4375"
"900618","0.53125","0.53125","0.53125"
"900631","0.46875","0.46875","0.46875"
"900632","0.59375","0.59375","0.59375"
"900642","0.46875","0.46875","0.46875"
"900653","0.75","0.75","0.75"
"910606","0.5","0.5","0.5"
"910613","0.5","0.5","0.5"
"910640","0.34375","0.34375","0.34375"
"910646","0.53125","0.53125","0.53125"
"910649","0.4375","0.4375","0.4375"
"910657","0.625","0.625","0.625"
"920604","0.6875","0.6875","0.6875"
"920623","0.53125","0.53125","0.53125"
"920624","0.59375","0.59375","0.59375"
"920625","0.53125","0.53125","0.53125"
"920627","0.53125","0.53125","0.53125"
"920628","0.46875","0.46875","0.46875"
"930603","0.40625","0.40625","0.40625"
"930604","0.65625","0.65625","0.65625"
"930610","0.375","0.375","0.375"
"930613","0.375","0.375","0.375"
"930639","0.625","0.625","0.625"
"930666","0.6875","0.6875","0.6875"
"940611","0.5","0.5","0.5"
"940617","0.46875","0.46875","0.46875"
"940621","0.34375","0.34375","0.34375"
"940646","0.53125","0.53125","0.53125"
"940649","0.484375","0.4375","0.53125"
"950621","0.5625","0.5625","0.5625"
"950625","0.375","0.375","0.375"
"950636","0.34375","0.34375","0.34375"
"950637","0.40625","0.40625","0.40625"
"950649","0.4375","0.4375","0.4375"
"950650","0.53125","0.53125","0.53125"
"960625","0.59375","0.59375","0.59375"
"960631","0.5","0.5","0.5"
"960643","0.5","0.5","0.5"
"960645","0.40625","0.40625","0.40625"
"960647","0.53125","0.53125","0.53125"
"960670","0.53125","0.53125","0.53125"
"970612","0.40625","0.40625","0.40625"
"970616","0.5625","0.5625","0.5625"
"970623","0.5","0.5","0.5"
"970647","0.4375","0.4375","0.4375"
"970651","0.5625","0.5625","0.5625"
"970656","0.5625","0.5625","0.5625"
"980608","0.375","0.375","0.375"
"980617","0.53125","0.53125","0.53125"
"980622","0.4375","0.4375","0.4375"
"980636","0.40625","0.40625","0.40625"
"980662","0.53125","0.53125","0.53125"
"980674","0.34375","0.34375","0.34375"
"990605","0.4375","0.4375","0.4375"
"990616","0.375","0.375","0.375"
"990621","0.53125","0.53125","0.53125"
"990624","0.46875","0.46875","0.46875"
"990639","0.46875","0.46875","0.46875"
"990648","0.40625","0.40625","0.40625"
"1000606","0.25","0.25","0.25"
"1000607","0.4375","0.4375","0.4375"
"1000612","0.5625","0.53125","0.59375"
"1000613","0.46875","0.46875","0.46875"
"1000622","0.34375","0.34375","0.34375"
"1010608","0.21875","0.21875","0.21875"
"1010613","0.5","0.5","0.5"
"1010617","0.53125","0.53125","0.53125"
"1010638","0.40625","0.40625","0.40625"
"1010647","0.625","0.625","0.625"
"1010666","0.46875","0.46875","0.46875"
"1020607","0.40625","0.40625","0.40625"
"1020612","0.4375","0.4375","0.4375"
"1020633","0.65625","0.65625","0.65625"
"1020635","0.5","0.5","0.5"
"1020641","0.65625","0.65625","0.65625"
"1020672","0.5","0.5","0.5"
"1030618","0.625","0.625","0.625"
"1030637","0.46875","0.46875","0.46875"
"1030646","0.4375","0.4375","0.4375"
"1030651","0.59375","0.59375","0.59375"
"1030660","0.5","0.5","0.5"
"1030687","0.53125","0.53125","0.53125"
"1040600","0.5","0.5","0.5"
"1040601","0.5625","0.5625","0.5625"
"1040602","0.65625","0.65625","0.65625"
"1040608","0.5625","0.5625","0.5625"
"1040610","0.65625","0.65625","0.65625"
"1040636","0.59375","0.59375","0.59375"
"1050615","0.59375","0.59375","0.59375"
"1050620","0.40625","0.40625","0.40625"
"1050622","0.6875","0.6875","0.6875"
"1050631","0.53125","0.53125","0.53125"
"1050632","0.34375","0.34375","0.34375"
"1050633","0.5","0.5","0.5"
"1060603","0.5625","0.5625","0.5625"
"1060611","0.5625","0.5625","0.5625"
"1060625","0.625","0.625","0.625"
"1060626","0.5625","0.5625","0.5625"
"1060630","0.25","0.25","0.25"
"1060644","0.46875","0.46875","0.46875"
"1070610","0.40625","0.34375","0.46875"
"1070613","0.5","0.5","0.5"
"1070615","0.375","0.375","0.375"
"1070652","0.46875","0.46875","0.46875"
"1070676","0.5625","0.5625","0.5625"
"1080612","0.59375","0.59375","0.59375"
"1080626","0.5625","0.5625","0.5625"
"1080640","0.75","0.75","0.75"
"1080643","0.5","0.5","0.5"
"1080649","0.46875","0.46875","0.46875"
"1080671","0.53125","0.53125","0.53125"
"1090630","0.53125","0.53125","0.53125"
"1090636","0.59375","0.59375","0.59375"
"1090639","0.5","0.5","0.5"
"1090641","0.5","0.5","0.5"
"1090642","0.53125","0.53125","0.53125"
"1090658","0.5625","0.5625","0.5625"
"1100600","0.5625","0.5625","0.5625"
"1100621","0.59375","0.59375","0.59375"
"1100622","0.46875","0.46875","0.46875"
"1100631","0.59375","0.59375","0.59375"
"1100634","0.46875","0.46875","0.46875"
"1100660","0.59375","0.59375","0.59375"
"1110603","0.46875","0.46875","0.46875"
"1110612","0.46875","0.46875","0.46875"
"1110623","0.40625","0.40625","0.40625"
"1110626","0.375","0.375","0.375"
"1110639","0.53125","0.53125","0.53125"
"1110659","0.5","0.5","0.5"
"1120600","0.53125","0.53125","0.53125"
"1120607","0.5","0.46875","0.53125"
"1120658","0.4375","0.4375","0.4375"
"1120662","0.40625","0.40625","0.40625"
"1120670","0.46875","0.46875","0.46875"
"1130600","0.5","0.5","0.5"
"1130622","0.5","0.5","0.5"
"1130635","0.5","0.5","0.5"
"1130646","0.5","0.5","0.5"
"1130647","0.4375","0.4375","0.4375"
"1130650","0.625","0.625","0.625"
"1140601","0.71875","0.71875","0.71875"
"1140629","0.4375","0.4375","0.4375"
"1140633","0.6875","0.6875","0.6875"
"1140637","0.5625","0.5625","0.5625"
"1140662","0.65625","0.65625","0.65625"
"1140682","0.65625","0.65625","0.65625"
"1150600","0.53125","0.53125","0.53125"
"1150602","0.625","0.625","0.625"
"1150622","0.375","0.375","0.375"
"1150643","0.5625","0.5625","0.5625"
"1150648","0.5","0.5","0.5"
"1150652","0.59375","0.59375","0.59375"
"1160606","0.5625","0.5625","0.5625"
"1160617","0.40625","0.40625","0.40625"
"1160632","0.59375","0.59375","0.59375"
"1160638","0.4375","0.4375","0.4375"
"1160642","0.5625","0.5625","0.5625"
"1160657","0.5","0.5","0.5"
