"Step","Group: protoss_5_vs_5_ACORM_WM - win_rate","Group: protoss_5_vs_5_ACORM_WM - win_rate__MIN","Group: protoss_5_vs_5_ACORM_WM - win_rate__MAX"
"700624","0.46875","0.46875","0.46875"
"700628","0.625","0.625","0.625"
"700639","0.5","0.5","0.5"
"700641","0.65625","0.65625","0.65625"
"700651","0.59375","0.59375","0.59375"
"710607","0.46875","0.46875","0.46875"
"710629","0.3125","0.3125","0.3125"
"710630","0.59375","0.59375","0.59375"
"710632","0.34375","0.34375","0.34375"
"710648","0.46875","0.46875","0.46875"
"720606","0.46875","0.46875","0.46875"
"720628","0.53125","0.53125","0.53125"
"720646","0.53125","0.53125","0.53125"
"720654","0.59375","0.59375","0.59375"
"720689","0.5625","0.5625","0.5625"
"730601","0.3125","0.3125","0.3125"
"730611","0.59375","0.59375","0.59375"
"730643","0.40625","0.40625","0.40625"
"730648","0.46875","0.46875","0.46875"
"730651","0.34375","0.34375","0.34375"
"740627","0.59375","0.59375","0.59375"
"740629","0.46875","0.46875","0.46875"
"740632","0.46875","0.46875","0.46875"
"740654","0.46875","0.46875","0.46875"
"740675","0.5","0.5","0.5"
"750609","0.6875","0.6875","0.6875"
"750626","0.65625","0.65625","0.65625"
"750630","0.375","0.375","0.375"
"750636","0.5625","0.5625","0.5625"
"750665","0.4375","0.4375","0.4375"
"760605","0.421875","0.375","0.46875"
"760616","0.4375","0.4375","0.4375"
"760646","0.5","0.5","0.5"
"760680","0.5","0.5","0.5"
"770606","0.53125","0.53125","0.53125"
"770615","0.65625","0.65625","0.65625"
"770624","0.625","0.625","0.625"
"770627","0.5625","0.5625","0.5625"
"770638","0.65625","0.65625","0.65625"
"780617","0.59375","0.59375","0.59375"
"780637","0.5625","0.5625","0.5625"
"780650","0.4375","0.4375","0.4375"
"780654","0.4375","0.4375","0.4375"
"780663","0.5625","0.5625","0.5625"
"790612","0.40625","0.40625","0.40625"
"790632","0.46875","0.46875","0.46875"
"790637","0.5625","0.5625","0.5625"
"790638","0.375","0.375","0.375"
"790650","0.40625","0.40625","0.40625"
"800604","0.59375","0.59375","0.59375"
"800623","0.6875","0.6875","0.6875"
"800635","0.40625","0.40625","0.40625"
"800653","0.625","0.625","0.625"
"800666","0.46875","0.46875","0.46875"
"810601","0.6875","0.6875","0.6875"
"810609","0.65625","0.65625","0.65625"
"810644","0.5625","0.5625","0.5625"
"810653","0.40625","0.40625","0.40625"
"810672","0.375","0.375","0.375"
"820617","0.59375","0.59375","0.59375"
"820630","0.5625","0.5625","0.5625"
"820632","0.5","0.5","0.5"
"820654","0.53125","0.53125","0.53125"
"820696","0.25","0.25","0.25"
"830600","0.625","0.625","0.625"
"830605","0.40625","0.40625","0.40625"
"830637","0.53125","0.53125","0.53125"
"830647","0.53125","0.53125","0.53125"
"830659","0.46875","0.46875","0.46875"
"840621","0.5625","0.5625","0.5625"
"840627","0.5625","0.5625","0.5625"
"840633","0.625","0.625","0.625"
"840647","0.65625","0.65625","0.65625"
"840659","0.5625","0.5625","0.5625"
"850606","0.40625","0.40625","0.40625"
"850611","0.625","0.625","0.625"
"850614","0.65625","0.65625","0.65625"
"850623","0.4375","0.4375","0.4375"
"850625","0.4375","0.4375","0.4375"
"860603","0.5625","0.5625","0.5625"
"860608","0.53125","0.53125","0.53125"
"860616","0.59375","0.59375","0.59375"
"860649","0.5","0.5","0.5"
"860669","0.5","0.5","0.5"
"870607","0.5","0.5","0.5"
"870628","0.4375","0.4375","0.4375"
"870640","0.46875","0.46875","0.46875"
"870645","0.5625","0.5625","0.5625"
"870658","0.40625","0.40625","0.40625"
"880626","0.40625","0.40625","0.40625"
"880632","0.71875","0.71875","0.71875"
"880651","0.59375","0.59375","0.59375"
"880670","0.5","0.5","0.5"
"880691","0.25","0.25","0.25"
"890602","0.5","0.5","0.5"
"890637","0.40625","0.40625","0.40625"
"890641","0.65625","0.65625","0.65625"
"890657","0.375","0.375","0.375"
"890661","0.5625","0.5625","0.5625"
"900604","0.65625","0.65625","0.65625"
"900618","0.5","0.5","0.5"
"900625","0.5","0.5","0.5"
"900626","0.5625","0.5625","0.5625"
"900635","0.5625","0.5625","0.5625"
"910604","0.59375","0.59375","0.59375"
"910616","0.375","0.375","0.375"
"910635","0.59375","0.59375","0.59375"
"910648","0.53125","0.53125","0.53125"
"910665","0.5625","0.5625","0.5625"
"920615","0.46875","0.46875","0.46875"
"920643","0.5625","0.5625","0.5625"
"920656","0.5","0.5","0.5"
"920657","0.40625","0.40625","0.40625"
"920662","0.625","0.625","0.625"
"930601","0.4375","0.4375","0.4375"
"930606","0.65625","0.65625","0.65625"
"930607","0.53125","0.53125","0.53125"
"930609","0.46875","0.46875","0.46875"
"930666","0.53125","0.53125","0.53125"
"940602","0.53125","0.53125","0.53125"
"940621","0.53125","0.53125","0.53125"
"940637","0.40625","0.40625","0.40625"
"940651","0.5625","0.5625","0.5625"
"940658","0.375","0.375","0.375"
"950624","0.71875","0.71875","0.71875"
"950630","0.5625","0.5625","0.5625"
"950639","0.46875","0.46875","0.46875"
"950643","0.625","0.625","0.625"
"950669","0.59375","0.59375","0.59375"
"960617","0.625","0.625","0.625"
"960637","0.59375","0.59375","0.59375"
"960646","0.4375","0.4375","0.4375"
"960658","0.625","0.625","0.625"
"960681","0.5625","0.5625","0.5625"
"970624","0.53125","0.53125","0.53125"
"970632","0.6875","0.6875","0.6875"
"970639","0.5625","0.5625","0.5625"
"970647","0.5","0.5","0.5"
"970659","0.5","0.5","0.5"
"980629","0.46875","0.46875","0.46875"
"980631","0.46875","0.46875","0.46875"
"980641","0.53125","0.53125","0.53125"
"980642","0.46875","0.46875","0.46875"
"980656","0.46875","0.46875","0.46875"
"990617","0.59375","0.59375","0.59375"
"990619","0.5625","0.5625","0.5625"
"990629","0.5625","0.5625","0.5625"
"990645","0.75","0.75","0.75"
"990668","0.65625","0.65625","0.65625"
"1000601","0.59375","0.59375","0.59375"
"1000639","0.40625","0.40625","0.40625"
"1000650","0.578125","0.53125","0.625"
"1000653","0.65625","0.65625","0.65625"
"1010605","0.5625","0.53125","0.59375"
"1010636","0.71875","0.71875","0.71875"
"1010641","0.40625","0.40625","0.40625"
"1010664","0.5","0.5","0.5"
"1020613","0.5","0.5","0.5"
"1020636","0.5625","0.5625","0.5625"
"1020638","0.5625","0.5625","0.5625"
"1020647","0.6875","0.6875","0.6875"
"1020655","0.53125","0.53125","0.53125"
"1030601","0.53125","0.53125","0.53125"
"1030606","0.625","0.625","0.625"
"1030607","0.59375","0.59375","0.59375"
"1030613","0.4375","0.4375","0.4375"
"1030649","0.6875","0.6875","0.6875"
"1040604","0.5625","0.5625","0.5625"
"1040608","0.53125","0.53125","0.53125"
"1040610","0.5","0.5","0.5"
"1040617","0.53125","0.53125","0.53125"
"1040631","0.5","0.5","0.5"
"1050604","0.53125","0.53125","0.53125"
"1050607","0.53125","0.53125","0.53125"
"1050618","0.40625","0.40625","0.40625"
"1050636","0.65625","0.65625","0.65625"
"1050662","0.5","0.5","0.5"
"1060612","0.46875","0.46875","0.46875"
"1060621","0.59375","0.59375","0.59375"
"1060627","0.46875","0.46875","0.46875"
"1060639","0.5625","0.5625","0.5625"
"1060645","0.5625","0.5625","0.5625"
"1070619","0.71875","0.71875","0.71875"
"1070624","0.5625","0.53125","0.59375"
"1070637","0.515625","0.46875","0.5625"
"1080601","0.625","0.625","0.625"
"1080605","0.53125","0.53125","0.53125"
"1080618","0.53125","0.53125","0.53125"
"1080629","0.59375","0.59375","0.59375"
"1080650","0.53125","0.53125","0.53125"
"1090606","0.6875","0.6875","0.6875"
"1090624","0.5625","0.5625","0.5625"
"1090641","0.5","0.5","0.5"
"1090647","0.40625","0.40625","0.40625"
"1090648","0.625","0.625","0.625"
"1100602","0.625","0.625","0.625"
"1100605","0.6875","0.6875","0.6875"
"1100614","0.5","0.5","0.5"
"1100619","0.59375","0.59375","0.59375"
"1100629","0.59375","0.59375","0.59375"
"1110601","0.5625","0.5625","0.5625"
"1110608","0.46875","0.46875","0.46875"
"1110647","0.65625","0.65625","0.65625"
"1110649","0.53125","0.53125","0.53125"
"1110679","0.59375","0.59375","0.59375"
"1120604","0.375","0.375","0.375"
"1120607","0.5","0.5","0.5"
"1120623","0.75","0.75","0.75"
"1120626","0.53125","0.53125","0.53125"
"1130614","0.5","0.5","0.5"
"1130619","0.59375","0.59375","0.59375"
"1130621","0.65625","0.65625","0.65625"
"1130637","0.5625","0.5625","0.5625"
"1130665","0.46875","0.46875","0.46875"
"1140601","0.59375","0.59375","0.59375"
"1140602","0.40625","0.40625","0.40625"
"1140605","0.40625","0.40625","0.40625"
"1140630","0.46875","0.46875","0.46875"
"1140652","0.5625","0.5625","0.5625"
"1150608","0.5625","0.5625","0.5625"
"1150612","0.59375","0.59375","0.59375"
"1150617","0.5","0.5","0.5"
"1150622","0.375","0.375","0.375"
"1150626","0.65625","0.65625","0.65625"
"1160609","0.75","0.75","0.75"
"1160611","0.6875","0.6875","0.6875"
"1160637","0.40625","0.40625","0.40625"
"1160640","0.5","0.5","0.5"
"1160651","0.53125","0.53125","0.53125"
"1170619","0.71875","0.71875","0.71875"
"1170636","0.625","0.625","0.625"
"1170645","0.5","0.5","0.5"
"1170648","0.5","0.5","0.5"
"1170669","0.46875","0.46875","0.46875"
"1180602","0.5625","0.5625","0.5625"
"1180621","0.53125","0.53125","0.53125"
"1180622","0.625","0.625","0.625"
"1180654","0.53125","0.53125","0.53125"
"1180663","0.46875","0.46875","0.46875"
"1190610","0.71875","0.71875","0.71875"
"1190618","0.46875","0.46875","0.46875"
"1190622","0.625","0.625","0.625"
"1190624","0.625","0.625","0.625"
"1190639","0.5625","0.5625","0.5625"
"1200606","0.5","0.5","0.5"
"1200610","0.53125","0.53125","0.53125"
"1200626","0.6875","0.6875","0.6875"
"1200629","0.53125","0.53125","0.53125"
"1200647","0.65625","0.65625","0.65625"
"1210601","0.4375","0.4375","0.4375"
"1210607","0.65625","0.65625","0.65625"
"1210642","0.5","0.5","0.5"
"1210649","0.65625","0.65625","0.65625"
"1210657","0.5","0.5","0.5"
"1220612","0.5","0.5","0.5"
"1220614","0.6875","0.65625","0.71875"
"1220632","0.5","0.5","0.5"
"1220643","0.71875","0.71875","0.71875"
"1230605","0.5625","0.5625","0.5625"
"1230650","0.5625","0.5625","0.5625"
"1230651","0.625","0.625","0.625"
"1230661","0.53125","0.53125","0.53125"
"1230665","0.4375","0.4375","0.4375"
"1240601","0.53125","0.53125","0.53125"
"1240608","0.625","0.625","0.625"
