"Step","Group: protoss_5_vs_5_QMIX - win_rate","Group: protoss_5_vs_5_QMIX - win_rate__MIN","Group: protoss_5_vs_5_QMIX - win_rate__MAX"
"880018","0.125","0.125","0.125"
"880037","0.125","0.125","0.125"
"880043","0.3125","0.3125","0.3125"
"890013","0.15625","0.15625","0.15625"
"890015","0.21875","0.21875","0.21875"
"890018","0.34375","0.34375","0.34375"
"890024","0.1875","0.1875","0.1875"
"890040","0.34375","0.34375","0.34375"
"890046","0.15625","0.15625","0.15625"
"900003","0.21875","0.21875","0.21875"
"900009","0.28125","0.28125","0.28125"
"900027","0.25","0.25","0.25"
"900045","0.1875","0.1875","0.1875"
"900052","0.40625","0.40625","0.40625"
"900077","0.09375","0.09375","0.09375"
"910007","0.28125","0.28125","0.28125"
"910016","0.125","0.125","0.125"
"910020","0.34375","0.34375","0.34375"
"910046","0.125","0.125","0.125"
"910052","0.25","0.25","0.25"
"910054","0.375","0.375","0.375"
"920007","0.2708333333333333","0.21875","0.34375"
"920009","0.1875","0.1875","0.1875"
"920032","0.25","0.25","0.25"
"920060","0.21875","0.21875","0.21875"
"930001","0.25","0.25","0.25"
"930002","0.1875","0.1875","0.1875"
"930011","0.125","0.125","0.125"
"930013","0.125","0.125","0.125"
"930016","0.34375","0.34375","0.34375"
"930023","0.1875","0.1875","0.1875"
"940000","0.34375","0.34375","0.34375"
"940002","0.21875","0.21875","0.21875"
"940026","0.3125","0.3125","0.3125"
"940030","0.28125","0.28125","0.28125"
"940051","0.25","0.25","0.25"
"940086","0.1875","0.1875","0.1875"
"950008","0.25","0.15625","0.34375"
"950010","0.15625","0.15625","0.15625"
"950018","0.125","0.125","0.125"
"950029","0.28125","0.28125","0.28125"
"950035","0.25","0.25","0.25"
"960016","0.3125","0.3125","0.3125"
"960024","0.125","0.0625","0.1875"
"960032","0.0625","0.0625","0.0625"
"960055","0.21875","0.21875","0.21875"
"960066","0.28125","0.28125","0.28125"
"970006","0.28125","0.28125","0.28125"
"970025","0.21875","0.21875","0.21875"
"970031","0.3125","0.3125","0.3125"
"970036","0.28125","0.28125","0.28125"
"970046","0.21875","0.21875","0.21875"
"970068","0.15625","0.15625","0.15625"
"980007","0.25","0.25","0.25"
"980032","0.28125","0.28125","0.28125"
"980037","0.171875","0.15625","0.1875"
"980040","0.25","0.25","0.25"
"980047","0.3125","0.3125","0.3125"
"990028","0.28125","0.28125","0.28125"
"990033","0.15625","0.15625","0.15625"
"990035","0.15625","0.15625","0.15625"
"990037","0.21875","0.21875","0.21875"
"990051","0.1875","0.1875","0.1875"
"990056","0.21875","0.21875","0.21875"
"1000007","0.25","0.25","0.25"
"1000010","0.28125","0.28125","0.28125"
"1000024","0.21875","0.21875","0.21875"
"1000026","0.25","0.25","0.25"
"1000044","0.21875","0.21875","0.21875"
"1000053","0.15625","0.15625","0.15625"
"1010009","0.1875","0.1875","0.1875"
"1010018","0.234375","0.1875","0.28125"
"1010046","0.28125","0.28125","0.28125"
"1010047","0.28125","0.28125","0.28125"
"1010060","0.34375","0.34375","0.34375"
"1020015","0.21875","0.21875","0.21875"
"1020025","0.15625","0.15625","0.15625"
"1020034","0.28125","0.28125","0.28125"
"1020050","0.25","0.25","0.25"
"1020055","0.34375","0.34375","0.34375"
"1020056","0.21875","0.21875","0.21875"
"1030003","0.15625","0.15625","0.15625"
"1030010","0.1875","0.1875","0.1875"
"1030033","0.21875","0.21875","0.21875"
"1030034","0.28125","0.28125","0.28125"
"1030058","0.3125","0.3125","0.3125"
"1030067","0.25","0.25","0.25"
"1040014","0.34375","0.34375","0.34375"
"1040016","0.15625","0.15625","0.15625"
"1040038","0.3125","0.3125","0.3125"
"1040043","0.34375","0.34375","0.34375"
"1040044","0.375","0.375","0.375"
"1040066","0","0","0"
"1050016","0.25","0.25","0.25"
"1050017","0.25","0.25","0.25"
"1050039","0.34375","0.34375","0.34375"
"1050043","0.09375","0.09375","0.09375"
"1050049","0.21875","0.21875","0.21875"
"1050057","0.28125","0.28125","0.28125"
"1060019","0.28125","0.28125","0.28125"
"1060026","0.34375","0.34375","0.34375"
"1060047","0.21875","0.21875","0.21875"
"1060053","0.28125","0.28125","0.28125"
"1060065","0.1875","0.1875","0.1875"
"1060069","0.28125","0.28125","0.28125"
"1070009","0.28125","0.28125","0.28125"
"1070014","0.25","0.25","0.25"
"1070017","0.21875","0.21875","0.21875"
"1070043","0.125","0.125","0.125"
"1070061","0.28125","0.28125","0.28125"
"1070069","0.0625","0.0625","0.0625"
"1080005","0.40625","0.40625","0.40625"
"1080011","0.21875","0.21875","0.21875"
"1080041","0.3125","0.3125","0.3125"
"1080043","0.25","0.25","0.25"
"1080060","0.21875","0.21875","0.21875"
"1080064","0.34375","0.34375","0.34375"
"1090003","0.40625","0.40625","0.40625"
"1090012","0.3125","0.3125","0.3125"
"1090022","0.28125","0.28125","0.28125"
"1090044","0.125","0.125","0.125"
"1090064","0.15625","0.15625","0.15625"
"1090110","0.21875","0.21875","0.21875"
"1100014","0.28125","0.28125","0.28125"
"1100019","0.171875","0.09375","0.25"
"1100023","0.25","0.25","0.25"
"1100028","0.25","0.25","0.25"
"1100029","0.34375","0.34375","0.34375"
"1110021","0.34375","0.34375","0.34375"
"1110026","0.34375","0.34375","0.34375"
"1110035","0.125","0.125","0.125"
"1110040","0.21875","0.21875","0.21875"
"1110048","0.15625","0.15625","0.15625"
"1110075","0.34375","0.34375","0.34375"
"1120011","0.28125","0.28125","0.28125"
"1120018","0.21875","0.21875","0.21875"
"1120034","0.28125","0.28125","0.28125"
"1120038","0.234375","0.21875","0.25"
"1120052","0.28125","0.28125","0.28125"
"1130005","0.21875","0.21875","0.21875"
"1130034","0.21875","0.21875","0.21875"
"1130043","0.265625","0.1875","0.34375"
"1130047","0.28125","0.28125","0.28125"
"1130052","0.25","0.25","0.25"
"1140020","0.28125","0.28125","0.28125"
"1140029","0.15625","0.15625","0.15625"
"1140032","0.1875","0.15625","0.21875"
"1140046","0.34375","0.34375","0.34375"
"1140050","0.25","0.25","0.25"
"1150006","0.15625","0.15625","0.15625"
"1150011","0.125","0.125","0.125"
"1150023","0.21875","0.21875","0.21875"
"1150025","0.3125","0.3125","0.3125"
"1150027","0.125","0.125","0.125"
"1150054","0.21875","0.21875","0.21875"
"1160001","0.25","0.25","0.25"
"1160004","0.4375","0.4375","0.4375"
"1160025","0.125","0.125","0.125"
"1160027","0.28125","0.28125","0.28125"
"1160029","0.28125","0.28125","0.28125"
"1160032","0.3125","0.3125","0.3125"
"1170005","0.25","0.25","0.25"
"1170019","0.21875","0.21875","0.21875"
"1170024","0.3125","0.3125","0.3125"
"1170040","0.4375","0.4375","0.4375"
"1170043","0.125","0.125","0.125"
"1170049","0.25","0.25","0.25"
"1180019","0.09375","0.09375","0.09375"
"1180035","0.25","0.25","0.25"
"1180053","0.34375","0.34375","0.34375"
"1180060","0.09375","0.09375","0.09375"
"1180084","0.21875","0.21875","0.21875"
"1190003","0.25","0.25","0.25"
"1190009","0.28125","0.28125","0.28125"
"1190038","0.09375","0.09375","0.09375"
"1190053","0.28125","0.28125","0.28125"
"1190055","0.3125","0.3125","0.3125"
"1190061","0.34375","0.34375","0.34375"
"1200018","0.25","0.25","0.25"
"1200040","0.28125","0.28125","0.28125"
"1200041","0.25","0.25","0.25"
"1200046","0.1875","0.1875","0.1875"
"1200050","0.125","0.125","0.125"
"1200052","0.21875","0.21875","0.21875"
"1210017","0.1875","0.1875","0.1875"
"1210022","0.125","0.125","0.125"
"1210025","0.28125","0.28125","0.28125"
"1210026","0.21875","0.21875","0.21875"
"1210035","0.28125","0.28125","0.28125"
"1210044","0.25","0.25","0.25"
"1220012","0.1875","0.1875","0.1875"
"1220017","0.375","0.375","0.375"
"1220025","0.21875","0.21875","0.21875"
"1220027","0.125","0.125","0.125"
"1220033","0.25","0.25","0.25"
"1220054","0.1875","0.1875","0.1875"
"1230007","0.3125","0.3125","0.3125"
"1230011","0.375","0.375","0.375"
"1230012","0.375","0.375","0.375"
"1230021","0.25","0.25","0.25"
"1230039","0.1875","0.1875","0.1875"
"1230057","0.1875","0.1875","0.1875"
"1240008","0.125","0.125","0.125"
"1240010","0.375","0.375","0.375"
"1240014","0.15625","0.15625","0.15625"
"1240027","0.28125","0.28125","0.28125"
"1240029","0.28125","0.28125","0.28125"
