"Step","Group: zerg_5_vs_5_QMIX - win_rate","Group: zerg_5_vs_5_QMIX - win_rate__MIN","Group: zerg_5_vs_5_QMIX - win_rate__MAX"
"560020","0.25","0.25","0.25"
"560035","0.125","0.125","0.125"
"560055","0.15625","0.15625","0.15625"
"570012","0.125","0.125","0.125"
"570019","0.125","0.09375","0.15625"
"570027","0.1875","0.1875","0.1875"
"570033","0.15625","0.15625","0.15625"
"570043","0.21875","0.21875","0.21875"
"580002","0.25","0.25","0.25"
"580009","0.3125","0.3125","0.3125"
"580025","0.09375","0.09375","0.09375"
"580030","0.15625","0.15625","0.15625"
"580033","0.09375","0.09375","0.09375"
"580038","0.03125","0.03125","0.03125"
"590000","0.09375","0.09375","0.09375"
"590004","0.1875","0.1875","0.1875"
"590016","0.125","0.125","0.125"
"590025","0.1875","0.09375","0.28125"
"590045","0.09375","0.09375","0.09375"
"600007","0.109375","0.09375","0.125"
"600017","0.25","0.25","0.25"
"600020","0.03125","0.03125","0.03125"
"600023","0.125","0.125","0.125"
"600025","0.25","0.25","0.25"
"610000","0.15625","0.15625","0.15625"
"610002","0.125","0.0625","0.1875"
"610018","0.09375","0.09375","0.09375"
"610027","0.09375","0.09375","0.09375"
"610034","0.21875","0.21875","0.21875"
"620006","0.3125","0.3125","0.3125"
"620014","0.15625","0.15625","0.15625"
"620019","0.25","0.25","0.25"
"620023","0.125","0.125","0.125"
"620030","0.21875","0.21875","0.21875"
"620037","0.28125","0.28125","0.28125"
"630000","0.1875","0.1875","0.1875"
"630004","0.15625","0.15625","0.15625"
"630009","0.09375","0.09375","0.09375"
"630014","0.125","0.125","0.125"
"630016","0.09375","0.09375","0.09375"
"630028","0.125","0.125","0.125"
"640002","0.03125","0.03125","0.03125"
"640008","0.15625","0.15625","0.15625"
"640010","0.1875","0.1875","0.1875"
"640018","0.0625","0.0625","0.0625"
"640020","0.1875","0.1875","0.1875"
"640034","0.1875","0.1875","0.1875"
"650007","0.15625","0.15625","0.15625"
"650008","0.1875","0.1875","0.1875"
"650009","0.21875","0.21875","0.21875"
"650017","0.125","0.125","0.125"
"650022","0.109375","0.0625","0.15625"
"660000","0.21875","0.21875","0.21875"
"660015","0.125","0.125","0.125"
"660019","0.21875","0.21875","0.21875"
"660026","0.28125","0.28125","0.28125"
"660031","0.1875","0.1875","0.1875"
"660033","0.0625","0.0625","0.0625"
"670002","0.09375","0.09375","0.09375"
"670006","0.125","0.125","0.125"
"670010","0.15625","0.15625","0.15625"
"670020","0.15625","0.15625","0.15625"
"670025","0.34375","0.34375","0.34375"
"670026","0.09375","0.09375","0.09375"
"680008","0.25","0.25","0.25"
"680020","0.0625","0.0625","0.0625"
"680024","0.28125","0.28125","0.28125"
"680026","0.21875","0.21875","0.21875"
"680039","0.1875","0.1875","0.1875"
"680045","0.0625","0.0625","0.0625"
"690009","0.125","0.125","0.125"
"690010","0.125","0.125","0.125"
"690014","0.15625","0.15625","0.15625"
"690016","0.15625","0.15625","0.15625"
"690021","0.125","0.125","0.125"
"690024","0.0625","0.0625","0.0625"
"700000","0.09375","0.09375","0.09375"
"700005","0.28125","0.28125","0.28125"
"700012","0.21875","0.21875","0.21875"
"700018","0.15625","0.15625","0.15625"
"700021","0.1875","0.1875","0.1875"
"700032","0.15625","0.15625","0.15625"
"710001","0.15625","0.15625","0.15625"
"710005","0.125","0.125","0.125"
"710006","0.203125","0.15625","0.25"
"710035","0.15625","0.15625","0.15625"
"710041","0.1875","0.1875","0.1875"
"720001","0.15625","0.15625","0.15625"
"720006","0.0625","0.0625","0.0625"
"720008","0.15625","0.15625","0.15625"
"720026","0.1875","0.1875","0.1875"
"720027","0.125","0.125","0.125"
"720030","0.15625","0.15625","0.15625"
"730000","0.125","0.125","0.125"
"730010","0.21875","0.21875","0.21875"
"730019","0.15625","0.15625","0.15625"
"730020","0.125","0.125","0.125"
"730056","0.15625","0.15625","0.15625"
"730058","0.28125","0.28125","0.28125"
"740002","0.1875","0.1875","0.1875"
"740003","0.21875","0.21875","0.21875"
"740010","0.1875","0.1875","0.1875"
"740020","0.125","0.125","0.125"
"740027","0.09375","0.09375","0.09375"
"740028","0.15625","0.15625","0.15625"
"750003","0.1875","0.1875","0.1875"
"750007","0.1875","0.15625","0.21875"
"750033","0.1875","0.1875","0.1875"
"750036","0.1875","0.1875","0.1875"
"750039","0.15625","0.15625","0.15625"
"760001","0.21875","0.21875","0.21875"
"760005","0.0625","0.0625","0.0625"
"760018","0.21875","0.21875","0.21875"
"760033","0.1875","0.1875","0.1875"
"760053","0.21875","0.21875","0.21875"
"770011","0.171875","0.125","0.21875"
"770028","0.15625","0.15625","0.15625"
"770032","0.21875","0.21875","0.21875"
"770039","0.28125","0.28125","0.28125"
"770055","0.0625","0.0625","0.0625"
"780013","0.1875","0.1875","0.1875"
"780015","0.09375","0.09375","0.09375"
"780021","0.03125","0.03125","0.03125"
"780029","0.03125","0.03125","0.03125"
"780030","0.0625","0.0625","0.0625"
"780033","0.15625","0.15625","0.15625"
"790008","0.28125","0.28125","0.28125"
"790021","0.125","0.125","0.125"
"790023","0.03125","0.03125","0.03125"
"790031","0.375","0.375","0.375"
"790041","0.125","0.125","0.125"
"790047","0.125","0.125","0.125"
"800000","0.15625","0.15625","0.15625"
"800006","0.21875","0.21875","0.21875"
"800013","0.15625","0.15625","0.15625"
"800019","0.09375","0.09375","0.09375"
"800029","0.09375","0.09375","0.09375"
"800031","0.15625","0.15625","0.15625"
"810001","0.125","0.125","0.125"
"810005","0.09375","0.09375","0.09375"
"810018","0.15625","0.15625","0.15625"
"810019","0.125","0.125","0.125"
"810029","0.125","0.125","0.125"
"810041","0.25","0.25","0.25"
"820001","0.03125","0.03125","0.03125"
"820007","0.09375","0.09375","0.09375"
"820008","0.1875","0.1875","0.1875"
"820012","0.125","0.125","0.125"
"820019","0.15625","0.15625","0.15625"
"820041","0.21875","0.21875","0.21875"
"830008","0.15625","0.15625","0.15625"
"830009","0.0625","0.0625","0.0625"
"830015","0.21875","0.21875","0.21875"
"830030","0.1875","0.1875","0.1875"
"830035","0.125","0.125","0.125"
"830043","0.1875","0.1875","0.1875"
"840002","0.09375","0.09375","0.09375"
"840015","0.25","0.25","0.25"
"840020","0.125","0.125","0.125"
"840021","0.21875","0.21875","0.21875"
"840026","0.1875","0.1875","0.1875"
"840057","0.09375","0.09375","0.09375"
"850000","0.09375","0.09375","0.09375"
"850001","0.1875","0.1875","0.1875"
"850007","0.21875","0.21875","0.21875"
"850008","0.1875","0.1875","0.1875"
"850027","0.09375","0.09375","0.09375"
"850031","0.1875","0.1875","0.1875"
"860001","0.15625","0.15625","0.15625"
"860007","0.15625","0.15625","0.15625"
"860013","0.09375","0.09375","0.09375"
"860021","0.125","0.125","0.125"
"860028","0.21875","0.21875","0.21875"
"860038","0.0625","0.0625","0.0625"
"870006","0.15625","0.15625","0.15625"
"870012","0.21875","0.21875","0.21875"
"870017","0","0","0"
"870020","0.21875","0.21875","0.21875"
"870024","0.09375","0.09375","0.09375"
"870027","0.1875","0.1875","0.1875"
"880000","0.15625","0.15625","0.15625"
"880003","0.125","0.125","0.125"
"880010","0.0625","0.0625","0.0625"
"880014","0.0625","0.0625","0.0625"
"880022","0.21875","0.21875","0.21875"
"880026","0.28125","0.28125","0.28125"
"890011","0.09375","0.09375","0.09375"
"890015","0.0625","0.0625","0.0625"
"890026","0.03125","0.03125","0.03125"
"890035","0.171875","0.0625","0.28125"
"890042","0.15625","0.15625","0.15625"
"900001","0.125","0.125","0.125"
"900004","0.09375","0.09375","0.09375"
"900005","0.15625","0.15625","0.15625"
"900009","0.15625","0.15625","0.15625"
"900020","0.15625","0.15625","0.15625"
"900041","0.125","0.125","0.125"
"910010","0.25","0.25","0.25"
"910011","0.15625","0.15625","0.15625"
"910014","0.15625","0.15625","0.15625"
"910025","0.21875","0.21875","0.21875"
"910038","0","0","0"
"910061","0.21875","0.21875","0.21875"
"920010","0.15625","0.15625","0.15625"
"920013","0.1875","0.1875","0.1875"
"920014","0.3125","0.3125","0.3125"
"920015","0.25","0.25","0.25"
"920020","0.125","0.125","0.125"
"920032","0.15625","0.15625","0.15625"
"930003","0.21875","0.21875","0.21875"
"930007","0.0625","0.0625","0.0625"
"930020","0.15625","0.15625","0.15625"
"930021","0.15625","0.15625","0.15625"
"930028","0.1875","0.1875","0.1875"
"930032","0.1875","0.1875","0.1875"
"940005","0.09375","0.09375","0.09375"
"940018","0.203125","0.09375","0.3125"
"940020","0.1875","0.1875","0.1875"
"940025","0.1875","0.1875","0.1875"
"940035","0.1875","0.1875","0.1875"
"950000","0.15625","0.15625","0.15625"
"950002","0.28125","0.28125","0.28125"
"950004","0.1875","0.1875","0.1875"
"950005","0.25","0.25","0.25"
"950036","0.1875","0.1875","0.1875"
"950045","0.09375","0.09375","0.09375"
"960004","0.15625","0.15625","0.15625"
"960006","0.34375","0.34375","0.34375"
"960014","0.15625","0.15625","0.15625"
"960020","0.125","0.125","0.125"
"960021","0.21875","0.21875","0.21875"
"960043","0.125","0.125","0.125"
"970009","0.125","0.125","0.125"
"970013","0.0625","0.0625","0.0625"
"970015","0.0625","0.0625","0.0625"
"970019","0.125","0.125","0.125"
"970026","0.21875","0.21875","0.21875"
"970068","0.15625","0.15625","0.15625"
"980005","0.25","0.25","0.25"
"980022","0.15625","0.15625","0.15625"
"980024","0.0625","0.0625","0.0625"
"980040","0.125","0.125","0.125"
"980046","0.25","0.25","0.25"
"980057","0.15625","0.15625","0.15625"
"990008","0.1875","0.1875","0.1875"
"990013","0.125","0.125","0.125"
"990015","0.21875","0.21875","0.21875"
"990016","0.25","0.25","0.25"
"990031","0.0625","0.0625","0.0625"
"990042","0.09375","0.09375","0.09375"
"1000014","0.0625","0.0625","0.0625"
"1000022","0.09375","0.09375","0.09375"
"1000024","0.21875","0.21875","0.21875"
"1000026","0.09375","0.09375","0.09375"
"1000028","0.1875","0.1875","0.1875"
"1000044","0.09375","0.09375","0.09375"
"1010001","0.34375","0.34375","0.34375"
"1010005","0.125","0.125","0.125"
"1010011","0.09375","0.09375","0.09375"
"1010013","0.125","0.125","0.125"
"1010019","0.25","0.25","0.25"
"1010020","0.1875","0.1875","0.1875"
"1020007","0.1875","0.1875","0.1875"
"1020011","0.15625","0.15625","0.15625"
"1020017","0.25","0.25","0.25"
"1020026","0.1875","0.1875","0.1875"
"1020031","0.21875","0.21875","0.21875"
"1020044","0.25","0.25","0.25"
"1030005","0.09375","0.09375","0.09375"
"1030007","0.125","0.125","0.125"
"1030013","0.15625","0.15625","0.15625"
"1030017","0.09375","0.09375","0.09375"
"1030018","0.15625","0.15625","0.15625"
"1030039","0.21875","0.21875","0.21875"
"1040009","0.125","0.125","0.125"
"1040018","0.203125","0.09375","0.3125"
"1040025","0.15625","0.15625","0.15625"
"1040034","0.15625","0.15625","0.15625"
"1040055","0.15625","0.15625","0.15625"
"1050002","0.1875","0.1875","0.1875"
"1050016","0.21875","0.21875","0.21875"
"1050019","0.1875","0.1875","0.1875"
"1050021","0.15625","0.15625","0.15625"
"1050038","0.21875","0.21875","0.21875"
"1050059","0.1875","0.1875","0.1875"
"1060013","0.1875","0.1875","0.1875"
"1060014","0.21875","0.21875","0.21875"
"1060017","0.15625","0.15625","0.15625"
"1060018","0.21875","0.21875","0.21875"
"1060032","0.1875","0.1875","0.1875"
"1060059","0.15625","0.15625","0.15625"
"1070008","0.09375","0.09375","0.09375"
"1070009","0.15625","0.15625","0.15625"
"1070011","0.21875","0.21875","0.21875"
"1070015","0.25","0.25","0.25"
"1070028","0.0625","0.0625","0.0625"
"1070032","0.40625","0.40625","0.40625"
"1080003","0.15625","0.15625","0.15625"
"1080008","0.125","0.125","0.125"
"1080013","0.125","0.125","0.125"
"1080014","0.15625","0.15625","0.15625"
"1080017","0.3125","0.3125","0.3125"
"1080027","0.0625","0.0625","0.0625"
"1090006","0.0625","0.0625","0.0625"
"1090008","0.17708333333333334","0.125","0.21875"
"1090011","0.265625","0.25","0.28125"
"1100007","0.15625","0.15625","0.15625"
"1100023","0.25","0.25","0.25"
"1100024","0.3125","0.3125","0.3125"
"1100027","0.1875","0.1875","0.1875"
"1100034","0.09375","0.09375","0.09375"
"1100046","0.09375","0.09375","0.09375"
"1110005","0.21875","0.1875","0.25"
"1110013","0.21875","0.21875","0.21875"
"1110015","0.25","0.25","0.25"
"1110018","0.3125","0.3125","0.3125"
"1110034","0.09375","0.09375","0.09375"
"1120003","0.21875","0.21875","0.21875"
"1120007","0.15625","0.15625","0.15625"
"1120009","0.1875","0.1875","0.1875"
"1120017","0.25","0.25","0.25"
"1120018","0.1875","0.1875","0.1875"
"1120026","0.21875","0.21875","0.21875"
"1130008","0.28125","0.28125","0.28125"
"1130014","0.25","0.25","0.25"
"1130019","0.140625","0.125","0.15625"
"1130028","0.125","0.125","0.125"
"1130034","0.1875","0.1875","0.1875"
"1140000","0.1875","0.1875","0.1875"
"1140003","0.15625","0.15625","0.15625"
"1140017","0.15625","0.15625","0.15625"
"1140020","0.09375","0.09375","0.09375"
"1140033","0.09375","0.09375","0.09375"
"1140048","0.21875","0.21875","0.21875"
"1150009","0.09375","0.09375","0.09375"
"1150021","0.125","0.125","0.125"
