"Step","Group: 6h_vs_8z_ACORM_WM - win_rate","Group: 6h_vs_8z_ACORM_WM - win_rate__MIN","Group: 6h_vs_8z_ACORM_WM - win_rate__MAX","Group: 6h_vs_8z_ACORM_WM_ - win_rate","Group: 6h_vs_8z_ACORM_WM_ - win_rate__MIN","Group: 6h_vs_8z_ACORM_WM_ - win_rate__MAX"
"670251","0","0","0","","",""
"680221","0.03125","0.03125","0.03125","","",""
"680222","0","0","0","","",""
"680228","0","0","0","","",""
"680238","0","0","0","","",""
"680241","","","","0","0","0"
"690229","0","0","0","","",""
"690238","0.03125","0.03125","0.03125","","",""
"690240","","","","0","0","0"
"690242","0","0","0","","",""
"690244","0","0","0","","",""
"700224","0","0","0","","",""
"700227","","","","0","0","0"
"700243","0","0","0","","",""
"700245","0","0","0","","",""
"700260","0","0","0","","",""
"710233","0","0","0","","",""
"710236","0","0","0","","",""
"710243","","","","0","0","0"
"710246","0.03125","0.03125","0.03125","","",""
"710248","0","0","0","","",""
"720220","0","0","0","","",""
"720230","","","","0","0","0"
"720231","0","0","0","","",""
"720242","0","0","0","","",""
"720247","0.03125","0.03125","0.03125","","",""
"730221","0","0","0","","",""
"730230","0","0","0","","",""
"730236","0","0","0","","",""
"730241","0","0","0","","",""
"730242","","","","0","0","0"
"740221","0.03125","0.03125","0.03125","","",""
"740227","0","0","0","","",""
"740233","","","","0","0","0"
"740234","0","0","0","","",""
"740246","0","0","0","","",""
"750222","","","","0","0","0"
"750224","0","0","0","","",""
"750235","0.0625","0.0625","0.0625","","",""
"750241","0","0","0","","",""
"750243","0","0","0","","",""
"760223","0","0","0","","",""
"760229","0.03125","0","0.0625","","",""
"760236","0","0","0","","",""
"760237","","","","0","0","0"
"770230","0.03125","0.03125","0.03125","","",""
"770232","0","0","0","","",""
"770238","0","0","0","","",""
"770251","0","0","0","","",""
"770256","","","","0","0","0"
"780221","0","0","0","","",""
"780228","","","","0","0","0"
"780243","0","0","0","","",""
"780249","0.015625","0","0.03125","","",""
"790228","0","0","0","","",""
"790230","0","0","0","","",""
"790237","","","","0","0","0"
"790243","0.0625","0.0625","0.0625","","",""
"790247","0","0","0","","",""
"800225","0","0","0","","",""
"800233","0","0","0","0.09375","0.09375","0.09375"
"800238","0.0625","0.0625","0.0625","","",""
"800254","0","0","0","","",""
"810228","0.03125","0.03125","0.03125","","",""
"810237","0","0","0","0","0","0"
"810241","0","0","0","","",""
"810242","0","0","0","","",""
"820230","","","","0","0","0"
"820235","0","0","0","","",""
"820238","0","0","0","","",""
"820242","0","0","0","","",""
"820251","0","0","0","","",""
"830221","0","0","0","","",""
"830222","0","0","0","","",""
"830232","0","0","0","","",""
"830236","","","","0.0625","0.0625","0.0625"
"830242","0","0","0","","",""
"840222","","","","0","0","0"
"840228","0","0","0","","",""
"840230","0","0","0","","",""
"840240","0.03125","0.03125","0.03125","","",""
"840254","0.03125","0.03125","0.03125","","",""
"850221","0","0","0","","",""
"850238","","","","0.03125","0.03125","0.03125"
"850244","0","0","0","","",""
"850253","0","0","0","","",""
"850369","0","0","0","","",""
"860220","0","0","0","","",""
"860231","0","0","0","","",""
"860244","0.15625","0.15625","0.15625","","",""
"860252","0","0","0","","",""
"860256","","","","0","0","0"
"870235","0.03125","0.03125","0.03125","","",""
"870245","0","0","0","","",""
"870255","0.03125","0.03125","0.03125","","",""
"870265","0","0","0","","",""
"870266","","","","0","0","0"
"880220","0","0","0","","",""
"880225","0","0","0","","",""
"880228","0.0625","0.0625","0.0625","","",""
"880236","","","","0","0","0"
"880240","0","0","0","","",""
"890225","","","","0.0625","0.0625","0.0625"
"890228","0","0","0","","",""
"890248","0","0","0","","",""
"890260","0","0","0","","",""
"890261","0","0","0","","",""
"900227","0","0","0","0.03125","0.03125","0.03125"
"900229","0.09375","0.09375","0.09375","","",""
"900240","0.0625","0.0625","0.0625","","",""
"900244","0","0","0","","",""
"910226","0.015625","0","0.03125","","",""
"910231","0.09375","0.09375","0.09375","","",""
"910249","","","","0.03125","0.03125","0.03125"
"910253","0.0625","0.0625","0.0625","","",""
"920220","0.0625","0.0625","0.0625","","",""
"920221","0","0","0","","",""
"920229","0","0","0","","",""
"920230","0","0","0","","",""
"920235","","","","0","0","0"
"930222","0","0","0","","",""
"930224","","","","0.03125","0.03125","0.03125"
"930241","0","0","0","","",""
"930244","0.125","0.125","0.125","","",""
"930258","0.03125","0.03125","0.03125","","",""
"940220","","","","0","0","0"
"940236","0.0625","0.0625","0.0625","","",""
"940240","0","0","0","","",""
"940242","0","0","0","","",""
"940246","0","0","0","","",""
"950222","0","0","0","","",""
"950229","0","0","0","","",""
"950231","","","","0.125","0.125","0.125"
"950247","0.03125","0","0.0625","","",""
"960223","0","0","0","","",""
"960234","0.03125","0.03125","0.03125","","",""
"960245","0.03125","0.03125","0.03125","","",""
"960246","0","0","0","","",""
"960248","","","","0.0625","0.0625","0.0625"
"970223","0","0","0","","",""
"970229","0","0","0","","",""
"970234","","","","0.03125","0.03125","0.03125"
"970238","0.03125","0.03125","0.03125","","",""
"980221","0","0","0","","",""
"980228","","","","0.09375","0.09375","0.09375"
"980239","0","0","0","","",""
"980246","0.03125","0.03125","0.03125","","",""
"980250","0","0","0","","",""
"990222","0.0625","0.0625","0.0625","","",""
"990230","0","0","0","","",""
"990239","0","0","0","","",""
"990250","0","0","0","","",""
"990253","","","","0.0625","0.0625","0.0625"
"1000220","0.03125","0.03125","0.03125","","",""
"1000227","0.09375","0.09375","0.09375","","",""
"1000239","0","0","0","","",""
"1000244","0","0","0","","",""
"1000255","","","","0.09375","0.09375","0.09375"
"1010233","0.09375","0.09375","0.09375","","",""
"1010239","0","0","0","","",""
"1010246","0.03125","0.03125","0.03125","","",""
"1010254","","","","0.0625","0.0625","0.0625"
"1020220","","","","0","0","0"
"1020228","0","0","0","","",""
"1020233","0.1875","0.1875","0.1875","","",""
"1020235","0","0","0","","",""
"1020245","0","0","0","","",""
"1030224","0.125","0.125","0.125","","",""
"1030226","0","0","0","0.0625","0.0625","0.0625"
"1030249","0","0","0","","",""
"1030258","0","0","0","","",""
"1040236","","","","0.0625","0.0625","0.0625"
"1040241","0.03125","0.03125","0.03125","","",""
"1040242","0","0","0","","",""
"1040243","0.0625","0.0625","0.0625","","",""
"1040248","0.03125","0.03125","0.03125","","",""
"1050241","0.15625","0.15625","0.15625","","",""
"1050245","","","","0.09375","0.09375","0.09375"
"1050246","0","0","0","","",""
"1050260","0","0","0","","",""
"1050265","0","0","0","","",""
"1060225","0","0","0","","",""
"1060228","","","","0.125","0.125","0.125"
"1060236","0.0625","0.0625","0.0625","","",""
"1060245","0.03125","0.03125","0.03125","","",""
"1060260","0.15625","0.15625","0.15625","","",""
"1070228","","","","0.09375","0.09375","0.09375"
"1070240","0.03125","0","0.0625","","",""
"1070242","0","0","0","","",""
"1070251","0","0","0","","",""
"1080227","0.0625","0.0625","0.0625","","",""
"1080232","0","0","0","","",""
"1080234","","","","0.125","0.125","0.125"
"1080240","0","0","0","","",""
"1080243","0","0","0","","",""
"1090222","0","0","0","","",""
"1090226","0","0","0","","",""
"1090231","0","0","0","","",""
"1090238","0.0625","0.0625","0.0625","","",""
"1090245","","","","0.03125","0.03125","0.03125"
"1100221","0.125","0.125","0.125","","",""
"1100228","0.03125","0.03125","0.03125","","",""
"1100237","0.03125","0.03125","0.03125","","",""
"1100241","0.03125","0.03125","0.03125","","",""
"1100250","","","","0.125","0.125","0.125"
"1110234","0.03125","0.03125","0.03125","","",""
"1110238","0.03125","0.03125","0.03125","","",""
"1110244","0.03125","0.03125","0.03125","","",""
"1110249","","","","0.09375","0.09375","0.09375"
"1110257","0.09375","0.09375","0.09375","","",""
"1120222","0.03125","0.03125","0.03125","","",""
"1120235","","","","0","0","0"
"1120238","0.0625","0.0625","0.0625","","",""
"1120252","0.046875","0","0.09375","","",""
"1130223","0","0","0","","",""
"1130228","0.125","0.125","0.125","","",""
"1130246","0","0","0","","",""
"1130250","0","0","0","","",""
"1130253","","","","0.0625","0.0625","0.0625"
"1140224","0","0","0","","",""
"1140238","","","","0.21875","0.21875","0.21875"
"1140240","0.15625","0.15625","0.15625","","",""
"1140241","0","0","0","","",""
"1140248","0","0","0","","",""
"1150222","0.03125","0.03125","0.03125","","",""
"1150223","0.125","0.125","0.125","","",""
"1150224","","","","0.0625","0.0625","0.0625"
"1150242","0.015625","0","0.03125","","",""
"1160227","0","0","0","","",""
"1160244","0","0","0","","",""
"1160245","0.03125","0.03125","0.03125","","",""
"1160250","","","","0.15625","0.15625","0.15625"
"1160254","0","0","0","","",""
"1170222","0","0","0","","",""
"1170230","0.28125","0.28125","0.28125","","",""
"1170252","0.03125","0.03125","0.03125","0.15625","0.15625","0.15625"
"1180220","","","","0.0625","0.0625","0.0625"
"1180227","0","0","0","","",""
"1180240","0.09375","0.09375","0.09375","","",""
"1180241","0.09375","0.09375","0.09375","","",""
"1180250","0","0","0","","",""
"1190221","0","0","0","","",""
"1190222","0","0","0","","",""
"1190228","0.21875","0.21875","0.21875","","",""
"1190231","0","0","0","","",""
"1190252","","","","0.0625","0.0625","0.0625"
"1200226","0.03125","0.03125","0.03125","","",""
"1200227","0.3125","0.3125","0.3125","","",""
"1200228","","","","0.09375","0.09375","0.09375"
