"Step","Group: 6h_vs_8z_QMIX - win_rate","Group: 6h_vs_8z_QMIX - win_rate__MIN","Group: 6h_vs_8z_QMIX - win_rate__MAX"
"700008","0","0","0"
"700011","0","0","0"
"700017","0","0","0"
"710007","0","0","0"
"710008","0","0","0"
"710009","0","0","0"
"710015","0","0","0"
"710018","0","0","0"
"710020","0","0","0"
"720008","0","0","0"
"720009","0","0","0"
"720015","0","0","0"
"720018","0","0","0"
"720020","0","0","0"
"730001","0","0","0"
"730018","0","0","0"
"730025","0","0","0"
"730026","0","0","0"
"740000","0","0","0"
"740009","0","0","0"
"740011","0","0","0"
"740014","0","0","0"
"740027","0","0","0"
"750005","0","0","0"
"750006","0","0","0"
"750008","0","0","0"
"750009","0","0","0"
"750016","0","0","0"
"750019","0","0","0"
"760005","0","0","0"
"760006","0","0","0"
"760014","0","0","0"
"760016","0","0","0"
"760020","0","0","0"
"760022","0","0","0"
"770002","0","0","0"
"770004","0","0","0"
"770005","0","0","0"
"770006","0","0","0"
"770012","0","0","0"
"770013","0","0","0"
"780002","0","0","0"
"780003","0","0","0"
"780008","0","0","0"
"780009","0","0","0"
"780014","0","0","0"
"780017","0","0","0"
"790009","0","0","0"
"790011","0","0","0"
"790015","0","0","0"
"790022","0","0","0"
"790024","0","0","0"
"800002","0","0","0"
"800003","0","0","0"
"800012","0","0","0"
"800015","0","0","0"
"800020","0","0","0"
"800023","0","0","0"
"810001","0","0","0"
"810005","0","0","0"
"810006","0","0","0"
"810007","0","0","0"
"810013","0","0","0"
"820000","0","0","0"
"820015","0","0","0"
"820017","0","0","0"
"820018","0","0","0"
"820022","0","0","0"
"830002","0","0","0"
"830005","0","0","0"
"830006","0","0","0"
"830014","0","0","0"
"830017","0","0","0"
"840005","0","0","0"
"840009","0","0","0"
"840010","0","0","0"
"840012","0","0","0"
"840027","0","0","0"
"850002","0","0","0"
"850003","0","0","0"
"850007","0","0","0"
"850015","0","0","0"
"850019","0","0","0"
"850021","0","0","0"
"860003","0","0","0"
"860007","0","0","0"
"860018","0","0","0"
"860019","0","0","0"
"860020","0","0","0"
"860021","0","0","0"
"870002","0","0","0"
"870003","0","0","0"
"870014","0","0","0"
"870018","0","0","0"
"870025","0","0","0"
"880004","0","0","0"
"880006","0","0","0"
"880011","0","0","0"
"880020","0","0","0"
"880024","0","0","0"
"880025","0","0","0"
"890000","0","0","0"
"890001","0","0","0"
"890014","0","0","0"
"890017","0","0","0"
"890023","0","0","0"
"890024","0","0","0"
"900000","0","0","0"
"900014","0","0","0"
"900016","0","0","0"
"900022","0","0","0"
"900028","0","0","0"
"910002","0","0","0"
"910003","0","0","0"
"910004","0","0","0"
"910007","0","0","0"
"910023","0","0","0"
"920005","0","0","0"
"920012","0","0","0"
"920016","0","0","0"
"920017","0","0","0"
"920020","0","0","0"
"920021","0","0","0"
"930003","0","0","0"
"930004","0","0","0"
"930008","0","0","0"
"930012","0","0","0"
"930015","0","0","0"
"940001","0","0","0"
"940009","0","0","0"
"940017","0","0","0"
"940018","0","0","0"
"940019","0","0","0"
"940020","0","0","0"
"950000","0","0","0"
"950004","0","0","0"
"950011","0","0","0"
"950014","0","0","0"
"950017","0","0","0"
"960011","0","0","0"
"960013","0","0","0"
"960014","0","0","0"
"960019","0","0","0"
"960020","0","0","0"
"960025","0","0","0"
"970001","0","0","0"
"970004","0","0","0"
"970005","0","0","0"
"970006","0","0","0"
"970011","0","0","0"
"970013","0","0","0"
"980006","0","0","0"
"980007","0","0","0"
"980010","0","0","0"
"980011","0","0","0"
"980018","0","0","0"
"980022","0","0","0"
"990000","0","0","0"
"990004","0","0","0"
"990005","0","0","0"
