"Step","Group: MMM2_QMIX - win_rate","Group: MMM2_QMIX - win_rate__MIN","Group: MMM2_QMIX - win_rate__MAX"
"620027","0.09375","0.09375","0.09375"
"620040","0.03125","0.03125","0.03125"
"620057","0","0","0"
"620108","0","0","0"
"630011","0","0","0"
"630023","0","0","0"
"630029","0.03125","0.03125","0.03125"
"630037","0","0","0"
"630039","0","0","0"
"630116","0","0","0"
"640014","0.09375","0.09375","0.09375"
"640034","0.09375","0.09375","0.09375"
"640047","0","0","0"
"640061","0","0","0"
"640138","0.03125","0.03125","0.03125"
"640160","0","0","0"
"650000","0.0625","0.0625","0.0625"
"650005","0.03125","0.03125","0.03125"
"650007","0","0","0"
"650044","0.03125","0.03125","0.03125"
"650059","0","0","0"
"650118","0","0","0"
"660023","0","0","0"
"660031","0.0625","0.0625","0.0625"
"660040","0","0","0"
"660066","0.03125","0.03125","0.03125"
"660138","0.0625","0.0625","0.0625"
"660158","0","0","0"
"670001","0.0625","0.0625","0.0625"
"670004","0","0","0"
"670025","0.03125","0.03125","0.03125"
"670031","0","0","0"
"670068","0.0625","0.0625","0.0625"
"670148","0.03125","0.03125","0.03125"
"680002","0","0","0"
"680011","0.09375","0.09375","0.09375"
"680013","0","0","0"
"680014","0","0","0"
"680016","0.1875","0.1875","0.1875"
"680120","0","0","0"
"690014","0.03125","0.03125","0.03125"
"690017","0.03125","0.03125","0.03125"
"690026","0.03125","0.03125","0.03125"
"690033","0","0","0"
"690056","0","0","0"
"690148","0","0","0"
"700004","0","0","0"
"700009","0.125","0.125","0.125"
"700085","0","0","0"
"700160","0.15625","0.15625","0.15625"
"700162","0","0","0"
"700164","0","0","0"
"710014","0","0","0"
"710018","0.21875","0.21875","0.21875"
"710030","0","0","0"
"710039","0.15625","0.15625","0.15625"
"710115","0","0","0"
"710156","0","0","0"
"720002","0.0625","0.0625","0.0625"
"720006","0","0","0"
"720021","0","0","0"
"720023","0.21875","0.21875","0.21875"
"720026","0","0","0"
"720054","0.09375","0.09375","0.09375"
"730011","0","0","0"
"730016","0.0625","0.0625","0.0625"
"730034","0","0","0"
"730042","0.03125","0.03125","0.03125"
"730049","0.0625","0.0625","0.0625"
"730078","0.0625","0.0625","0.0625"
"740036","0.1875","0.1875","0.1875"
"740046","0.125","0.125","0.125"
"740058","0","0","0"
"740073","0.03125","0.03125","0.03125"
"740108","0","0","0"
"740175","0.0625","0.0625","0.0625"
"750016","0","0","0"
"750020","0.21875","0.21875","0.21875"
"750022","0","0","0"
"750023","0.125","0.125","0.125"
"750032","0.125","0.125","0.125"
"750146","0.15625","0.15625","0.15625"
"760000","0","0","0"
"760011","0","0","0"
"760018","0.09375","0.09375","0.09375"
"760031","0","0","0"
"760037","0.125","0.125","0.125"
"760080","0.03125","0.03125","0.03125"
"770001","0","0","0"
"770003","0.21875","0.21875","0.21875"
"770019","0","0","0"
"770031","0","0","0"
"770036","0.09375","0.09375","0.09375"
"770088","0.03125","0.03125","0.03125"
"780010","0.0625","0.0625","0.0625"
"780022","0.125","0.125","0.125"
"780024","0.0625","0.0625","0.0625"
"780032","0","0","0"
"780150","0.03125","0.03125","0.03125"
"780174","0.0625","0.0625","0.0625"
"790016","0.09375","0.09375","0.09375"
"790022","0.03125","0.03125","0.03125"
"790031","0.28125","0.28125","0.28125"
"790046","0.0625","0.0625","0.0625"
"790080","0.0625","0.0625","0.0625"
"790128","0","0","0"
"800001","0.03125","0.03125","0.03125"
"800006","0.21875","0.21875","0.21875"
"800007","0","0","0"
"800008","0.03125","0.03125","0.03125"
"800044","0","0","0"
"800135","0.03125","0.03125","0.03125"
"810000","0.09375","0","0.1875"
"810013","0","0","0"
"810021","0","0","0"
"810048","0.09375","0.09375","0.09375"
"810098","0.03125","0.03125","0.03125"
"820000","0.125","0.125","0.125"
"820027","0.09375","0.09375","0.09375"
"820048","0.09375","0.09375","0.09375"
"820098","0.03125","0.03125","0.03125"
"820165","0","0","0"
"820166","0.03125","0.03125","0.03125"
"830015","0.15625","0.15625","0.15625"
"830021","0.03125","0.03125","0.03125"
"830025","0.21875","0.21875","0.21875"
"830035","0.0625","0.0625","0.0625"
"830062","0.09375","0.09375","0.09375"
"830103","0.03125","0.03125","0.03125"
"840005","0.09375","0.09375","0.09375"
"840015","0.03125","0.03125","0.03125"
"840017","0.28125","0.28125","0.28125"
"840038","0","0","0"
"840059","0","0","0"
"840091","0.09375","0.09375","0.09375"
"850007","0","0","0"
"850009","0.28125","0.28125","0.28125"
"850020","0","0","0"
"850023","0.0625","0.0625","0.0625"
"850059","0.0625","0.0625","0.0625"
"850110","0.0625","0.0625","0.0625"
"860002","0","0","0"
"860024","0.03125","0.03125","0.03125"
"860039","0.3125","0.3125","0.3125"
"860041","0.375","0.375","0.375"
"860075","0.09375","0.09375","0.09375"
"860100","0.03125","0.03125","0.03125"
"870001","0.25","0.25","0.25"
"870021","0","0","0"
"870039","0.09375","0.09375","0.09375"
"870041","0.0625","0.0625","0.0625"
"870052","0.15625","0.15625","0.15625"
"870078","0.0625","0.0625","0.0625"
"880011","0.03125","0.03125","0.03125"
"880019","0.21875","0.21875","0.21875"
"880028","0.21875","0.21875","0.21875"
"880031","0.09375","0.09375","0.09375"
"880041","0","0","0"
"880141","0.125","0.125","0.125"
"890013","0.09375","0.09375","0.09375"
"890028","0.15625","0.15625","0.15625"
"890037","0.21875","0.21875","0.21875"
"890063","0","0","0"
"890121","0.03125","0.03125","0.03125"
"890138","0","0","0"
"900025","0.0625","0.0625","0.0625"
"900034","0","0","0"
"900044","0.1875","0.1875","0.1875"
"900061","0.125","0.125","0.125"
"900083","0.09375","0.09375","0.09375"
"900098","0.0625","0.0625","0.0625"
"910000","0.09375","0.09375","0.09375"
"910011","0","0","0"
"910019","0.03125","0.03125","0.03125"
"910027","0.21875","0.21875","0.21875"
"910029","0.125","0.125","0.125"
"910036","0.15625","0.15625","0.15625"
"920018","0.03125","0.03125","0.03125"
"920021","0.25","0.25","0.25"
"920038","0.03125","0.03125","0.03125"
"920039","0.15625","0.15625","0.15625"
"920047","0.03125","0.03125","0.03125"
"920074","0.21875","0.21875","0.21875"
"930020","0.0625","0.0625","0.0625"
"930025","0","0","0"
"930051","0.09375","0.09375","0.09375"
"930077","0.09375","0.09375","0.09375"
"930107","0.03125","0.03125","0.03125"
"930142","0.125","0.125","0.125"
"940012","0.0625","0.0625","0.0625"
"940049","0.125","0.09375","0.15625"
"940062","0","0","0"
"940065","0.09375","0.09375","0.09375"
"940122","0.09375","0.09375","0.09375"
"950014","0.0625","0.0625","0.0625"
"950017","0.03125","0.03125","0.03125"
"950029","0.1875","0.1875","0.1875"
"950034","0","0","0"
"950037","0.15625","0.15625","0.15625"
"950151","0","0","0"
"960001","0.09375","0.09375","0.09375"
"960004","0.09375","0.09375","0.09375"
"960010","0.234375","0.125","0.34375"
"960026","0","0","0"
"960056","0.03125","0.03125","0.03125"
"970001","0","0","0"
"970004","0.03125","0.03125","0.03125"
"970042","0.21875","0.21875","0.21875"
"970063","0.09375","0.09375","0.09375"
