"Step","Group: MMM2_ACORM_WM - win_rate","Group: MMM2_ACORM_WM - win_rate__MIN","Group: MMM2_ACORM_WM - win_rate__MAX"
"210226","0.09375","0.09375","0.09375"
"210227","0","0","0"
"210249","0.0625","0.0625","0.0625"
"210250","0","0","0"
"220227","0","0","0"
"220248","0","0","0"
"220249","0","0","0"
"220252","0","0","0"
"220264","0.125","0.125","0.125"
"230220","0","0","0"
"230235","0","0","0"
"230236","0.09375","0.09375","0.09375"
"230248","0","0","0"
"230257","0.03125","0.03125","0.03125"
"240220","0","0","0"
"240227","0","0","0"
"240240","0","0","0"
"240248","0","0","0"
"240256","0","0","0"
"250224","0","0","0"
"250240","0","0","0"
"250244","0","0","0"
"250246","0","0","0"
"250250","0.15625","0.15625","0.15625"
"260229","0","0","0"
"260240","0.03125","0.03125","0.03125"
"260246","0.3125","0.3125","0.3125"
"260248","0","0","0"
"260252","0","0","0"
"270222","0.03125","0.03125","0.03125"
"270226","0","0","0"
"270227","0","0","0"
"270231","0.34375","0.34375","0.34375"
"270248","0.0625","0.0625","0.0625"
"280222","0.03125","0.03125","0.03125"
"280238","0.03125","0.03125","0.03125"
"280252","0","0","0"
"280257","0.21875","0.21875","0.21875"
"290225","0.078125","0","0.15625"
"290229","0.03125","0.03125","0.03125"
"290235","0.09375","0.09375","0.09375"
"290365","0.03125","0.03125","0.03125"
"300220","0.03125","0.03125","0.03125"
"300245","0","0","0"
"300256","0.28125","0.28125","0.28125"
"300258","0","0","0"
"300272","0.0625","0.0625","0.0625"
"310242","0.0625","0.0625","0.0625"
"310245","0","0","0"
"310250","0.34375","0.21875","0.46875"
"310254","0.0625","0.0625","0.0625"
"320228","0.03125","0.03125","0.03125"
"320247","0","0","0"
"320252","0","0","0"
"320273","0.15625","0.15625","0.15625"
"330232","0.171875","0.09375","0.25"
"330234","0","0","0"
"330235","0.09375","0.09375","0.09375"
"330251","0.09375","0.09375","0.09375"
"340222","0","0","0"
"340233","0.25","0.25","0.25"
"340235","0.125","0.125","0.125"
"340276","0.03125","0.03125","0.03125"
"340355","0.03125","0.03125","0.03125"
"350233","0.375","0.375","0.375"
"350244","0","0","0"
"350248","0.28125","0.28125","0.28125"
"350254","0.09375","0.09375","0.09375"
"350263","0.125","0.125","0.125"
"360225","0","0","0"
"360228","0.15625","0.15625","0.15625"
"360232","0.3125","0.3125","0.3125"
"360237","0.03125","0.03125","0.03125"
"360250","0.15625","0.15625","0.15625"
"370228","0","0","0"
"370229","0.09375","0.09375","0.09375"
"370247","0.15625","0.15625","0.15625"
"370254","0.125","0.125","0.125"
"370263","0.59375","0.59375","0.59375"
"380227","0.34375","0.34375","0.34375"
"380234","0.125","0.125","0.125"
"380235","0","0","0"
"380252","0.0625","0.0625","0.0625"
"380284","0.53125","0.53125","0.53125"
"390227","0.4375","0.4375","0.4375"
"390228","0.3125","0.3125","0.3125"
"390230","0.1875","0.1875","0.1875"
"390241","0.0625","0.0625","0.0625"
"390268","0.40625","0.40625","0.40625"
"400221","0.15625","0.15625","0.15625"
"400233","0.25","0.25","0.25"
"400236","0.03125","0.03125","0.03125"
"400243","0.5","0.5","0.5"
"400261","0.5","0.5","0.5"
"410224","0.21875","0.21875","0.21875"
"410236","0.125","0.125","0.125"
"410238","0.3125","0.3125","0.3125"
"410261","0.40625","0.40625","0.40625"
"410303","0.03125","0.03125","0.03125"
"420220","0.375","0.375","0.375"
"420227","0.40625","0.40625","0.40625"
"420240","0.21875","0.21875","0.21875"
"420245","0.21875","0.21875","0.21875"
"420251","0.09375","0.09375","0.09375"
"430236","0.53125","0.53125","0.53125"
"430239","0.1875","0.1875","0.1875"
"430242","0.625","0.625","0.625"
"430250","0.46875","0.46875","0.46875"
"430252","0.09375","0.09375","0.09375"
"440221","0.59375","0.59375","0.59375"
"440226","0.1875","0.1875","0.1875"
"440233","0.625","0.625","0.625"
"440249","0.1875","0.1875","0.1875"
"440260","0.75","0.75","0.75"
"450225","0.1875","0.1875","0.1875"
"450229","0.09375","0.09375","0.09375"
"450263","0.5625","0.5625","0.5625"
"450266","0.65625","0.65625","0.65625"
"450272","0.40625","0.40625","0.40625"
"460220","0.25","0.25","0.25"
