"Step","Group: MMM2_ACORM - win_rate","Group: MMM2_ACORM - win_rate__MIN","Group: MMM2_ACORM - win_rate__MAX"
"540239","0.75","0.75","0.75"
"540246","0.5625","0.5625","0.5625"
"540258","0.71875","0.71875","0.71875"
"540264","0.375","0.375","0.375"
"540388","0.46875","0.46875","0.46875"
"550229","0.6875","0.6875","0.6875"
"550264","0.65625","0.65625","0.65625"
"550280","0.03125","0.03125","0.03125"
"550290","0.625","0.625","0.625"
"550390","0.40625","0.40625","0.40625"
"560221","0.65625","0.65625","0.65625"
"560254","0.53125","0.53125","0.53125"
"560320","0.5625","0.5625","0.5625"
"560375","0.5","0.5","0.5"
"560387","0.5625","0.5625","0.5625"
"570228","0.4375","0.4375","0.4375"
"570273","0.625","0.625","0.625"
"570303","0.625","0.625","0.625"
"570331","0.53125","0.53125","0.53125"
"570387","0.6875","0.6875","0.6875"
"580234","0.6875","0.6875","0.6875"
"580236","0.65625","0.65625","0.65625"
"580255","0.59375","0.59375","0.59375"
"580258","0.5","0.5","0.5"
"580370","0.5625","0.5625","0.5625"
"590222","0.59375","0.59375","0.59375"
"590236","0.625","0.625","0.625"
"590331","0.6875","0.6875","0.6875"
"590357","0.78125","0.78125","0.78125"
"590371","0.75","0.75","0.75"
"600220","0.4375","0.4375","0.4375"
"600229","0.4375","0.4375","0.4375"
"600260","0.65625","0.65625","0.65625"
"600270","0.78125","0.78125","0.78125"
"600311","0.40625","0.40625","0.40625"
"610238","0.46875","0.46875","0.46875"
"610251","0.75","0.75","0.75"
"610271","0.71875","0.71875","0.71875"
"610350","0.625","0.625","0.625"
"610352","0.625","0.625","0.625"
"620225","0.71875","0.71875","0.71875"
"620253","0.75","0.75","0.75"
"620260","0.71875","0.71875","0.71875"
"620262","0.3125","0.3125","0.3125"
"620363","0.71875","0.71875","0.71875"
"630224","0.6875","0.6875","0.6875"
"630242","0.65625","0.65625","0.65625"
"630261","0.6875","0.6875","0.6875"
"630268","0.5625","0.5625","0.5625"
"630397","0.8125","0.8125","0.8125"
"640265","0.65625","0.65625","0.65625"
"640272","0.90625","0.90625","0.90625"
"640298","0.53125","0.53125","0.53125"
"640338","0.84375","0.84375","0.84375"
"640395","0.5625","0.5625","0.5625"
"650232","0.84375","0.84375","0.84375"
"650259","0.71875","0.71875","0.71875"
"650279","0.5625","0.5625","0.5625"
"650310","0.625","0.625","0.625"
