"Step","Group: terran_5_vs_5_ACORM_WM - win_rate","Group: terran_5_vs_5_ACORM_WM - win_rate__MIN","Group: terran_5_vs_5_ACORM_WM - win_rate__MAX"
"510621","0.375","0.375","0.375"
"510622","0.53125","0.53125","0.53125"
"510629","0.5625","0.5625","0.5625"
"510674","0.34375","0.34375","0.34375"
"520606","0.5625","0.5625","0.5625"
"520620","0.3125","0.3125","0.3125"
"520626","0.5625","0.5625","0.5625"
"520630","0.4375","0.4375","0.4375"
"520634","0.28125","0.28125","0.28125"
"530625","0.46875","0.46875","0.46875"
"530633","0.34375","0.34375","0.34375"
"530650","0.625","0.625","0.625"
"530672","0.5625","0.5625","0.5625"
"530794","0.5625","0.5625","0.5625"
"540600","0.53125","0.53125","0.53125"
"540609","0.40625","0.40625","0.40625"
"540622","0.46875","0.46875","0.46875"
"540627","0.4375","0.4375","0.4375"
"540637","0.5625","0.5625","0.5625"
"550604","0.46875","0.46875","0.46875"
"550606","0.4375","0.4375","0.4375"
"550607","0.625","0.625","0.625"
"550629","0.5625","0.5625","0.5625"
"550657","0.625","0.625","0.625"
"560604","0.53125","0.53125","0.53125"
"560636","0.4375","0.4375","0.4375"
"560643","0.5","0.5","0.5"
"560651","0.4375","0.4375","0.4375"
"560660","0.40625","0.40625","0.40625"
"570614","0.59375","0.59375","0.59375"
"570618","0.65625","0.65625","0.65625"
"570628","0.4375","0.4375","0.4375"
"570634","0.5625","0.5625","0.5625"
"570641","0.46875","0.46875","0.46875"
"580601","0.515625","0.46875","0.5625"
"580608","0.5","0.5","0.5"
"580612","0.4375","0.4375","0.4375"
"580613","0.53125","0.53125","0.53125"
"590604","0.5","0.5","0.5"
"590607","0.5625","0.5625","0.5625"
"590609","0.40625","0.40625","0.40625"
"590620","0.46875","0.46875","0.46875"
"590648","0.34375","0.34375","0.34375"
"600600","0.53125","0.53125","0.53125"
"600628","0.53125","0.53125","0.53125"
"600637","0.5625","0.5625","0.5625"
"600656","0.6875","0.6875","0.6875"
"600703","0.78125","0.78125","0.78125"
"610605","0.5625","0.5625","0.5625"
"610613","0.75","0.75","0.75"
"610616","0.3125","0.3125","0.3125"
"610637","0.59375","0.59375","0.59375"
"610668","0.40625","0.40625","0.40625"
"620612","0.65625","0.65625","0.65625"
"620627","0.59375","0.59375","0.59375"
"620630","0.71875","0.71875","0.71875"
"620632","0.5625","0.5625","0.5625"
"620641","0.625","0.625","0.625"
"630600","0.59375","0.59375","0.59375"
"630625","0.65625","0.65625","0.65625"
"630630","0.46875","0.46875","0.46875"
"630640","0.4375","0.4375","0.4375"
"630654","0.53125","0.53125","0.53125"
"640600","0.625","0.625","0.625"
"640604","0.625","0.625","0.625"
"640605","0.5625","0.5625","0.5625"
"640618","0.34375","0.34375","0.34375"
"640626","0.6875","0.6875","0.6875"
"650603","0.625","0.625","0.625"
"650606","0.59375","0.59375","0.59375"
"650607","0.6875","0.6875","0.6875"
"650665","0.375","0.375","0.375"
"650741","0.625","0.625","0.625"
"660601","0.71875","0.71875","0.71875"
"660603","0.40625","0.40625","0.40625"
"660616","0.625","0.625","0.625"
"660625","0.5","0.5","0.5"
"660671","0.4375","0.4375","0.4375"
"670602","0.5625","0.5625","0.5625"
"670611","0.5625","0.5625","0.5625"
"670618","0.75","0.75","0.75"
"670639","0.625","0.625","0.625"
"670680","0.4375","0.4375","0.4375"
"680610","0.65625","0.65625","0.65625"
"680611","0.59375","0.59375","0.59375"
"680628","0.6875","0.6875","0.6875"
"680651","0.625","0.625","0.625"
"680655","0.5","0.5","0.5"
"690601","0.4375","0.4375","0.4375"
"690616","0.65625","0.65625","0.65625"
"690619","0.6875","0.6875","0.6875"
"690627","0.71875","0.71875","0.71875"
"690648","0.40625","0.40625","0.40625"
"700601","0.5625","0.5625","0.5625"
"700609","0.53125","0.53125","0.53125"
"700619","0.46875","0.46875","0.46875"
"700623","0.40625","0.40625","0.40625"
"700652","0.40625","0.40625","0.40625"
"710612","0.53125","0.53125","0.53125"
"710623","0.5625","0.5625","0.5625"
"710625","0.65625","0.65625","0.65625"
"710635","0.5","0.5","0.5"
"710670","0.59375","0.59375","0.59375"
"720600","0.5","0.5","0.5"
"720611","0.5625","0.5625","0.5625"
"720623","0.53125","0.53125","0.53125"
"720651","0.59375","0.59375","0.59375"
"720655","0.40625","0.40625","0.40625"
"730604","0.53125","0.53125","0.53125"
"730626","0.625","0.625","0.625"
"730644","0.5625","0.5625","0.5625"
"730646","0.625","0.625","0.625"
"730667","0.5625","0.5625","0.5625"
"740602","0.5625","0.5625","0.5625"
"740608","0.65625","0.65625","0.65625"
"740609","0.53125","0.53125","0.53125"
"740624","0.40625","0.40625","0.40625"
"740631","0.59375","0.59375","0.59375"
"750601","0.5","0.5","0.5"
"750607","0.5625","0.5625","0.5625"
"750611","0.5","0.5","0.5"
"750627","0.5625","0.5625","0.5625"
"750629","0.5625","0.5625","0.5625"
"760601","0.75","0.75","0.75"
"760609","0.6875","0.6875","0.6875"
"760611","0.40625","0.40625","0.40625"
"760620","0.6875","0.6875","0.6875"
"760633","0.59375","0.59375","0.59375"
"770600","0.625","0.625","0.625"
"770624","0.75","0.75","0.75"
"770644","0.625","0.625","0.625"
"770649","0.5","0.5","0.5"
"770660","0.71875","0.71875","0.71875"
"780601","0.65625","0.65625","0.65625"
"780604","0.59375","0.59375","0.59375"
"780606","0.53125","0.53125","0.53125"
"780623","0.40625","0.40625","0.40625"
"780631","0.5","0.5","0.5"
"790604","0.625","0.625","0.625"
"790611","0.4375","0.4375","0.4375"
"790624","0.65625","0.65625","0.65625"
"790630","0.5","0.5","0.5"
"790677","0.4375","0.4375","0.4375"
"800609","0.53125","0.53125","0.53125"
"800617","0.46875","0.46875","0.46875"
"800624","0.40625","0.40625","0.40625"
"800639","0.625","0.625","0.625"
"800661","0.65625","0.65625","0.65625"
"810602","0.59375","0.59375","0.59375"
"810609","0.390625","0.375","0.40625"
"810631","0.5","0.5","0.5"
"810636","0.65625","0.65625","0.65625"
"820600","0.5","0.5","0.5"
"820615","0.46875","0.46875","0.46875"
"820618","0.59375","0.59375","0.59375"
"820631","0.59375","0.59375","0.59375"
"830618","0.625","0.625","0.625"
"830622","0.5625","0.5625","0.5625"
"830623","0.625","0.625","0.625"
"830626","0.53125","0.53125","0.53125"
"830652","0.5","0.5","0.5"
"840601","0.546875","0.4375","0.65625"
"840634","0.65625","0.65625","0.65625"
"840637","0.75","0.75","0.75"
"840666","0.5","0.5","0.5"
"850612","0.75","0.75","0.75"
"850624","0.5","0.5","0.5"
"850632","0.625","0.625","0.625"
"850635","0.53125","0.53125","0.53125"
"850636","0.65625","0.65625","0.65625"
"860616","0.71875","0.6875","0.75"
"860623","0.5625","0.5625","0.5625"
"860626","0.71875","0.71875","0.71875"
"860668","0.71875","0.71875","0.71875"
"870609","0.625","0.625","0.625"
"870611","0.5625","0.5625","0.5625"
"870632","0.5","0.5","0.5"
"870642","0.46875","0.46875","0.46875"
"870664","0.6875","0.6875","0.6875"
"880601","0.5","0.5","0.5"
"880614","0.6875","0.6875","0.6875"
"880621","0.5","0.5","0.5"
"880623","0.71875","0.71875","0.71875"
"880646","0.59375","0.59375","0.59375"
"890616","0.6875","0.6875","0.6875"
"890620","0.59375","0.59375","0.59375"
"890630","0.625","0.625","0.625"
"890633","0.65625","0.65625","0.65625"
"890701","0.625","0.625","0.625"
"900602","0.78125","0.78125","0.78125"
"900605","0.5625","0.5625","0.5625"
"900614","0.65625","0.65625","0.65625"
"900618","0.4375","0.4375","0.4375"
"900645","0.46875","0.46875","0.46875"
"910608","0.53125","0.53125","0.53125"
"910609","0.40625","0.40625","0.40625"
"910618","0.65625","0.65625","0.65625"
"910623","0.6875","0.6875","0.6875"
"910649","0.5625","0.5625","0.5625"
"920610","0.625","0.625","0.625"
"920617","0.59375","0.53125","0.65625"
"920676","0.625","0.625","0.625"
"930601","0.625","0.625","0.625"
"930638","0.59375","0.59375","0.59375"
"930640","0.65625","0.65625","0.65625"
"930681","0.53125","0.53125","0.53125"
"930703","0.59375","0.59375","0.59375"
"940606","0.71875","0.71875","0.71875"
"940622","0.71875","0.71875","0.71875"
"940624","0.53125","0.53125","0.53125"
