"Step","Group: 27m_vs_30m_ACORM_WM - win_rate","Group: 27m_vs_30m_ACORM_WM - win_rate__MIN","Group: 27m_vs_30m_ACORM_WM - win_rate__MAX"
"900906","0.5","0.5","0.5"
"910233","0.625","0.625","0.625"
"910758","0.46875","0.46875","0.46875"
"910770","0.8125","0.8125","0.8125"
"910781","0.65625","0.65625","0.65625"
"920258","0.71875","0.71875","0.71875"
"920750","0.6875","0.6875","0.6875"
"920752","0.5","0.5","0.5"
"920771","0.59375","0.59375","0.59375"
"930253","0.84375","0.84375","0.84375"
"930751","0.65625","0.65625","0.65625"
"930780","0.375","0.375","0.375"
"930793","0.75","0.75","0.75"
"940230","0.59375","0.59375","0.59375"
"940772","0.65625","0.65625","0.65625"
"940778","0.5625","0.5625","0.5625"
"940780","0.53125","0.53125","0.53125"
"950230","0.6875","0.6875","0.6875"
"950787","0.59375","0.59375","0.59375"
"950892","0.46875","0.46875","0.46875"
"950922","0.53125","0.53125","0.53125"
"960229","0.75","0.75","0.75"
"960754","0.25","0.25","0.25"
"960772","0.71875","0.71875","0.71875"
"960781","0.65625","0.65625","0.65625"
"970246","0.75","0.75","0.75"
"970755","0.5625","0.5625","0.5625"
"970775","0.46875","0.46875","0.46875"
"970776","0.40625","0.40625","0.40625"
"980231","0.65625","0.65625","0.65625"
"980750","0.71875","0.71875","0.71875"
"980774","0.6875","0.6875","0.6875"
"980835","0.625","0.625","0.625"
"990225","0.6875","0.6875","0.6875"
"990760","0.71875","0.71875","0.71875"
"990767","0.625","0.625","0.625"
"990784","0.6875","0.6875","0.6875"
"1000245","0.8125","0.8125","0.8125"
"1000755","0.90625","0.90625","0.90625"
"1000757","0.8125","0.8125","0.8125"
"1000916","0.59375","0.59375","0.59375"
"1010351","0.6875","0.6875","0.6875"
"1010752","0.84375","0.84375","0.84375"
"1010788","0.6875","0.6875","0.6875"
"1010810","0.375","0.375","0.375"
"1020230","0.59375","0.59375","0.59375"
"1020780","0.78125","0.78125","0.78125"
"1020792","0.65625","0.65625","0.65625"
"1020880","0.625","0.625","0.625"
"1030254","0.84375","0.84375","0.84375"
"1030752","0.84375","0.84375","0.84375"
"1030772","0.65625","0.65625","0.65625"
"1030779","0.65625","0.65625","0.65625"
"1040279","0.71875","0.71875","0.71875"
"1040753","0.84375","0.84375","0.84375"
"1040762","0.78125","0.78125","0.78125"
"1040766","0.4375","0.4375","0.4375"
"1050228","0.78125","0.78125","0.78125"
"1050750","0.75","0.75","0.75"
