"Step","Group: 27m_vs_30m_QMIX - win_rate","Group: 27m_vs_30m_QMIX - win_rate__MIN","Group: 27m_vs_30m_QMIX - win_rate__MAX"
"590032","0.03125","0.03125","0.03125"
"590071","0","0","0"
"590076","0.03125","0.03125","0.03125"
"590079","0.03125","0.03125","0.03125"
"590179","0","0","0"
"600003","0.0625","0.0625","0.0625"
"600007","0","0","0"
"600015","0.125","0.125","0.125"
"600045","0","0","0"
"600059","0.03125","0.03125","0.03125"
"600176","0.03125","0.03125","0.03125"
"610001","0","0","0"
"610004","0","0","0"
"610006","0.15625","0.15625","0.15625"
"610017","0","0","0"
"610107","0","0","0"
"610115","0.03125","0.03125","0.03125"
"620001","0","0","0"
"620008","0.09375","0.09375","0.09375"
"620013","0.125","0.125","0.125"
"620019","0.09375","0.09375","0.09375"
"620036","0","0","0"
"620067","0","0","0"
"630010","0.25","0.25","0.25"
"630022","0.0625","0.0625","0.0625"
"630025","0","0","0"
"630026","0","0","0"
"630029","0.15625","0.15625","0.15625"
"630043","0.0625","0.0625","0.0625"
"640000","0.1875","0.1875","0.1875"
"640002","0","0","0"
"640009","0","0","0"
"640019","0","0","0"
"640030","0.03125","0.03125","0.03125"
"640034","0.09375","0.09375","0.09375"
"650001","0.03125","0.03125","0.03125"
"650016","0","0","0"
"650030","0.03125","0.03125","0.03125"
"650045","0.03125","0.03125","0.03125"
"650103","0.125","0.125","0.125"
"650162","0","0","0"
"660005","0.09375","0.09375","0.09375"
"660007","0.03125","0.03125","0.03125"
"660022","0","0","0"
"660027","0.125","0.125","0.125"
"660051","0.03125","0.03125","0.03125"
"660118","0.125","0.125","0.125"
"670006","0.09375","0.09375","0.09375"
"670016","0.03125","0.03125","0.03125"
"670038","0.03125","0.03125","0.03125"
"670069","0.09375","0.09375","0.09375"
"670109","0.125","0.125","0.125"
"670119","0.03125","0.03125","0.03125"
"680007","0.0625","0.0625","0.0625"
"680012","0.015625","0","0.03125"
"680018","0","0","0"
"680038","0.03125","0.03125","0.03125"
"680055","0.0625","0.0625","0.0625"
"690006","0.015625","0","0.03125"
"690009","0.0625","0.0625","0.0625"
"690011","0","0","0"
"690120","0.03125","0.03125","0.03125"
"690127","0","0","0"
"700012","0.03125","0.03125","0.03125"
"700016","0","0","0"
"700023","0.03125","0","0.0625"
"700027","0.09375","0.09375","0.09375"
"700139","0.03125","0.03125","0.03125"
"710017","0","0","0"
"710018","0","0","0"
"710030","0.03125","0.03125","0.03125"
"710102","0.0625","0.0625","0.0625"
"710110","0","0","0"
"710154","0","0","0"
"720015","0.0625","0.0625","0.0625"
"720023","0","0","0"
"720040","0.03125","0.03125","0.03125"
"720083","0","0","0"
"720093","0.15625","0.15625","0.15625"
"720103","0.03125","0.03125","0.03125"
"730003","0.125","0.125","0.125"
"730008","0.03125","0.03125","0.03125"
"730015","0","0","0"
"730019","0.03125","0.03125","0.03125"
"730021","0.03125","0.03125","0.03125"
"730025","0","0","0"
"740002","0.0625","0.0625","0.0625"
"740003","0.03125","0.03125","0.03125"
"740029","0.09375","0.09375","0.09375"
"740049","0.09375","0.09375","0.09375"
"740070","0","0","0"
"740105","0","0","0"
"750009","0.0625","0.0625","0.0625"
"750021","0.09375","0.09375","0.09375"
"750034","0.21875","0.21875","0.21875"
"750104","0.03125","0.03125","0.03125"
"750133","0","0","0"
"750136","0","0","0"
"760011","0.125","0.125","0.125"
"760019","0.03125","0.03125","0.03125"
"760025","0.0625","0.0625","0.0625"
"760028","0.09375","0.09375","0.09375"
"760035","0","0","0"
"760120","0.03125","0.03125","0.03125"
"770003","0.0625","0.0625","0.0625"
"770018","0.03125","0.03125","0.03125"
"770028","0","0","0"
"770030","0.0625","0.0625","0.0625"
"770036","0.09375","0.09375","0.09375"
"770116","0","0","0"
"780004","0.0625","0.0625","0.0625"
"780022","0.09375","0.09375","0.09375"
"780027","0","0","0"
"780059","0.125","0.125","0.125"
"780145","0.125","0.125","0.125"
"780171","0.03125","0.03125","0.03125"
"790007","0","0","0"
"790013","0.0625","0.0625","0.0625"
"790015","0.0625","0.0625","0.0625"
"790017","0.0625","0.0625","0.0625"
"790044","0","0","0"
"790088","0.125","0.125","0.125"
"800003","0.09375","0.09375","0.09375"
"800011","0.0625","0.0625","0.0625"
"800054","0","0","0"
"800091","0.15625","0.15625","0.15625"
"800116","0","0","0"
"800158","0.125","0.125","0.125"
"810015","0.0625","0.0625","0.0625"
"810017","0.09375","0.09375","0.09375"
"810029","0.0625","0.0625","0.0625"
"810031","0","0","0"
"810069","0","0","0"
"810091","0.15625","0.15625","0.15625"
"820003","0","0","0"
"820019","0.125","0.125","0.125"
"820045","0.03125","0.03125","0.03125"
"820092","0.03125","0.03125","0.03125"
"820101","0","0","0"
"820130","0.125","0.125","0.125"
"830001","0.0625","0.0625","0.0625"
"830003","0.0625","0.0625","0.0625"
"830006","0.34375","0.34375","0.34375"
"830046","0","0","0"
"830065","0.03125","0.03125","0.03125"
"830142","0.15625","0.15625","0.15625"
"840000","0.34375","0.34375","0.34375"
"840008","0.125","0.125","0.125"
"840012","0.03125","0.03125","0.03125"
"840026","0","0","0"
"840148","0.03125","0.03125","0.03125"
"840169","0.03125","0.03125","0.03125"
"850004","0.0625","0.0625","0.0625"
"850005","0.125","0.125","0.125"
"850045","0","0","0"
"850107","0.03125","0.03125","0.03125"
"850133","0.0625","0.0625","0.0625"
"850166","0.03125","0.03125","0.03125"
"860007","0.125","0.125","0.125"
"860025","0","0","0"
"860077","0.0625","0.0625","0.0625"
"860101","0.1875","0.1875","0.1875"
"860115","0.0625","0.0625","0.0625"
"860150","0","0","0"
