"Step","Group: 27m_vs_30m_ACORM - win_rate","Group: 27m_vs_30m_ACORM - win_rate__MIN","Group: 27m_vs_30m_ACORM - win_rate__MAX"
"850602","0.4375","0.4375","0.4375"
"850619","0.6875","0.6875","0.6875"
"850630","0.6875","0.6875","0.6875"
"850637","0.4375","0.4375","0.4375"
"860607","0.5625","0.5625","0.5625"
"860610","0.8125","0.8125","0.8125"
"860620","0.6875","0.6875","0.6875"
"860646","0.5","0.5","0.5"
"870602","0.75","0.75","0.75"
"870609","0.53125","0.53125","0.53125"
"870613","0.4375","0.4375","0.4375"
"870632","0.6875","0.6875","0.6875"
"880608","0.71875","0.71875","0.71875"
"880636","0.46875","0.46875","0.46875"
"880644","0.65625","0.65625","0.65625"
"880700","0.75","0.75","0.75"
"890613","0.59375","0.59375","0.59375"
"890619","0.65625","0.65625","0.65625"
"890672","0.625","0.625","0.625"
"890738","0.59375","0.59375","0.59375"
"900613","0.6875","0.6875","0.6875"
"900624","0.75","0.75","0.75"
"900639","0.53125","0.53125","0.53125"
"900695","0.65625","0.65625","0.65625"
"910617","0.6875","0.6875","0.6875"
"910623","0.65625","0.65625","0.65625"
"910704","0.875","0.875","0.875"
"910709","0.84375","0.84375","0.84375"
"920610","0.65625","0.65625","0.65625"
"920616","0.375","0.375","0.375"
"920622","0.6875","0.6875","0.6875"
"920624","0.71875","0.71875","0.71875"
"930600","0.78125","0.78125","0.78125"
"930617","0.5625","0.5625","0.5625"
"930633","0.4375","0.4375","0.4375"
"930773","0.71875","0.71875","0.71875"
"940614","0.8125","0.8125","0.8125"
"940631","0.65625","0.65625","0.65625"
"940634","0.78125","0.78125","0.78125"
"940636","0.5","0.5","0.5"
"950606","0.375","0.375","0.375"
"950633","0.6875","0.6875","0.6875"
"950636","0.75","0.75","0.75"
"950690","0.75","0.75","0.75"
"960601","0.65625","0.65625","0.65625"
"960627","0.5","0.5","0.5"
"960640","0.25","0.25","0.25"
"960683","0.65625","0.65625","0.65625"
"970600","0.71875","0.71875","0.71875"
"970616","0.78125","0.78125","0.78125"
"970626","0.65625","0.65625","0.65625"
"970715","0.46875","0.46875","0.46875"
"980621","0.8125","0.8125","0.8125"
"980625","0.4375","0.4375","0.4375"
"980629","0.8125","0.8125","0.8125"
"980631","0.40625","0.40625","0.40625"
"990608","0.75","0.75","0.75"
"990621","0.59375","0.59375","0.59375"
"990637","0.65625","0.65625","0.65625"
"990721","0.4375","0.4375","0.4375"
"1000600","0.625","0.625","0.625"
"1000610","0.78125","0.78125","0.78125"
"1000612","0.625","0.625","0.625"
"1000634","0.34375","0.34375","0.34375"
"1010622","0.53125","0.53125","0.53125"
"1010628","0.8125","0.8125","0.8125"
"1010629","0.59375","0.59375","0.59375"
"1010632","0.6875","0.6875","0.6875"
"1020606","0.625","0.625","0.625"
"1020609","0.65625","0.5625","0.75"
"1020612","0.78125","0.78125","0.78125"
"1030608","0.65625","0.65625","0.65625"
"1030614","0.53125","0.53125","0.53125"
"1030621","0.8125","0.8125","0.8125"
"1030638","0.625","0.625","0.625"
"1040619","0.46875","0.46875","0.46875"
"1040620","0.8125","0.8125","0.8125"
"1040631","0.75","0.75","0.75"
"1040674","0.65625","0.65625","0.65625"
"1050605","0.640625","0.625","0.65625"
"1050612","0.75","0.75","0.75"
"1050632","0.71875","0.71875","0.71875"
"1060614","0.625","0.625","0.625"
"1060628","0.75","0.75","0.75"
"1060665","0.625","0.625","0.625"
"1060769","0.8125","0.8125","0.8125"
"1070611","0.625","0.625","0.625"
"1070614","0.78125","0.78125","0.78125"
"1070620","0.65625","0.65625","0.65625"
"1070634","0.75","0.75","0.75"
"1080604","0.40625","0.40625","0.40625"
"1080607","0.625","0.625","0.625"
"1080611","0.75","0.75","0.75"
"1080626","0.5","0.5","0.5"
"1090600","0.8125","0.8125","0.8125"
"1090605","0.59375","0.59375","0.59375"
"1090624","0.71875","0.71875","0.71875"
"1090759","0.75","0.75","0.75"
"1100601","0.75","0.75","0.75"
"1100621","0.75","0.75","0.75"
"1100626","0.5","0.5","0.5"
"1100630","0.625","0.625","0.625"
"1110605","0.8125","0.8125","0.8125"
"1110616","0.84375","0.84375","0.84375"
"1110636","0.75","0.75","0.75"
"1110772","0.59375","0.59375","0.59375"
"1120610","0.8125","0.8125","0.8125"
"1120614","0.6875","0.6875","0.6875"
"1120725","0.78125","0.78125","0.78125"
"1120768","0.28125","0.28125","0.28125"
"1130600","0.75","0.75","0.75"
"1130612","0.59375","0.59375","0.59375"
"1130631","0.8125","0.8125","0.8125"
"1130635","0.875","0.875","0.875"
"1140621","0.6875","0.6875","0.6875"
"1140622","0.78125","0.78125","0.78125"
"1140632","0.34375","0.34375","0.34375"
"1140726","0.78125","0.78125","0.78125"
"1150602","0.90625","0.90625","0.90625"
"1150605","0.4375","0.4375","0.4375"
"1150610","0.625","0.625","0.625"
"1150623","0.5","0.5","0.5"
"1160611","0.46875","0.46875","0.46875"
"1160622","0.875","0.875","0.875"
"1160632","0.59375","0.59375","0.59375"
"1160635","0.8125","0.8125","0.8125"
"1170604","0.59375","0.59375","0.59375"
"1170613","0.59375","0.59375","0.59375"
"1170687","0.71875","0.71875","0.71875"
"1170696","0.5625","0.5625","0.5625"
"1180609","0.4375","0.4375","0.4375"
"1180626","0.65625","0.65625","0.65625"
"1180631","0.6875","0.6875","0.6875"
"1180673","0.5","0.5","0.5"
"1190606","0.75","0.75","0.75"
"1190622","0.765625","0.71875","0.8125"
"1190633","0.78125","0.78125","0.78125"
"1200612","0.75","0.75","0.75"
"1200630","0.65625","0.65625","0.65625"
"1200633","0.75","0.75","0.75"
"1200644","0.78125","0.78125","0.78125"
"1210612","0.625","0.625","0.625"
"1210617","0.78125","0.78125","0.78125"
"1210631","0.71875","0.71875","0.71875"
"1210639","0.8125","0.8125","0.8125"
"1220619","0.6875","0.6875","0.6875"
"1220625","0.53125","0.53125","0.53125"
"1220634","0.78125","0.78125","0.78125"
"1220636","0.8125","0.8125","0.8125"
"1230603","0.75","0.75","0.75"
"1230612","0.625","0.625","0.625"
"1230622","0.84375","0.84375","0.84375"
"1230626","0.71875","0.71875","0.71875"
"1240619","0.65625","0.53125","0.78125"
"1240636","0.78125","0.78125","0.78125"
"1240679","0.46875","0.46875","0.46875"
"1250628","0.75","0.75","0.75"
"1250640","0.75","0.75","0.75"
"1250651","0.71875","0.71875","0.71875"
"1250753","0.84375","0.84375","0.84375"
"1260612","0.71875","0.71875","0.71875"
"1260616","0.84375","0.84375","0.84375"
"1260617","0.1875","0.1875","0.1875"
"1260641","0.65625","0.65625","0.65625"
"1270607","0.59375","0.59375","0.59375"
"1270634","0.5","0.5","0.5"
"1270650","0.5625","0.5625","0.5625"
"1270663","0.6875","0.6875","0.6875"
"1280612","0.65625","0.65625","0.65625"
"1280625","0.875","0.875","0.875"
"1280629","0.71875","0.71875","0.71875"
"1280669","0.5","0.5","0.5"
"1290610","0.75","0.75","0.75"
"1290615","0.4375","0.4375","0.4375"
"1290627","0.625","0.625","0.625"
"1290643","0.6875","0.6875","0.6875"
"1300620","0.75","0.75","0.75"
"1300624","0.78125","0.78125","0.78125"
"1300629","0.71875","0.71875","0.71875"
"1300633","0.4375","0.4375","0.4375"
"1310609","0.8125","0.8125","0.8125"
"1310614","0.59375","0.59375","0.59375"
"1310616","0.6875","0.65625","0.71875"
"1320616","0.84375","0.84375","0.84375"
"1320627","0.71875","0.71875","0.71875"
"1320637","0.78125","0.78125","0.78125"
"1320669","0.75","0.75","0.75"
"1330613","0.71875","0.71875","0.71875"
"1330624","0.8125","0.8125","0.8125"
"1330640","0.8125","0.8125","0.8125"
"1330743","0.59375","0.59375","0.59375"
"1340626","0.53125","0.4375","0.625"
"1340627","0.6875","0.6875","0.6875"
"1340635","0.875","0.875","0.875"
"1350601","0.90625","0.90625","0.90625"
"1350604","0.84375","0.84375","0.84375"
"1350632","0.84375","0.84375","0.84375"
"1350639","0.71875","0.71875","0.71875"
"1360613","0.65625","0.65625","0.65625"
"1360615","0.71875","0.71875","0.71875"
"1360616","0.9375","0.9375","0.9375"
"1360642","0.90625","0.90625","0.90625"
"1370608","0.65625","0.65625","0.65625"
"1370626","0.65625","0.65625","0.65625"
"1370638","0.8125","0.8125","0.8125"
"1370649","0.875","0.875","0.875"
"1380603","0.71875","0.71875","0.71875"
"1380608","0.84375","0.84375","0.84375"
"1380623","0.8125","0.8125","0.8125"
"1380631","0.8125","0.8125","0.8125"
"1390611","0.90625","0.90625","0.90625"
"1390629","0.6875","0.6875","0.6875"
"1390635","0.84375","0.84375","0.84375"
